scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,wt_group_support_weight,sca_group_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key,analysis_within_pair_weight,analysis_pair_weight,analysis_scenario_weight
130,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,best,b_HIGH,best,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.1929965279187831,3.682092790624826,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
131,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,r_HIGH,b_HIGH,r_HIGH,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,4.180844445717766,0.098238929690672,1.4104174994872096,0.1857069883165186,0.1929965279187831,3.509494691064287,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
139,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,best,b_HIGH,best,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.1929965279187831,1.499317765801742,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
140,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,b_LOW,b_HIGH,b_LOW,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,1.874040756842884,0.0913896204225457,12.973660656527498,1.436445397435119,0.1929965279187831,1.7238645762806304,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
141,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,b_HIGH,b_HIGH,b_HIGH,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,4.030928926785516,0.0018911628599607,4.857666419592209,0.5419415853706036,0.1929965279187831,1.5811837904555035,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
142,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,r_LOW,b_HIGH,r_LOW,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,4.587716029893826,0.0049504499800163,3.025643669356378,0.5239567619128062,0.1929965279187831,1.7963744838311049,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
143,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,s_HIGH,b_HIGH,s_HIGH,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,3.463954750279856,0.0005984977503139,8.308396473112523,0.3973791380811426,0.1929965279187831,1.499317765801742,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
144,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,b_HIGH,kappa_I_LOW,b_HIGH,kappa_I_LOW,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,4.537119540928005,0.0633243055488632,0.8420821742217344,0.0823629287310146,0.1929965279187831,1.6887791371433043,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
152,WT_04,SCA3_06,NA_NOT_RECOVERABLE,SCA3_AN02,b_HIGH,best,b_HIGH,best,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,0.1929965279187831,2.6193641451069944,0.510791291438894,3.418126288257755,981.6328124999992,940.8140625,0.1666666666666666,1.0,0.0138888888888888,0.1666666666666666,0.0138888888888888,0.1666666666666666,0.0023148148148147,WT_04__TO__SCA3_06,0.1666666666666666,0.03125,0.0052083333333333
153,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,b_HIGH,best,b_HIGH,best,5.100692288984847,0.0009171973103136,2.4319174421422822,2.887753843796914,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.1929965279187831,1.1297503959031543,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
