biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_rate_weighted_median,A_isi_weighted_median,rheobase_J_weighted_median,support_rate_hz_weighted_median,mean_isi_ms_weighted_median,J_over_rheobase_weighted_median,orth_rate_weighted_median,orth_isi_weighted_median
WT_04__TO__SCA3_06,drive_early,0.07500000000000001,WT_04,SCA3_06,-0.049891265385268946,-0.05747438921755952,0.4992048252155782,85.83941801641015,11.460868317570345,3.5433963151099577,0.17843521123888254,0.15806241285185949
WT_04__TO__SCA3_06,drive_early,0.1,WT_04,SCA3_06,-0.047415571309360735,-0.05312286651091989,0.5371176644885486,86.95199067312036,11.332391173426936,3.7637133843230934,0.07249810840360131,0.0328462815093251
WT_04__TO__SCA3_06,drive_early,0.125,WT_04,SCA3_06,-0.03598886160273593,-0.045452934047974985,0.5731875185190829,87.04285500564426,11.346683880162404,3.9556893746099258,0.013922753533509632,0.04045807403583632
WT_04__TO__SCA3_06,drive_early,0.15000000000000002,WT_04,SCA3_06,-0.026585513395650927,-0.03194015863078691,0.6067212109380953,86.108804625273,11.471297071396853,4.1635750249293615,0.0735258924496098,0.09651890250014339
WT_04__TO__SCA3_06,drive_early,0.17500000000000002,WT_04,SCA3_06,-0.008682135015422216,-0.0127558862780653,0.6420887771612724,84.14661971259638,11.68605132968901,4.366927104607547,0.10572290984513312,0.13851667071463125
WT_04__TO__SCA3_06,drive_early,0.2,WT_04,SCA3_06,0.016055703664543963,0.00868356548129502,0.6740616885907071,82.18032095909575,11.98054749491871,4.537283945085694,0.12951699984236162,0.15863330836028755
WT_04__TO__SCA3_06,drive_early,0.225,WT_04,SCA3_06,0.04319440741636207,0.035588482600697656,0.7075333302433966,80.20989541381611,12.342700685035702,4.714864651889509,0.12469972953566166,0.17104028091494058
WT_04__TO__SCA3_06,drive_early,0.25,WT_04,SCA3_06,0.0687949089949244,0.06325534720496614,0.7319773851224574,78.23533007138334,12.774970070997123,4.8396048321486616,0.13933612679125632,0.1643401773126996
WT_04__TO__SCA3_06,drive_early,0.275,WT_04,SCA3_06,0.10444076056941759,0.09184496164603151,0.7621327517288035,75.22611711669505,13.261774279113762,4.927701433750823,0.14705960483045633,0.15448515832743182
WT_04__TO__SCA3_06,drive_early,0.30000000000000004,WT_04,SCA3_06,0.13028818511454157,0.12150519087235179,0.7903327312817693,73.2421481483631,13.709023979025584,5.032290608038832,0.12733958431939257,0.17351133405211866
WT_04__TO__SCA3_06,drive_early,0.325,WT_04,SCA3_06,0.1586529751941633,0.1536000342080826,0.8162806291343245,70.2213311169726,14.162570683451369,5.116602848924905,0.10210840743701602,0.1469053881025852
WT_04__TO__SCA3_06,drive_early,0.35000000000000003,WT_04,SCA3_06,0.1875900288353849,0.1854876750411786,0.8417746520862444,67.19414067093354,14.627257803981328,5.194958278895009,0.14530865542417779,0.11753280178126661
WT_04__TO__SCA3_06,drive_early,0.375,WT_04,SCA3_06,0.21908370888333356,0.21835199294221055,0.8624412454945156,65.19540430609827,15.088047686350171,5.264040627467925,0.18988458377415168,0.15087508968039048
WT_04__TO__SCA3_06,drive_early,0.4,WT_04,SCA3_06,0.25505932057045216,0.2533329155192049,0.8835922121857933,63.192442028542175,15.528404430722123,5.33849576416485,0.2408823853142575,0.20439812838676247
WT_04__TO__SCA3_06,drive_early,0.42500000000000004,WT_04,SCA3_06,0.2945344871532126,0.28876186171598867,0.9052389046588978,61.1852404218606,15.930873934818766,5.39852349566416,0.29846813848534703,0.2555136446626172
WT_04__TO__SCA3_06,drive_early,0.45,WT_04,SCA3_06,0.34026297752314993,0.3266939706401631,0.9310852809581645,60.21192260951208,16.278519409705194,5.423381551462125,0.31695571812389584,0.3098528696696327
WT_04__TO__SCA3_06,drive_early,0.47500000000000003,WT_04,SCA3_06,0.3789881402756764,0.37212561944647227,0.962882568163602,58.19730282131888,16.707684410737976,5.1197846185092395,0.3787900039998617,0.3456068966342667
WT_04__TO__SCA3_06,drive_early,0.5,WT_04,SCA3_06,0.4204673620114687,0.41913227890020033,0.9942226484187145,57.21874629175386,17.126366930140158,4.815479591880665,0.31750602743491796,0.30990761692149743
WT_04__TO__SCA3_06,drive_early,0.525,WT_04,SCA3_06,0.46365630227418003,0.4592952048586227,1.0375764976988346,56.23810981369664,17.329390029550694,4.669624563941636,0.2681198035313532,0.2043695163767993
WT_04__TO__SCA3_06,drive_early,0.55,WT_04,SCA3_06,0.49631230219833633,0.4803598849672282,1.159645710328781,54.21283228165653,17.728335212655775,4.651787187284038,0.2173156762523202,0.1894806005635565
WT_04__TO__SCA3_06,drive_early,0.5750000000000001,WT_04,SCA3_06,0.5043215290692666,0.505820126558027,1.2606477454163825,54.27057042968172,18.16446692151183,4.386727347871879,0.24349417031907822,0.20043258461894894
WT_04__TO__SCA3_06,drive_early,0.6000000000000001,WT_04,SCA3_06,0.5283615345912352,0.5280403959464416,1.3190752808550092,53.2836541616591,18.663260852125962,3.8904754498213148,0.22531145543138228,0.20592887097397036
WT_04__TO__SCA3_06,drive_early,0.625,WT_04,SCA3_06,0.5550066114436258,0.5519806616341357,1.393399710276768,52.294631220711956,18.91133547292842,3.4226667114156504,0.23066993695635105,0.1982578936373266
WT_04__TO__SCA3_06,drive_early,0.65,WT_04,SCA3_06,0.5846984654855926,0.578591552086913,1.4885864097873345,51.30349485427257,19.580068983179846,3.023579083429643,0.202695048075784,0.1804078780641781
WT_04__TO__SCA3_06,drive_early,0.675,WT_04,SCA3_06,0.6174054040614443,0.6083393273939365,1.60800722305197,49.262108316698374,19.966142802305004,2.6820686191082928,0.19531406033323964,0.169650931169461
WT_04__TO__SCA3_06,drive_early,0.7000000000000001,WT_04,SCA3_06,0.6521952044024185,0.6407528709491559,1.7496328437829989,48.26560246259499,20.30845551940605,2.4057664643875856,0.1617861016646286,0.14310520608931007
WT_04__TO__SCA3_06,drive_early,0.7250000000000001,WT_04,SCA3_06,0.6895080771568539,0.676635500361061,1.9209062995356687,46.216583448915834,20.694622221165748,2.1842481495444988,0.14072809984528634,0.12049622521803402
WT_04__TO__SCA3_06,drive_early,0.75,WT_04,SCA3_06,0.7284435334556741,0.7154205163805015,2.1200608455822603,45.214671109270995,21.136539847741687,2.0039976142495686,0.12825826571825036,0.0897127756101793
WT_04__TO__SCA3_06,drive_early,0.775,WT_04,SCA3_06,0.7685656196006264,0.7569423520067666,2.347879762889764,43.15797281870083,21.645752556942476,1.8804301261022929,0.081060991687197,0.07467700958764961
WT_04__TO__SCA3_06,drive_early,0.8,WT_04,SCA3_06,0.8090076747558302,0.8005880507959827,2.599726456632044,42.15061666681486,22.23437245575997,1.795330852936069,0.0790123366732739,0.047287135762142975
WT_04__TO__SCA3_06,drive_early,0.8250000000000001,WT_04,SCA3_06,0.8497910206461456,0.8466144586950005,2.8781351063549554,40.08619190572097,22.916259214195843,1.7060196565500922,0.037894966017864025,0.028475455578672336
WT_04__TO__SCA3_06,drive_early,0.8500000000000001,WT_04,SCA3_06,0.9078753032628345,0.8901972727639937,3.18020768572373,39.073354282459434,23.553835541093722,1.6266509754669882,0.049172083568194726,0.036792359023003186
WT_04__TO__SCA3_06,drive_early,0.875,WT_04,SCA3_06,0.9487497545944363,0.9407293010702945,3.5041152947369567,37.00115546018949,24.468251091764788,1.54782796596612,0.07833664217798259,0.05040077719811751
WT_04__TO__SCA3_06,drive_early,0.9,WT_04,SCA3_06,1.0077245254443497,0.9887443985391179,3.8432982038035797,35.98279837032319,25.36801834579951,1.4767432579536157,0.10973544627073646,0.044358676440058205
WT_04__TO__SCA3_06,drive_early,0.925,WT_04,SCA3_06,1.048025843543022,1.0445787308005707,4.19977284360586,34.96223929169682,26.622526439056486,1.4180299801485825,0.08405173193694833,0.07155729596003645
WT_04__TO__SCA3_06,drive_early,0.9500000000000001,WT_04,SCA3_06,1.1076952889206113,1.098405912727617,4.559987919185655,33.93947107455548,27.920736127737825,1.3705335794586446,0.13645999364476852,0.10366156193174954
WT_04__TO__SCA3_06,drive_early,0.9750000000000001,WT_04,SCA3_06,1.168224181959638,1.156071426667099,4.919361975372034,32.9144865381575,29.50308166361971,1.333347148350756,0.2036684332255333,0.16126180527579012
