biological_pair_key,path_family,wt_cell_id,sca_cell_id,both_core_secure,n_support_scenarios,wt_exit_p_rate_weighted_median,wt_exit_p_rate_weighted_q25,wt_exit_p_rate_weighted_q75,wt_exit_p_rate_support_fraction,wt_exit_p_isi_weighted_median,wt_exit_p_isi_weighted_q25,wt_exit_p_isi_weighted_q75,wt_exit_p_isi_support_fraction,balance_p_rate_weighted_median,balance_p_rate_weighted_q25,balance_p_rate_weighted_q75,balance_p_rate_support_fraction,balance_p_isi_weighted_median,balance_p_isi_weighted_q25,balance_p_isi_weighted_q75,balance_p_isi_support_fraction,sca3_entry_p_rate_weighted_median,sca3_entry_p_rate_weighted_q25,sca3_entry_p_rate_weighted_q75,sca3_entry_p_rate_support_fraction,sca3_entry_p_isi_weighted_median,sca3_entry_p_isi_weighted_q25,sca3_entry_p_isi_weighted_q75,sca3_entry_p_isi_support_fraction,wt_exit_consensus_p_weighted_median,wt_exit_consensus_p_weighted_q25,wt_exit_consensus_p_weighted_q75,wt_exit_consensus_p_support_fraction,balance_consensus_p_weighted_median,balance_consensus_p_weighted_q25,balance_consensus_p_weighted_q75,balance_consensus_p_support_fraction,sca3_entry_consensus_p_weighted_median,sca3_entry_consensus_p_weighted_q25,sca3_entry_consensus_p_weighted_q75,sca3_entry_consensus_p_support_fraction,silent_fraction_weighted,projection_gap_balance_weighted_median
WT_03__TO__SCA3_06,drive_late,WT_03,SCA3_06,True,4,0.23751976762399288,0.0,0.3178493290095753,1.0,0.25115659468195467,0.0008151467268764205,0.31961526472813795,1.0,0.7070428406908065,0.7010631251841128,0.7182102427865946,1.0,0.7183982839980843,0.7092892919592473,0.7260930420244908,1.0,0.8598962374030723,0.8546729471727427,0.8626283707283481,1.0,0.8714339765318143,0.8648132860636966,0.874371221427534,1.0,0.2443381811529738,0.00040757336343821024,0.3187322968688566,1.0,0.7127205623444454,0.7051762085716801,0.7221516424055427,1.0,0.8656651069674433,0.8597431166182197,0.868499796077941,1.0,0.0,0.007882799237896143
WT_03__TO__SCA3_09,coupled,WT_03,SCA3_09,True,12,2.4143263645693662e-17,0.0,0.3912769590513091,1.0,0.000768758596151713,0.0,0.42630309614951484,1.0,0.40847862678918706,0.12508999400643792,0.6127420281483066,1.0,0.4331096114441799,0.3613699350015436,0.7377471591510973,1.0,0.7584636742606956,0.13863370906075428,0.8817522045214221,1.0,0.8280560882994782,0.7680737739979483,0.8929875231388856,1.0,0.0003843792980758686,0.0,0.40879002760041194,1.0,0.42282539346519166,0.2874932373775594,0.6451735311127533,0.9166666666666667,0.7968975396701046,0.4477481965327538,0.8829754018574147,0.8333333333333334,0.0,0.0055606739652148685
WT_03__TO__SCA3_09,drive_early,WT_03,SCA3_09,True,12,1.3158148612123712e-17,0.0,0.5264457467198089,1.0,0.0004885053755172628,0.0,0.54868550828939,1.0,0.2179476196619457,0.1261076505843003,0.7016815101397385,1.0,0.43840766512696216,0.1774244389776624,0.7181378014939869,1.0,0.47888133745768824,0.13042334978877196,0.8821509739887384,1.0,0.8297449526413755,0.41475230326178986,0.8904537782720544,1.0,0.00024425268775863794,0.0,0.5375656275045995,1.0,0.32901579177449836,0.1552162516182218,0.7057624850956623,0.9166666666666667,0.8213256606764451,0.3816290286618048,0.888634174251334,0.75,0.0,0.00300480917062536
WT_03__TO__SCA3_09,drive_late,WT_03,SCA3_09,True,12,0.1366955114302468,0.0,0.19746880124007873,1.0,0.20246535665592585,7.610838200232849e-05,0.28762292053512983,1.0,0.48406672513322696,0.10129162594346837,0.7050432433793861,1.0,0.6441625129906677,0.4678073015562944,0.8011562209384397,1.0,0.6100795566876848,0.10534215498777166,0.9129679566013494,1.0,0.8583178653757408,0.57476662627792,0.9241682421167919,1.0,0.0008938282418606484,1.9027095500582126e-05,0.2495511847582161,0.8333333333333334,0.6070303484150332,0.25478820089977117,0.7084485194320647,0.8333333333333334,0.8566832421311767,0.32991629624992563,0.9189248378130517,0.8333333333333334,0.03455284552845528,0.004889602356985221
WT_04__TO__SCA3_01,coupled,WT_04,SCA3_01,True,12,0.4866391506325815,0.3989532396191202,0.5105115071744805,1.0,0.4890637168357433,0.3945161158311674,0.5059842136586747,1.0,0.6949956157486943,0.6270888221825537,0.7468367952487512,1.0,0.7015683614961412,0.6324452704962725,0.7582435872990355,1.0,0.8624860563148714,0.827350619577944,0.8924271534052384,1.0,0.8764991345644095,0.8473258491307473,0.8981011707804393,1.0,0.4878514337341624,0.3967346777251438,0.507982652451558,1.0,0.6982819886224177,0.6297670463394132,0.7521784139614387,1.0,0.8694925954396404,0.8373382343543456,0.8952641620928388,1.0,0.0,0.006572745747446927
WT_04__TO__SCA3_01,drive_early,WT_04,SCA3_01,True,12,0.23615726665214726,0.1925449105627051,0.326478635473316,1.0,0.2335333455733642,0.19164182521760703,0.3301968130707891,1.0,0.4970542621017602,0.39550912402406274,0.5523732263297104,1.0,0.5067802982433428,0.40329146996181725,0.5654023970505899,1.0,0.721805282403346,0.5586017192925936,0.7602094140691484,1.0,0.7484721673575183,0.5717144985740493,0.7796652718165676,1.0,0.23484530611275573,0.19209336789015607,0.32833772427205254,1.0,0.5019172801725515,0.39940029699294,0.5588878116901501,1.0,0.7351387248804321,0.5651581089333215,0.769937342942858,1.0,0.0,0.006920270975627363
WT_04__TO__SCA3_01,drive_late,WT_04,SCA3_01,True,12,0.6477981003291102,0.5632118103271565,0.6710323087823611,1.0,0.6497373459570897,0.5588338311144443,0.6719101657837493,1.0,0.8241992623182585,0.7742247664190619,0.8542009588953149,1.0,0.8314699534056987,0.7829262625934195,0.8598243773605264,1.0,0.9239085509970338,0.908559952906421,0.9415005256127627,1.0,0.9332224306247373,0.9176807666090873,0.9501119460165103,1.0,0.6489496443604976,0.5610228207208003,0.6714712372830551,1.0,0.8278346078619786,0.7785755145062406,0.8570126681279207,1.0,0.9285654908108856,0.9131203597577542,0.9458962617474874,1.0,0.0,0.003915144144434944
WT_04__TO__SCA3_02,coupled,WT_04,SCA3_02,False,42,0.39018344646377007,0.07819297066662861,0.7470572314252693,1.0,0.38366941628744616,0.0702685079520556,0.746429862105679,1.0,0.3508444832310011,0.07195240720213233,0.5855606573582927,0.5952380952380952,0.39607870802874756,0.07918177830087052,0.6227128706086476,0.5952380952380952,0.04626407591229833,0.03908483646496738,0.47500000000000003,0.28571428571428564,0.0467590865567893,0.03900354240814094,0.5964559012855462,0.26190476190476186,0.34223684997513565,0.06527407605634108,0.7744083255603353,0.9285714285714288,0.4004224909676477,0.02757017919429591,0.6264889909968333,0.4285714285714285,0.04019111695966555,0.038403746037756745,0.04667882108865003,0.19047619047619047,0.030778164924506385,0.001293546128012982
WT_04__TO__SCA3_02,drive_early,WT_04,SCA3_02,False,42,0.37140949041655696,0.18750000000000028,0.4564313981687987,1.0,0.36822018869475703,0.2358141020042624,0.4533823603937302,1.0,0.4246817165165906,0.13903367863222033,0.5657173251215513,0.6190476190476191,0.43446735142595216,0.17749833473290222,0.5964614063488648,0.6190476190476191,0.2,0.14154958390906786,0.3919419019527604,0.23809523809523805,0.325,0.15261952507248824,0.38098655056339037,0.21428571428571425,0.3735295670382054,0.22466563045519414,0.4771567571826026,0.9523809523809523,0.450688883670736,0.10407036307070976,0.6082825758295312,0.5714285714285713,0.2778360409889839,0.10406842260234969,0.3939371043481894,0.16666666666666663,0.009872241579558651,0.002723418545613421
WT_04__TO__SCA3_02,drive_late,WT_04,SCA3_02,False,42,0.55,0.015631371840485384,0.9079952680947587,1.0,0.6221851418526924,0.013640558075572238,0.9061583938949841,1.0,0.05254837095872332,0.03142719964581967,0.7250000000000001,0.6190476190476191,0.5392116973365939,0.4068776632819582,0.7625000000000002,0.6190476190476191,0.0665438578000174,0.036771596759882445,0.525,0.4761904761904761,0.5204918475954781,0.4604467829816332,0.65,0.4761904761904761,0.5449397153640307,0.014453108346192891,0.9074143050479334,0.9761904761904762,0.7374999999999998,0.019251211474697487,0.8984978462949152,0.38095238095238093,0.44858717244628615,0.0221968201772172,0.7374999999999999,0.19047619047619047,0.09814169570267131,0.02499999999999991
WT_04__TO__SCA3_04,coupled,WT_04,SCA3_04,True,36,0.17163323705694833,0.03173795158845231,0.4345880789202898,1.0,0.1645217650964599,0.024934867392303234,0.4274530322528618,1.0,0.45149362711445623,0.13001289239562752,0.7636527022372441,1.0,0.5531056006839038,0.2291113030597777,0.7700548476472777,1.0,0.5167647175751761,0.1598377299882564,0.8492748968444481,0.8055555555555556,0.6000000000000001,0.2799574066694822,0.9902831114446288,0.6666666666666665,0.16659206965395879,0.02629445605224169,0.42931993676734087,0.9722222222222222,0.48286057244918085,0.1641676514862622,0.7838643410493026,0.8333333333333334,0.5320373728781455,0.0733274933826622,0.9926029035402384,0.5277777777777777,0.035230352303523026,0.003434075620706634
WT_04__TO__SCA3_04,drive_early,WT_04,SCA3_04,True,36,0.15070605740791845,0.07162547937856259,0.32613998194686167,1.0,0.15079553580712055,0.062020648402716386,0.3239030900348883,1.0,0.3545909104762096,0.19165691900104329,0.6107829683041223,1.0,0.4903823747747888,0.1947583165917543,0.6493820776214785,1.0,0.3751386550896646,0.20387252751137525,0.8354843036543789,0.8888888888888887,0.5286651626807055,0.21691721361588717,0.977174552937665,0.7499999999999999,0.14465608521038906,0.06755129747729566,0.32171951431079604,0.9722222222222222,0.39544157374578126,0.16988335539728064,0.6346568009349006,0.9166666666666665,0.3314547728301532,0.10157831905953328,0.9863834622556698,0.5277777777777777,0.030487804878048776,0.0028946310729592874
WT_04__TO__SCA3_04,drive_late,WT_04,SCA3_04,True,36,0.06895186777222528,0.014901982404365584,0.6053096473782122,1.0,0.07782246400698574,0.016292548704254575,0.6000209650810494,1.0,0.7323416974535455,0.0691403559664479,0.875,1.0,0.7500000000000004,0.31118683540454095,0.8888723678449242,1.0,0.6250000000000004,0.06824355528384592,0.9816325655467547,0.7222222222222221,0.7500000000000004,0.1187674157970659,0.9935826496331925,0.6666666666666665,0.06476816838801264,0.015138796241666894,0.5988343672155827,0.9444444444444444,0.7825100301086636,0.11893035297231636,0.887950296238261,0.8055555555555556,0.9240676636267036,0.10156405329015455,0.9942486042127581,0.5277777777777777,0.07859078590785906,0.004914942010907697
WT_04__TO__SCA3_05,coupled,WT_04,SCA3_05,False,42,0.1603524905767805,0.06057100944770631,0.4693945579017346,1.0,0.14907995237063593,0.053159093086554095,0.45842033338488536,1.0,0.42943366347074524,0.2304996755071024,0.8426518567885921,1.0,0.655161583859385,0.24431680506070452,0.8792797657244978,1.0,0.36273043208654,0.19255143257082868,0.5807244504062048,0.6428571428571429,0.3639278560222598,0.14646347851219071,0.5496195338470216,0.4047619047619047,0.15235891561263623,0.05683773170332657,0.4200420553364304,0.9761904761904762,0.7084251616512124,0.22536855076142306,0.9028509805215775,0.8333333333333334,0.18244370771623203,0.08165488236451329,0.3650123165086585,0.28571428571428564,0.01451800232288037,0.004125797483073515
WT_04__TO__SCA3_05,drive_early,WT_04,SCA3_05,False,42,0.17343086700355265,0.05938403000606831,0.2976240347481539,1.0,0.16435263348054271,0.05110172868865553,0.2926830837361637,1.0,0.36274801671164875,0.1800021459380189,0.6951755799581479,1.0,0.36722952613730336,0.17751983971934557,0.7043453161317718,1.0,0.3937614576409125,0.2195038623352401,0.47099060648484775,0.6666666666666667,0.2697239214156944,0.21253993710930083,0.4764358892763088,0.4523809523809523,0.16881322016622297,0.05477762622863899,0.295145583120958,1.0,0.36328882024647235,0.17388669487693656,0.7179837308476398,0.9761904761904762,0.25145709026711865,0.1870140759264424,0.45001518058763945,0.4047619047619047,0.033681765389082456,0.002363532162178025
WT_04__TO__SCA3_05,drive_late,WT_04,SCA3_05,False,42,0.16228680155738381,0.02574895040320943,0.6247446755468813,1.0,0.12816910504418114,0.023268972712637462,0.5913751966194203,1.0,0.713354935009584,0.10565264017429199,0.9233734643246572,1.0,0.8062434549376475,0.12141750295099586,0.932305014022549,1.0,0.21691264257194404,0.10064790694198317,0.8500000000000006,0.5714285714285713,0.15960520538314898,0.08792932588182986,0.37661991072679807,0.35714285714285704,0.13028569456637182,0.021958238453071745,0.5896186221602239,0.9523809523809523,0.8413270201990127,0.11819261121224146,0.9352876045255032,0.7857142857142857,0.10174511123830764,0.05217926317634322,0.2156975310557336,0.26190476190476186,0.06504065040650406,0.0029140292223302287
