scenario_id,path_family,biological_pair_key,wt_cell_id,sca_cell_id,wt_solution_key,sca_solution_key,within_pair_support_weight,scenario_weight,biological_pair_weight,wt_exit_p_rate,balance_p_rate,sca3_entry_p_rate,start_A_rate,end_A_rate,start_inside_wt_rate,end_inside_sca3_rate,spearman_p_A_rate,reversals_rate,max_orth_rate,fraction_in_corridor_rate,wt_exit_p_isi,balance_p_isi,sca3_entry_p_isi,start_A_isi,end_A_isi,start_inside_wt_isi,end_inside_sca3_isi,spearman_p_A_isi,reversals_isi,max_orth_isi,fraction_in_corridor_isi,silent_fraction,isi_missing_fraction,wt_exit_projection_gap,wt_exit_consensus_p,wt_exit_u_rate_linear,wt_exit_u_isi_linear,wt_exit_u_consensus_linear,wt_exit_u_rate_smoothstep,wt_exit_u_isi_smoothstep,wt_exit_u_consensus_smoothstep,wt_exit_u_rate_quadratic,wt_exit_u_isi_quadratic,wt_exit_u_consensus_quadratic,wt_exit_u_rate_sqrt,wt_exit_u_isi_sqrt,wt_exit_u_consensus_sqrt,balance_projection_gap,balance_consensus_p,balance_u_rate_linear,balance_u_isi_linear,balance_u_consensus_linear,balance_u_rate_smoothstep,balance_u_isi_smoothstep,balance_u_consensus_smoothstep,balance_u_rate_quadratic,balance_u_isi_quadratic,balance_u_consensus_quadratic,balance_u_rate_sqrt,balance_u_isi_sqrt,balance_u_consensus_sqrt,sca3_entry_projection_gap,sca3_entry_consensus_p,sca3_entry_u_rate_linear,sca3_entry_u_isi_linear,sca3_entry_u_consensus_linear,sca3_entry_u_rate_smoothstep,sca3_entry_u_isi_smoothstep,sca3_entry_u_consensus_smoothstep,sca3_entry_u_rate_quadratic,sca3_entry_u_isi_quadratic,sca3_entry_u_consensus_quadratic,sca3_entry_u_rate_sqrt,sca3_entry_u_isi_sqrt,sca3_entry_u_consensus_sqrt
71,coupled,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,s_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.5665629058389201,0.8608506726231693,0.9847762537707541,0.10183810984665752,0.8320997091878064,True,True,0.7942508710801396,6,1.5331195997979081,0.9024390243902439,0.5555422484878105,0.8684572928769378,,0.0815123925529485,0.6837727260576615,True,False,0.8090592334494775,2,1.5871477799495142,0.9024390243902439,0.0,0.0,0.011020657351109575,0.5610525771633653,0.5665629058389201,0.5555422484878105,0.5610525771633653,0.5444927076392894,0.5370962313263543,0.5407922227494917,0.7527037304537025,0.7453470657940572,0.749034429891821,0.32099352627264105,0.30862718985489224,0.314779994341654,0.00760662025376857,0.8646539827500536,0.8608506726231693,0.8684572928769378,0.8646539827500536,0.7655287790241578,0.7726678534819209,0.7690790093263984,0.9278203881264785,0.9319105605566115,0.9298677232542559,0.741063880555763,0.7542180695511393,0.7476265098855299,,,0.9847762537707541,,,0.9269636061829836,,,0.9923589339401112,,,0.9697842699907606,,
71,drive_early,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,s_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.5163281036369259,0.8527144864669006,0.9842148432322265,0.10183810984665752,0.8324717570223514,True,True,0.8421602787456448,8,1.5331195997979081,0.8780487804878049,0.5160436191713852,0.8520212023984035,,0.0815123925529485,0.6841360367646515,True,False,0.8693379790940767,2,1.5871477799495142,0.8780487804878049,0.0,0.0,0.00028448446554074636,0.5161858614041556,0.5163281036369259,0.5160436191713852,0.5161858614041556,0.5108871230175203,0.5106973783045858,0.5107922502723179,0.7185597425662851,0.7183617606550234,0.7184607584302399,0.26659471060530415,0.26630101688750163,0.2664478435135501,0.0006932840684971131,0.8523678444326521,0.8527144864669006,0.8520212023984035,0.8523678444326521,0.7580558917033915,0.7574264441557135,0.7577410288567183,0.923425409259947,0.9230499457767188,0.9232376966050792,0.72712199543051,0.7259401293364213,0.7265309422227658,,,0.9842148432322265,,,0.925593372932696,,,0.9920760269415981,,,0.9686788576386363,,
71,drive_late,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,s_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.5907398157123093,0.8685206917101885,0.9852436632984476,0.10183810984665752,0.8324649291826248,True,True,0.7562717770034846,4,1.5331195997979081,0.926829268292683,0.5819252684613581,0.8810968027823564,,0.0815123925529485,0.6841293692691093,True,False,0.7689895470383277,2,1.5871477799495142,0.9024390243902439,0.0,0.0,0.00881454725095121,0.5863325420868337,0.5907398157123093,0.5819252684613581,0.5863325420868337,0.5607927779814126,0.5548367090135655,0.557812664741137,0.7685960029250147,0.7628402640535947,0.7657235415519322,0.3489735298678131,0.3386370180738236,0.34378584991000866,0.012576111072167828,0.8748087472462724,0.8685206917101885,0.8810968027823564,0.8748087472462724,0.7727280147361568,0.7848963819087578,0.7787522909366202,0.931944575449736,0.9386675677695253,0.9353121122097545,0.7543281919287443,0.7763315758732906,0.7652903442585925,,,0.9852436632984476,,,0.9281227400357315,,,0.9925944102695963,,,0.9707050760697448,,
72,coupled,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_LOW,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.02148264394607708,0.18647622444197753,0.321783885192687,0.10183810984665752,0.6633509885065502,True,False,0.6623693379790943,1,5.223165779280322,0.4146341463414634,0.022881072362312002,0.190483841848496,0.3390940764321422,0.0815123925529485,0.6491006700068506,True,False,0.6719512195121953,11,2.5262591820607687,0.4146341463414634,0.0,0.0,0.0013984284162349217,0.02218185815419454,0.02148264394607708,0.022881072362312002,0.02218185815419454,0.08719420733983457,0.09007948071437455,0.0886474416911445,0.14656958738454945,0.15126490790104624,0.14893575176630539,0.00046150399091392225,0.0005235434724493582,0.0004920348311728068,0.004007617406518477,0.18848003314523676,0.18647622444197753,0.190483841848496,0.18848003314523676,0.2759978117706432,0.2793280797721701,0.27766601939672353,0.43182892960288977,0.4364445461321472,0.4341428718120761,0.03477338228213478,0.03628409400536284,0.035524722894429546,0.017310191239455153,0.33043898081241463,0.321783885192687,0.3390940764321422,0.33043898081241463,0.3788164072116271,0.3910028126181787,0.38492765790351313,0.5672599802495211,0.582317848285747,0.5748382214261806,0.10354486876970039,0.11498479267136748,0.10918992004034732
72,drive_early,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_LOW,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.010540832634933228,0.08420999009729459,0.14245690555210855,0.10183810984665752,0.6632438828216586,True,False,0.5291316526610644,1,8.392007651914493,0.2857142857142857,0.011631394031918783,0.0866123706157791,0.14553655454383393,0.0815123925529485,0.6489960795792564,True,False,0.5139573070607554,9,2.884539497302119,0.39285714285714285,0.14634146341463414,0.3170731707317073,0.0010905613969855558,0.011086113333426005,0.010540832634933228,0.011631394031918783,0.011086113333426005,0.06050871656595719,0.063630869060808,0.062088121968240026,0.10266855718735521,0.10784894080109819,0.10529061370049092,0.00011110915263767337,0.0001352893271257559,0.00012290190884156586,0.002402380518484515,0.08541118035653684,0.08420999009729459,0.0866123706157791,0.08541118035653684,0.17849779881368444,0.18121223207527648,0.17985901330918896,0.2901895761347995,0.2942997971725076,0.29225191249423305,0.007091322432186452,0.007501702743685075,0.0072950697298968655,0.0030796489917253866,0.14399673004797126,0.14245690555210855,0.14553655454383393,0.14399673004797126,0.2375286435524343,0.2403512081587067,0.23894278514949902,0.3774346374567503,0.38149253537105277,0.37946901065564137,0.020293969939482376,0.02118088870849035,0.02073505826450831
72,drive_late,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_LOW,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.21587903340610534,0.4759345867955915,0.6260947618605571,0.10183810984665752,0.6630487007802047,True,False,0.9015679442508713,1,1.5331195997979081,0.6341463414634146,0.21383782923437833,0.47142448909159756,0.6309021387014924,0.0815123925529485,0.6488054811698903,True,False,0.892857142857143,1,1.5871477799495142,0.6341463414634146,0.0,0.0,0.0020412041717270124,0.21485843132024185,0.21587903340610534,0.21383782923437833,0.21485843132024185,0.2999039859856396,0.29828116970247687,0.29909320881323753,0.4646278439849525,0.46242602568884283,0.46352824220347333,0.046603757064354344,0.04572661721167115,0.046164145509395085,0.004510097703993909,0.4736795379435945,0.4759345867955915,0.47142448909159756,0.4736795379435945,0.48395087940966386,0.48094042776876855,0.48244581287742194,0.6898801249460601,0.6866035894834789,0.6882438070506661,0.22651373090829038,0.2222410489152738,0.2243723046664572,0.00480737684093524,0.6284984502810247,0.6260947618605571,0.6309021387014924,0.6284984502810247,0.5848785016205107,0.5881823830141033,0.5865294686208709,0.7912615003022434,0.7942934839852914,0.7927789416230887,0.39199465082922774,0.3980375086181171,0.3950103020056497
73,coupled,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.3932031265134567,0.5849164150745276,0.7782245109755563,0.10183810984665752,1.024678754724997,True,True,0.9491289198606274,16,2.5726156396844044,0.24390243902439024,0.4458702045514257,0.5995427344763755,0.7775453409649602,0.0815123925529485,1.043493159021293,True,True,0.8895470383275264,12,2.6776845277966297,0.1951219512195122,0.0,0.0,0.052667078037968995,0.4195366655324412,0.3932031265134567,0.4458702045514257,0.4195366655324412,0.4283108380944223,0.4638504833832009,0.4461495647171142,0.62705910926599,0.6677351305356232,0.6477165008956011,0.15460869869995741,0.1988002393067302,0.1760110137260794,0.014626319401847887,0.5922295747754516,0.5849164150745276,0.5995427344763755,0.5922295747754516,0.5568560006917902,0.5667585199101002,0.5618011054478185,0.7647982839118611,0.774301449357016,0.7695645358093443,0.3421272126236371,0.35945149046340974,0.3507358692387122,0.0006791700105961418,0.7778849259702583,0.7782245109755563,0.7775453409649602,0.7778849259702583,0.6954359661273299,0.6949017983614683,0.6951688165457728,0.8821703412468345,0.8817853145550566,0.8819778489113308,0.6056333894831438,0.6045767572563162,0.6051049580517542
73,drive_early,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.5262617884542125,0.646377778675221,0.8061336890680998,0.10183810984665752,1.0248173304005994,True,True,0.8569686411149827,18,2.6287257754932365,0.2682926829268293,0.5439516637486109,0.700230125899768,0.8069457577849495,0.0815123925529485,1.0436284804020404,True,True,0.8275261324041813,12,2.5589138733493084,0.2682926829268293,0.0,0.0,0.01768987529439847,0.5351067261014117,0.5262617884542125,0.5439516637486109,0.5351067261014117,0.5175150232220587,0.5293347670387489,0.5234216153261051,0.7254390315210593,0.7375307883394502,0.7315098947392384,0.27695146998702624,0.29588341249488187,0.2863392083189713,0.053852347224547015,0.6733039522874944,0.646377778675221,0.700230125899768,0.6733039522874944,0.5988739837273807,0.6369083447602826,0.6177105985193294,0.8039762301680448,0.836797541762503,0.8205510052930862,0.4178042327651129,0.4903222292176049,0.45333821216596054,0.0008120687168496898,0.8065397234265246,0.8061336890680998,0.8069457577849495,0.8065397234265246,0.7178799626552985,0.7185487201331284,0.7182142208385589,0.8978494801847912,0.8983015962275418,0.8980755666571297,0.6498515246505437,0.6511614560071264,0.6505063254649348
73,drive_late,WT_03__TO__SCA3_05,WT_03,SCA3_05,s_HIGH,kappa_I_HIGH,0.0357142857142857,0.0004960317460317451,0.013888888888888888,0.17856100397905553,0.4724060017219522,0.6127063830220296,0.10183810984665752,1.0247308068372405,True,True,0.970905923344948,16,3.1112326002374697,0.24390243902439024,0.31321139345437515,0.48773671409845765,0.6148641148522056,0.0815123925529485,1.0435439887478595,True,True,0.9236933797909409,15,3.009639791636638,0.1951219512195122,0.0,0.0,0.13465038947531963,,0.17856100397905553,0.31321139345437515,,0.2693458590535429,0.37272532573021855,,0.42256479264020036,0.559652922313799,,0.03188403214200829,0.0981013769896314,,0.015330712376505462,0.48007135791020494,0.4724060017219522,0.48773671409845765,0.48007135791020494,0.48159568930354946,0.4918237472768935,0.48671110961162245,0.6873179771560992,0.6983814961025655,0.6928718192495672,0.2231674304629211,0.2378871022795606,0.23046850868574809,0.0021577318301759796,0.6137852489371176,0.6127063830220296,0.6148641148522056,0.6137852489371176,0.575716361251706,0.5771892874198516,0.5764526544997159,0.7827556342959338,0.7841327150758381,0.7834444772522924,0.37540911179593806,0.37805787973298627,0.3767323318127994
74,coupled,WT_03__TO__SCA3_06,WT_03,SCA3_06,s_HIGH,best,0.25,0.0034722222222222155,0.013888888888888888,0.08823328426384612,0.4892985795123312,0.7253984216797861,0.10183810984665752,1.2283612513290691,True,True,1.0,0,1.561197991006907,0.4634146341463415,0.09330154550083776,0.506546972014005,0.7438443532234403,0.0815123925529485,1.21766423359513,True,True,1.0,0,1.600946476684399,0.43902439024390244,0.0,0.0,0.005068261236991639,0.09076741488234194,0.08823328426384612,0.09330154550083776,0.09076741488234194,0.1830259256124696,0.18860942543356518,0.1858338604774421,0.2970408797856721,0.305453016846843,0.30127630985914233,0.007785112451984676,0.008705178392844898,0.008238723604423188,0.017248392501673815,0.4979227757631681,0.4892985795123312,0.506546972014005,0.4979227757631681,0.49286523541591043,0.5043647588807307,0.49861518030117313,0.6994988059406043,0.711721133600798,0.7056364331319409,0.2394130999127851,0.2565898348565572,0.2479270906236982,0.01844593154365426,0.7346213874516132,0.7253984216797861,0.7438443532234403,0.7346213874516132,0.6552553618453998,0.6689984730375742,0.6620926990454723,0.8517032474282261,0.862464117064264,0.8571005702084284,0.5262028701755247,0.5533044218223983,0.5396685829013332
74,drive_early,WT_03__TO__SCA3_06,WT_03,SCA3_06,s_HIGH,best,0.25,0.0034722222222222155,0.013888888888888888,0.04318442065005397,0.278324826969696,0.4417360422894963,0.10183810984665752,1.22829932355511,True,True,0.9851916376306622,3,1.588430296996882,0.6585365853658537,0.04757552397063364,0.2863388714281204,0.46034550443610434,0.0815123925529485,1.2176037601257255,True,True,0.9825783972125437,3,1.635889001345613,0.6341463414634146,0.0,0.0,0.004391103320579667,0.045379972310343804,0.04318442065005397,0.04757552397063364,0.045379972310343804,0.12532827162775767,0.13185950574608463,0.12862923041321694,0.20780861543750773,0.21811814223175852,0.2130257550399571,0.0018648941868808077,0.002263430481080336,0.0020593418868875705,0.008014044458424407,0.2823318491989082,0.278324826969696,0.2863388714281204,0.2823318491989082,0.3474865270476767,0.3533544467669524,0.3504261435276238,0.5275649978625345,0.5351064113128532,0.5313490841235243,0.07746470930771122,0.08198994929072968,0.07971127307207504,0.018609462146608025,0.45104077336280035,0.4417360422894963,0.46034550443610434,0.45104077336280035,0.4610787476603613,0.47353896608560386,0.46731395419003796,0.6646322609454768,0.6784876597522643,0.6715956918882077,0.1951307310575877,0.21191798345453136,0.20343777923571302
