path_family,path_progress,n_biological_pairs,A_rate_median,A_rate_q25,A_rate_q75,A_rate_n,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,support_rate_hz_median,support_rate_hz_q25,support_rate_hz_q75,support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,orth_rate_median,orth_rate_q25,orth_rate_q75,orth_rate_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n
coupled,0.525,72,0.3418607936576138,0.15775319095026497,0.5225330031299465,72,0.2845606638233149,0.09701899141910961,0.39318037861815053,72,1.0167984024533498,0.7032797168631749,1.4146558857913085,72,62.011039333502424,46.22054745620848,76.99985123173771,72,14.281906471612327,12.294599111620508,16.601694383495392,72,2.9613532701036838,2.3677036385087766,4.191488911308165,72,0.8016966237363482,0.5302546109753216,1.1873970315842228,72,0.6701598619662599,0.4711884059646594,0.9084958664398642,72
coupled,0.55,72,0.36031517777675875,0.17905110129256344,0.5632585108089109,72,0.3230283240437551,0.1137093776405571,0.42071784616594143,72,1.1020823543229807,0.7030688447893009,1.4926739356686236,72,58.92696748048137,45.35604009163487,76.02641850430547,72,14.882367183052116,12.396524707300166,16.762947478628288,72,2.9278463139514512,2.2709798612971004,4.2664645902244365,72,0.8235841843952016,0.5042005263025298,1.133553650388355,72,0.6124713320950086,0.457549124253362,0.8886834358108084,72
coupled,0.5750000000000001,72,0.40261590829293264,0.2003628320092372,0.5726418922853496,72,0.3499761081588902,0.14911288965144887,0.4514741146463165,72,1.1247403503901507,0.7105118527522156,1.5203256468213926,72,57.485259221869754,44.00392893500087,74.64934745236052,72,15.033596306924329,12.79345965191444,16.897013769179434,72,2.8665266041492634,2.2536127828965355,4.204839959351087,72,0.8030474936726044,0.45644903468865966,1.1400116743698963,72,0.5731933369790363,0.4222566691978555,0.8689373549469905,72
coupled,0.6000000000000001,72,0.43795976002831166,0.23925819221521402,0.5972899682023802,72,0.3809656434334905,0.17816313868020625,0.46769646028792405,72,1.1951571990910008,0.7574732208459931,1.6046051289400372,72,56.44700250727002,43.11760588878235,73.18970679265718,72,15.46569672192243,13.025316311269387,17.430248241722936,72,2.77384699166221,2.2014711593663683,3.9152656132322896,72,0.772077555263186,0.45592195082412573,1.1350467661565242,72,0.5678136520322905,0.428998973207932,0.8333626006533824,72
coupled,0.625,72,0.46680458619207144,0.2910422027889786,0.6370385305673297,72,0.40866680575780456,0.21442891051525886,0.49151606065354947,72,1.2463703478004382,0.8193120123554172,1.6831217225979507,72,55.869355554131644,41.05775110085354,70.52176696051514,72,15.879616315893404,13.385743779823745,17.90434986071583,72,2.711428400134363,2.163955092306141,3.6963113149086784,72,0.7586610013099446,0.42877815634121075,1.0579110394043678,72,0.5666760475934738,0.3860792468130632,0.8000277581620885,72
coupled,0.65,72,0.5068771621637771,0.32712900918776583,0.646042816997309,72,0.4260797704681012,0.2713191488571016,0.5139015856141805,72,1.3379289546332962,0.8317099143622573,1.8339312334833673,72,54.80931612975761,39.264358534428524,69.82339066224053,72,16.038072459785866,13.441317799098545,18.14139207051099,72,2.6545713958098576,2.1307029075127644,3.451309769125539,72,0.7225403922188991,0.40405421585390555,1.0283506436469654,72,0.5200377948401945,0.37033729555726536,0.7363878823130255,72
coupled,0.675,72,0.529019697702555,0.3593979940707894,0.6747189903263148,72,0.46506415115410804,0.3142433983953291,0.5386357624353395,72,1.3957274856922477,0.9015156888857909,1.9337013610781455,72,54.58280462246201,39.45238075057103,68.02165717498977,72,16.09600595180241,13.672777497313827,18.63672485252481,72,2.603766176355622,2.1063228127278677,3.3642797149678416,72,0.6727578235394067,0.3446685394872966,0.9770474605778388,72,0.5227939179426653,0.34051466734794666,0.7161152555961863,72
coupled,0.7000000000000001,72,0.5652019576470082,0.3944527414044745,0.7000079123943284,72,0.486814222308821,0.36319111632073364,0.5635423657293375,72,1.4395734530027775,1.0242941401565797,2.0706176984095364,72,55.71520986752719,36.99901942553564,66.33167776817876,72,16.431951001761533,13.956988068052492,18.961112908930666,72,2.5749533228425867,2.0839078566551605,3.323770294866549,72,0.6649713247980188,0.3477880316355658,0.949305733026371,72,0.4820096036279214,0.2999595602025019,0.7138176538279739,72
coupled,0.7250000000000001,72,0.5806038352290324,0.41463384269348746,0.7521586808434445,72,0.5229492456404686,0.40245611656941466,0.5895828109384273,72,1.5232603674833018,1.1386560912345831,2.176784212105842,72,53.46991354881518,36.662670913468816,64.50979617791204,72,16.819524954037146,14.387908741895956,19.22842428173909,72,2.4479209930710386,2.061488877681858,3.3130923899846696,72,0.6170117811589128,0.35667731815823434,0.8799821280198965,72,0.4638316134172744,0.28091276033055357,0.7063879810759947,72
coupled,0.75,72,0.6124321544652429,0.4240002660495778,0.770396432987954,72,0.5530579932265194,0.4155212968297023,0.6441514071682096,72,1.5974585421808996,1.2085787396447771,2.2949341826759793,72,52.759230213507436,35.8996941103048,63.13496041995836,72,17.210311991339104,14.962744327137221,19.606808589268617,72,2.3352207242936407,2.013739303137877,3.1925546428929197,72,0.6041312584210436,0.32056818393147224,0.9099443757225427,72,0.37241602282689806,0.28228882915730596,0.6993987959596688,72
