subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
core_secure_pairs,isi,0.5333333333333333,32,0.5113970156579521,-0.2534802023258758,1.010202804192728,1.603003666338417,0.7953204607888047,2.0288851580065788,-1.048711277654323,-1.2461928481043862,-0.9068938999859544,-0.0004178225699913,-0.0085981640306214,0.0007850660884196
core_secure_pairs,isi,0.5666666666666667,32,0.5942374475260573,-0.3378150854340488,1.0582510368881302,1.4911538741138537,0.7772133717627339,2.065565581692083,-1.0321981719198212,-1.2375452797623143,-0.8727726733836223,-0.0008115083800822,-0.028252937862505,0.0004049266983528
core_secure_pairs,isi,0.6,32,0.6553077080814189,-0.2489747464745021,1.1140687065232062,1.5539689681072186,0.7783935673264806,2.115235708294334,-1.0312284304433574,-1.2292735091979812,-0.8689187885553638,-0.000860172375081,-0.0050567148122719,0.001045902751861
core_secure_pairs,isi,0.6333333333333333,32,0.7070950345083955,-0.243620048217667,1.182720953061411,1.6244306775290034,0.9426533740178348,2.147149000520424,-1.0192097068990926,-1.1705337227154542,-0.9118455989711194,-0.0013200807065976,-0.0083555444511488,0.000589986431442
core_secure_pairs,isi,0.6666666666666666,32,0.6490098919380393,-0.1991114253488298,1.2509436610128133,1.5645582831594536,0.8746262860044803,2.1782033876012585,-1.0216231223452747,-1.174400654894997,-0.8678085334012993,-0.0022444607704222,-0.0128524407602212,0.0014915770249343
core_secure_pairs,isi,0.7,32,0.7870398557001528,-0.1406063725627812,1.3185080091407086,1.554548269132613,0.7310676660688149,2.2893535721535216,-0.9710195140924548,-1.1370138763174509,-0.8311289040386234,-0.0029222695292026,-0.0151570039718749,-0.0001939893990167
core_secure_pairs,isi,0.7333333333333333,32,0.8163393834302812,-0.1058462733590884,1.3796595130140856,1.5760145301963475,0.7082139576165816,2.349216547635434,-0.974508843982146,-1.131550340217208,-0.8175734574485302,-0.0027593561090508,-0.0184143818230324,0.0001278943847631
core_secure_pairs,isi,0.7666666666666666,32,0.8207667413699022,0.0156981479008056,1.3118967012782985,1.5913520444201417,0.8579435445134878,2.4627178103762657,-0.9445338507715272,-1.1374315062243927,-0.8229362411729182,-0.0025518906236062,-0.0181649172413315,8.991405249272571e-05
core_secure_pairs,isi,0.8,32,0.8586291603103888,-0.0892159462723398,1.5177910722041712,1.7269569017520778,0.7770722153552543,2.57580929547604,-0.9730568178027804,-1.1954018836016695,-0.8511985302807805,-0.0032766785655413,-0.0102920912607502,-0.0013994570129999
core_secure_pairs,isi,0.8333333333333334,32,0.8649569962344047,-0.0313234299450743,1.5580102480392668,1.8066027641503064,0.7214037309840782,2.729980757254118,-0.9435167099822908,-1.1886686703324354,-0.8348784714358296,-0.0087957360289144,-0.0163216406065025,-1.932312345896887e-05
core_secure_pairs,isi,0.8666666666666667,32,0.9460123941795628,-0.0749032394296916,1.511990440589105,1.7493227897714427,1.0065310437669783,2.828578382098268,-0.9902513291007988,-1.2536251499113509,-0.883391450115076,-0.0087003204988735,-0.0159960212159704,-2.5666594271585644e-05
core_secure_pairs,isi,0.9,32,,,,1.848910139375036,0.9014153895391692,3.034698790109406,-1.1501696308667833,-1.3450087842049177,-0.8708942917024359,,,
core_secure_pairs,isi,0.9333333333333332,32,,,,1.930580055923789,0.8968154107283021,3.300160904276074,-1.1872450567035329,-1.3911149673073773,-0.8871655570646599,,,
core_secure_pairs,isi,0.9666666666666668,32,,,,1.9876579036537605,0.876915182373521,3.600439430137284,-1.2413588061422192,-1.539127309541931,-0.882057200554609,,,
core_secure_pairs,isi,1.0,32,,,,2.157016669848571,0.5663019643325057,3.41785331279602,-1.672607975784226,-1.9620884595142312,-0.9493775860934704,,,
