biological_pair_key,n_support_scenarios,fisher_interior_peak_p_median,fisher_interior_peak_p_q25,fisher_interior_peak_p_q75,fisher_interior_peak_p_support_weight,entropy_peak_p_median,entropy_peak_p_q25,entropy_peak_p_q75,entropy_peak_p_support_weight,epr_peak_p_median,epr_peak_p_q25,epr_peak_p_q75,epr_peak_p_support_weight,kl_balance_p_median,kl_balance_p_q25,kl_balance_p_q75,kl_balance_p_support_weight,epr_onset_p_median,epr_onset_p_q25,epr_onset_p_q75,epr_onset_p_support_weight,median_split_js,min_epr_retained_mass,wt_exit_p_isi_weighted_median,balance_p_isi_weighted_median,sca3_entry_p_isi_weighted_median
WT_09__TO__SCA3_01,12,0.1,0.0666666666666666,0.2666666666666667,0.3333333333333333,0.0333333333333333,0.0,0.1333333333333333,1.0,0.1,0.0333333333333333,0.2333333333333333,1.0,0.5492045247354003,0.1876535564274627,0.5894219500323592,1.0,0.4,0.4,0.65,0.1666666666666666,0.0014558643736123,0.999367784177028,0.3639537854806952,0.6402271073882175,0.8385737784215259
WT_09__TO__SCA3_04,36,0.45,0.125,0.6749999999999999,0.8611111111111112,0.0666666666666666,0.0,0.5666666666666667,1.0,0.1333333333333333,0.0333333333333333,0.8666666666666667,1.0,0.3581779481908557,0.1168615596679593,0.4984601248181703,1.0,0.2500000000000001,0.1416666666666667,0.3916666666666667,0.25,0.0012586215652989,0.9992013804184184,0.3565827783661807,0.6951221497733518,0.8500000000000001
WT_09__TO__SCA3_06,6,0.6166666666666667,0.35,0.8333333333333334,0.8333333333333333,0.7333333333333333,0.6666666666666666,0.8,1.0,0.9,0.4166666666666668,0.9166666666666669,1.0,0.2925740780304894,0.1147811565388685,0.7114897065980929,1.0,0.9,0.9,0.9333333333333332,0.3333333333333333,0.0013549626398775,0.999377377800449,0.4561251878743326,0.6958984619902797,0.8445368931453494
WT_09__TO__SCA3_09,18,0.5666666666666667,0.15,0.7833333333333334,0.7777777777777779,0.9666666666666668,0.8333333333333334,1.0,1.0,0.0333333333333333,0.0,0.1499999999999999,1.0,0.2424456689342429,0.1195287901778983,0.3847789353157471,1.0,0.2,0.1666666666666666,0.2916666666666667,0.1666666666666666,0.0009926251643455,0.9994163782434466,0.19509343454612,0.602500475665959,0.8643617209479445
WT_10__TO__SCA3_01,2,0.8,0.8,0.8,0.5,0.9333333333333332,0.9333333333333332,0.95,1.0,0.9,0.9,0.95,1.0,0.6996393387027384,0.6996393387027384,0.8402672385542378,1.0,0.2333333333333333,0.2333333333333333,0.55,1.0,0.001513159660353,0.9994956783111184,0.4197493366135402,0.6741142935210022,0.8641745676300951
WT_10__TO__SCA3_04,6,0.5333333333333333,0.1666666666666666,0.7333333333333333,0.6666666666666666,0.7666666666666667,0.3666666666666667,0.9166666666666669,1.0,0.8333333333333335,0.6333333333333333,0.9833333333333334,1.0,0.2211456139299301,0.0952212964960073,0.3433917486796446,1.0,0.1666666666666666,0.1333333333333333,0.1666666666666666,1.0,0.0015309829775512,0.999302948605988,0.0419461842932082,0.3176912565606329,0.3377152111136632
WT_10__TO__SCA3_06,1,0.9,0.9,0.9,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,1.0,0.6018843777311574,0.6018843777311574,0.6018843777311574,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0016335968477419,0.9992319080383356,0.5283251816592784,0.7598531309478366,0.8782437450738682
WT_10__TO__SCA3_09,3,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.3333333333333333,0.9,0.8,1.0,1.0,0.9166666666666669,0.9,0.95,1.0,0.2554638205985075,0.1609104161742852,0.3683713023506597,1.0,0.1666666666666666,0.1333333333333333,0.2166666666666666,1.0,0.0009547799640295,0.999439365458435,0.0123093539030183,0.1283608672243519,0.3675772583115222
WT_13__TO__SCA3_01,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0333333333333333,1.0,0.9333333333333332,0.9333333333333332,0.9666666666666668,1.0,0.0929626038243716,0.0929626038243716,0.383991527605883,1.0,0.3,0.3,0.6166666666666667,1.0,0.0016866570969536,0.999187599686554,0.5998888530645605,0.7739477232750757,0.9010372490136722
WT_13__TO__SCA3_04,6,0.2666666666666666,0.1666666666666666,0.7666666666666667,0.6666666666666666,0.0333333333333333,0.0,0.3166666666666668,1.0,0.6,0.0166666666666666,0.8333333333333335,1.0,0.3878311865343927,0.3295819171347608,0.4691515752334797,1.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.6666666666666666,0.0011737912376868,0.9991897841246848,0.4290515400284371,0.7826117528334974,0.8151255615288733
