path_family,path_progress,n_pairs,A_isi_median,A_isi_q25,A_isi_q75,rheobase_J_median,active_rate_median,mean_isi_median,occupancy_median
coupled,0.75,32,0.5737585927563198,0.4390400871832421,0.6491021152140614,0.8569939960473127,56.373366091708135,17.18305668695772,0.9803671298970756
coupled,0.775,32,0.59537544703954,0.4554172857681418,0.6829707308744241,0.9797086207696484,54.11774978285415,17.220045058511122,0.9829644392024508
coupled,0.8,32,0.6371779333224451,0.4981260962588764,0.7150978914551125,1.1178836880093108,52.159108431128594,17.475338297526584,0.982482003103118
coupled,0.8250000000000001,32,0.6992416943269275,0.5559411562370693,0.7583026929226545,1.1904782519063317,49.11560498861758,18.1742977056833,0.981776297484738
coupled,0.8500000000000001,32,0.7398529603162145,0.6207610949962212,0.8096820108854507,1.2465673891899185,47.296782244843214,18.639869946155454,0.9782194800792798
coupled,0.875,32,0.7864150571246757,0.6657842780363374,0.8655112158029424,1.3102494552440094,46.03166244920138,19.39940885439035,0.9809546966939195
coupled,0.9,32,0.8303254116673513,0.7103981372260639,0.8962563008207897,1.442809388689297,46.30895193269481,19.60566552279419,0.98248281709553
coupled,0.925,32,0.8782324228760254,0.7602932582737272,0.9201174272357427,1.5799559249536232,43.45076627732064,21.09804066556048,0.9776319031797804
coupled,0.95,32,0.9049820296833336,0.8278726431265943,0.9592988538473584,1.7394838077898824,41.22000483676926,22.54798386400553,0.9763817658588684
coupled,0.975,32,0.930156325904125,0.8555257282736817,1.0343800331245336,1.9143840507352905,40.22319682845493,24.387734427946366,0.981154832713804
coupled,1.0,32,0.9896937927846758,0.8630447550964186,1.0976255550644676,2.100150164557705,40.333055978523824,24.9162270568682,0.9744655361255604
drive_early,0.0,32,0.0342834500379349,-0.0838806796353532,0.0592153909067684,0.3157275820058134,83.83551113555984,11.68213641199844,0.9913454832681764
drive_early,0.025,32,-0.014887463101878,-0.1587744054242371,0.054716170793917,0.33203490484410236,89.52508368229024,10.86830534481563,0.991684906535732
drive_early,0.05,32,-0.0282910226568747,-0.1955546749260454,0.0561135167149079,0.34848296401849577,92.33172794895812,10.422932204812174,0.9916547976750572
drive_early,0.075,32,-0.0306729912612733,-0.2327085294969118,0.0645547952543953,0.36541700225478974,93.7006023926157,10.104844991113062,0.9918414628952096
drive_early,0.1,32,-0.015125564024459,-0.2743667642023536,0.0660279307436091,0.3818011699402112,93.26164724622232,10.18721157999057,0.9901015805046792
drive_early,0.125,32,0.0074508574952575,-0.3074743646465904,0.0750345981477253,0.394168427515063,92.91589823875162,10.36407355168578,0.9904543108994712
drive_early,0.15,32,0.0330752724451106,-0.2902076369454514,0.1188101819928734,0.4135652962816365,90.82085418350296,10.57397544068122,0.9914332306896876
drive_early,0.175,32,0.0472873740044667,-0.2690985425861838,0.1324487491521459,0.4269698956603205,88.08218585150098,10.509476176091171,0.9889531703733426
drive_early,0.2,32,0.0700338383500432,-0.2450911218511334,0.1644721623393991,0.4402951661458326,84.45903962753259,10.790461188785702,0.9865197144665748
drive_early,0.225,32,0.1135289868638376,-0.2155322062172439,0.2066143495950978,0.4632969075185789,80.8074031594583,11.08290233672068,0.9873531315402816
drive_early,0.25,32,0.1364754907773204,-0.1818189838214642,0.2355380359466087,0.4637738092750815,78.2606992109483,11.22812807101592,0.9874891480866546
drive_early,0.275,32,0.1449078354724716,-0.1460801266534486,0.2702126457911634,0.4854035716375548,76.70233933344267,11.618091709570828,0.9845023999945866
drive_early,0.3,32,0.165644951697153,-0.082319810579494,0.2870129306891312,0.4874156513066922,73.48298768987081,11.82575813607695,0.9879439068654368
drive_early,0.325,32,0.1936798152956637,-0.0457873110534266,0.3204989951633031,0.4871523849504954,72.58498849283845,12.185082175293978,0.985085518940173
drive_early,0.35,32,0.1923432569764441,-0.0084770451378295,0.3560002732837216,0.495353303886693,68.31808735125622,12.614572956221416,0.9857320503635246
