group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,rheobase_J,q75_firing_rate_hz,q75_mean_isi_ms,q50_firing_rate_hz,q50_mean_isi_ms,cell_weight_within_group,within_cell_support_weight,group_support_weight,z_log10_rheobase_J,z_log10_firing_rate_q75
WT,WT_06,NA_NOT_RECOVERABLE,b_HIGH,b_HIGH,5.274160798918058,0.0079988367083422,1.7374959882321483,1.2847269319935857,0.5093796260393233,105.85665493459344,9.393600803282624,88.51439575145358,11.125090604344646,0.08333333333333333,0.2,0.016666666666666666,-0.6077856373102937,1.4392250476781185
WT,WT_06,NA_NOT_RECOVERABLE,r_LOW,r_LOW,5.304748410265309,0.010398174812392,1.7399419220066723,1.288675881978911,0.5302314235964887,105.85665493459344,9.380144212579513,88.51439575145358,11.10063657996503,0.08333333333333333,0.2,0.016666666666666666,-0.5657553209706587,1.4392250476781185
WT,WT_06,NA_NOT_RECOVERABLE,r_HIGH,r_HIGH,4.126849470894642,0.0827395029964844,1.8307717301406283,1.508101738055562,0.6066880146394279,111.7893104543888,8.896975142070318,88.5066690181928,11.111339448621884,0.08333333333333333,0.2,0.016666666666666666,-0.4246403765490933,1.5819906997563473
WT,WT_06,NA_NOT_RECOVERABLE,s_HIGH,s_HIGH,3.362633132681248,0.0001550218777191,2.631733463776054,1.015477707458616,0.5749138469332712,113.76621474939653,8.680360710661164,85.51452961241843,11.486508616587065,0.08333333333333333,0.2,0.016666666666666666,-0.48099629451814774,1.627885229194072
WT,WT_07,NA_NOT_RECOVERABLE,best,best,3.20511381810753,0.0011459239565885,3.67550749934334,0.31690076561024,1.2731089460957787,6.367832293092159,21.04568239656965,20.8068652912798,,0.08333333333333333,0.25,0.020833333333333332,0.35185464479113276,-5.919824186515455
WT,WT_07,NA_NOT_RECOVERABLE,r_HIGH,r_HIGH,3.17317329615814,0.0023161004007401,9.9471348004606,0.4201134569459425,1.3349425115609683,2.174798473115336,15.278204925901951,20.8068652912798,,0.08333333333333333,0.25,0.020833333333333332,0.40153919054957704,-8.732518577175194
WT,WT_07,NA_NOT_RECOVERABLE,s_LOW,s_LOW,3.0603635922879158,0.0386062583963655,0.7584332157738324,0.2577102682234195,1.2753172877195351,24.18822602799365,41.17839067191915,20.8068652912798,,0.08333333333333333,0.25,0.020833333333333332,0.35367026955316677,-2.425678671202099
WT,WT_07,NA_NOT_RECOVERABLE,s_HIGH,s_HIGH,3.199660728323372,0.0012836333937856,5.173317100224351,0.3200926474498973,1.279733970967049,4.271315383103747,19.378418588678382,20.8068652912798,,0.08333333333333333,0.25,0.020833333333333332,0.35729210626510777,-6.965332488159395
WT,WT_08,WT_AN01,best,best,2.96491156494738,0.0051280442452668,0.108035818424331,0.583625883723969,0.4738492234861163,71.81561471722117,8.890497594066147,81.78202139418337,9.664259395412271,0.08333333333333333,1.0,0.08333333333333333,-0.6835328156420841,0.4234410235121686
WT,WT_09,WT_AN01,best,best,3.00499404393986,0.0044079110035059,0.31659710626319,0.377275581008005,0.674460655746496,80.21640808908398,11.947495223109131,69.52355295566515,13.615725933654865,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.31369932461771877,0.7130722956240414
WT,WT_09,WT_AN01,b_HIGH,b_HIGH,5.257730627315008,0.0452954719691302,1.7630921539184683,1.3814934095287963,0.6416812718884191,86.58425698456506,11.102699480475406,74.74984605911347,12.7923992265159,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.3658932162432811,0.9130694037255538
WT,WT_09,WT_AN01,r_LOW,r_LOW,3.152501517078488,0.0002047484118198,3.977850843010589,1.175377844369622,0.6565809918239085,89.87088832545346,10.784078809778526,63.7854064039412,14.739882767312192,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.3418459042867128,1.0106098012002578
WT,WT_09,WT_AN01,r_HIGH,r_HIGH,4.237813121680931,0.07237000216167,2.215422899951207,1.7408485883742804,0.6555876771615425,80.510150771901,12.059886839917018,64.21259236453221,14.980990119581866,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.34343199879933145,0.7226419779108972
WT,WT_09,WT_AN01,s_HIGH,s_HIGH,3.306590990861459,0.0001225163397009,3.776040141331471,1.0030420133643612,0.6585676211486404,73.37199748777175,13.338071966154237,52.69011699507412,18.32130496812616,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.33868090119819066,0.4795743931712365
WT,WT_09,WT_AN01,kappa_I_HIGH,kappa_I_HIGH,3.990306274092655,0.0865235037522462,2.252024696024145,1.8248218143010388,0.6516144185120787,80.803893454718,11.984277775040754,63.87007389162582,15.054792288994976,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.3498005000252938,0.7321768085468966
WT,WT_10,WT_AN01,best,best,2.87849103010525,0.0756322387263896,1.19184381052622,1.14094020461274,0.6489912667881883,73.19122834019936,13.319891588999186,48.14501231527064,20.600637390836987,0.08333333333333333,1.0,0.08333333333333333,-0.3540263118018853,0.47311610914720537
WT,WT_11,WT_AN01,best,best,3.13770292391716,0.0002385028325333,2.31472251602244,0.431752800316632,1.79414297517395,62.88981302539635,15.350570576289734,49.480116202722726,18.89382352776393,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.7112553474091846,0.0759716097746218
WT,WT_11,WT_AN01,r_LOW,r_LOW,3.2155254661316666,0.0001191007981447,3.6697873530602103,0.4579673106366478,1.6630893216375813,62.88981302539635,15.539511367522486,49.480116202722726,19.068317636335085,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.6317931596665641,0.0759716097746218
WT,WT_11,WT_AN01,s_LOW,s_LOW,3.1526470204566115,0.0001218135558237,0.5876823916519104,0.4713121160425291,1.6889308871236255,84.92339468944726,11.496597136942764,69.06943731273272,13.86808864235812,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.6479461373373261,0.8623608379698448
WT,WT_13,WT_AN02,best,best,2.93333766919004,0.0030284877134034,0.215780361615529,0.587583929838755,0.6139190612350652,75.56991407982252,9.743956204579296,64.87365453353544,10.165310487060076,0.08333333333333333,1.0,0.08333333333333333,-0.41222779385743674,0.5568501802686041
WT,WT_14,WT_AN02,best,best,2.98381256769243,0.0373873647475754,0.470608952474538,0.385782970373697,0.8923298902068751,78.53125822801451,12.60286829241946,63.55022261417572,15.450127280970795,0.08333333333333333,0.5,0.041666666666666664,-0.02044819580246793,0.6574863346428585
WT,WT_14,WT_AN02,r_LOW,r_LOW,3.303410641748869,0.0001252023292863,1.4085582398933123,0.764722163980997,0.8127027187011624,82.97952869931515,11.516144081129925,66.39405022325322,14.746644124188148,0.08333333333333333,0.5,0.041666666666666664,-0.11836932862171888,0.8017367673700755
