group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,alt_loss,rheobase_J,rheobase_pA,n_solution_members_cell,within_cell_support_weight,q75_firing_rate_hz,q75_mean_isi_ms,q75_median_isi_ms,q75_spike_count,q75_train_duration_ms,q50_firing_rate_hz,q50_mean_isi_ms,q50_median_isi_ms,q50_spike_count,q50_train_duration_ms,cell_weight_within_group,group_support_weight,log10_rheobase_J,z_log10_rheobase_J,log10_firing_rate_q75,z_log10_firing_rate_q75
WT,WT_04,NA_NOT_RECOVERABLE,best,best,3.07526787577599,0.0366751221750693,0.519708187871091,0.61900642338991,,0.3807969954705221,200.390625,6,0.16666666666666666,63.51434927075274,15.301092657440917,15.530035281262904,64.26367187499963,965.8672905077392,47.84121971529232,20.347524114716496,20.743632363651106,48.53515624999991,959.988973990398,0.08333333333333333,0.013888888888888888,-0.4193064869044768,-0.9125653522005926,1.8028718529314045,0.10184286096032087
WT,WT_04,NA_NOT_RECOVERABLE,b_HIGH,b_HIGH,5.100692288984847,0.0009171973103136,2.4319174421422822,1.443876921898457,0.816606929072162,0.3859930558375662,203.125,6,0.16666666666666666,68.21004591631105,14.46086275571252,14.2996983610189,69.01562499999957,981.2892274086628,46.38050874251826,19.441695394158483,18.084797453227413,47.05468749999986,884.5919667229487,0.08333333333333333,0.013888888888888888,-0.4134205083814939,-0.898367058244718,1.8338483418811526,0.2885820675786237
WT,WT_04,NA_NOT_RECOVERABLE,r_LOW,r_LOW,4.624715502551803,0.0121402165240181,1.99140956469948,1.6238637867543957,0.8012677425885472,0.4179117123779804,219.921875,6,0.16666666666666666,66.9745542873188,14.710296940836091,15.104616121116957,67.76757812499953,979.24232027552,44.90546421672238,22.024299025192647,23.23264273227177,45.55859374999984,956.6781949017832,0.08333333333333333,0.013888888888888888,-0.3789154571649468,-0.8151331731358793,1.8259098320793945,0.24072541653864232
WT,WT_04,NA_NOT_RECOVERABLE,r_HIGH,r_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,0.5747883301798449,0.8456536868557841,0.3889622331901629,204.6875,6,0.16666666666666666,71.4226003034868,13.628859080047658,13.662789255357255,72.26367187499963,969.7086184636132,56.70582042308943,17.015245500779066,17.06068063411263,57.52734374999993,958.297070599966,0.08333333333333333,0.013888888888888888,-0.4100925650325664,-0.890339316085607,1.8538356576307482,0.40907395068273933
WT,WT_04,NA_NOT_RECOVERABLE,s_HIGH,s_HIGH,4.9822056485118775,0.0015351811469617,2.0918407503909955,1.414480091955145,0.8395482413124595,0.3934159992190579,207.03125,6,0.16666666666666666,67.22151453721929,14.60022141451688,14.638116577993747,68.01562499999957,976.1778069602366,47.35909390870824,20.17988915618938,19.061915628065695,48.04687499999987,936.6136874287558,0.08333333333333333,0.013888888888888888,-0.405147982415504,-0.8784118791756635,1.8275082931341597,0.2503616070591804
WT,WT_04,NA_NOT_RECOVERABLE,kappa_I_LOW,kappa_I_LOW,3.074943737087533,0.0720546749153909,0.0823540568895111,0.1819782293652072,0.8581729322794552,0.465418550019527,244.921875,6,0.16666666666666666,63.513658891262935,15.001003868243522,14.988118218751955,64.25585937499984,948.6193770959164,56.69148687006761,16.306338162813528,16.315720611492665,57.51171874999997,920.9967684929628,0.08333333333333333,0.013888888888888888,-0.33215631118557665,-0.7023396763284352,1.802867132271651,0.10181440285267279
WT,WT_06,NA_NOT_RECOVERABLE,best,best,3.00268700778274,0.0397070714073017,0.320997650843926,0.43690513909511,,0.6344904113823149,249.609375,5,0.2,103.87975063958572,9.404592503205745,9.46207418269425,104.99023437500004,977.980889120967,87.51959152728239,11.169553757922737,11.24940175274832,87.97656250000004,971.4703074832928,0.08333333333333333,0.016666666666666666,-0.19757493671382417,-0.37769936235609813,2.01653089844685,1.389868779943711
WT,WT_06,NA_NOT_RECOVERABLE,b_HIGH,b_HIGH,5.274160798918058,0.0079988367083422,1.7374959882321483,1.2847269319935857,0.5383339512917603,0.5093796260393233,200.39062500000003,5,0.2,105.85665493459344,9.393600803282624,9.463656960570283,106.98828125000004,995.6059429260818,88.51439575145358,11.125090604344646,11.223771623767025,88.97656250000004,978.7276354002132,0.08333333333333333,0.016666666666666666,-0.292958429760408,-0.6077856373102937,2.02471816618651,1.4392250476781185
WT,WT_06,NA_NOT_RECOVERABLE,r_LOW,r_LOW,5.304748410265309,0.010398174812392,1.7399419220066723,1.288675881978911,0.5598395918970259,0.5302314235964887,208.59375000000009,5,0.2,105.85665493459344,9.380144212579513,9.435305626216596,106.98828125000004,994.1797402296684,88.51439575145358,11.10063657996503,11.178925282003512,88.97656250000004,976.5763502650232,0.08333333333333333,0.016666666666666666,-0.2755345378436677,-0.5657553209706587,2.02471816618651,1.4392250476781185
WT,WT_06,NA_NOT_RECOVERABLE,r_HIGH,r_HIGH,4.126849470894642,0.0827395029964844,1.8307717301406283,1.508101738055562,0.5716538752915223,0.6066880146394279,238.671875,5,0.2,111.7893104543888,8.896975142070318,8.915144895681772,112.98437500000004,996.3126536717816,88.5066690181928,11.111339448621884,11.135843949380073,88.96875000000007,977.4168843284727,0.08333333333333333,0.016666666666666666,-0.21703458462967004,-0.4246403765490933,2.048400277319413,1.5819906997563473
