biological_pair_key,dt_ms,view,marker_variant,aggregation_order,n_support_scenarios,kl_balance_p,kl_balance_p_q25,kl_balance_p_q75,firing_balance_p,kl_minus_firing_p
WT_14__TO__SCA3_06,0.025,z,q25_seed_isotonic,marker_first,2,0.23470855701743626,0.161745173595398,0.30767194043947454,0.6377356054563533,-0.40302704843891707
WT_14__TO__SCA3_06,0.025,z,q75_seed_isotonic,marker_first,2,0.6012204118651514,0.5023185703011641,0.7001222534291388,0.6377356054563533,-0.03651519359120192
WT_14__TO__SCA3_06,0.025,z,seed_median_curve_first,marker_first,2,0.20470744203826136,0.05845158239540567,0.35096330168111706,0.6377356054563533,-0.43302816341809197
WT_14__TO__SCA3_06,0.025,z,seed_median_curve_isotonic,marker_first,2,0.31527511887561616,0.227469877137318,0.4030803606139143,0.6377356054563533,-0.32246048658073717
WT_14__TO__SCA3_06,0.025,z,seed_median_curve_persistent,marker_first,2,0.36244355201284517,0.3144105213659282,0.41047658265976217,0.6377356054563533,-0.27529205344350816
WT_14__TO__SCA3_06,0.05,xy,median_seed_isotonic,marker_first,2,0.37860496015022094,0.3561297964024032,0.4010801238980386,0.6377356054563533,-0.2591306453061324
WT_14__TO__SCA3_06,0.05,xy,q25_seed_isotonic,marker_first,2,0.21798247076585803,0.09396967585025165,0.34199526568146443,0.6377356054563533,-0.4197531346904953
WT_14__TO__SCA3_06,0.05,xy,q75_seed_isotonic,marker_first,2,0.5245600996692473,0.42232722024177766,0.6267929790967169,0.6377356054563533,-0.113175505787106
WT_14__TO__SCA3_06,0.05,xy,seed_median_curve_first,marker_first,2,0.20445012966084292,0.050276685074451585,0.35862357424723423,0.6377356054563533,-0.4332854757955104
WT_14__TO__SCA3_06,0.05,xy,seed_median_curve_isotonic,marker_first,2,0.44401111472575694,0.40632563615908424,0.48169659329242964,0.6377356054563533,-0.1937244907305964
WT_14__TO__SCA3_06,0.05,xy,seed_median_curve_persistent,marker_first,2,0.45111439104813855,0.41480559124327443,0.4874231908530026,0.6377356054563533,-0.18662121440821478
WT_14__TO__SCA3_06,0.05,xyz,median_seed_isotonic,marker_first,2,0.2289197379931049,0.16375563321475622,0.29408384277145355,0.6377356054563533,-0.40881586746324844
WT_14__TO__SCA3_06,0.05,xyz,q25_seed_isotonic,marker_first,2,0.17689144402647622,0.06633772886704178,0.2874451591859107,0.6377356054563533,-0.4608441614298771
WT_14__TO__SCA3_06,0.05,xyz,q75_seed_isotonic,marker_first,2,0.28670108627800983,0.18879432310459554,0.3846078494514242,0.6377356054563533,-0.3510345191783435
WT_14__TO__SCA3_06,0.05,xyz,seed_median_curve_first,marker_first,2,0.18140354524318966,0.06619111836820024,0.2966159721181791,0.6377356054563533,-0.45633206021316364
WT_14__TO__SCA3_06,0.05,xyz,seed_median_curve_isotonic,marker_first,2,0.38917637454790965,0.2966159721181791,0.48173677697764017,0.6377356054563533,-0.24855923090844367
WT_14__TO__SCA3_06,0.05,xyz,seed_median_curve_persistent,marker_first,2,0.4212255573758459,0.2966159721181791,0.5458351426335127,0.6377356054563533,-0.21651004808050744
WT_14__TO__SCA3_06,0.05,z,median_seed_isotonic,marker_first,2,0.2736589106577281,0.1821962842481469,0.3651215370673093,0.6377356054563533,-0.3640766947986252
WT_14__TO__SCA3_06,0.05,z,q25_seed_isotonic,marker_first,2,0.22920819288221955,0.16084725992494558,0.2975691258394935,0.6377356054563533,-0.4085274125741338
WT_14__TO__SCA3_06,0.05,z,q75_seed_isotonic,marker_first,2,0.5964861412840345,0.4909393879366815,0.7020328946313875,0.6377356054563533,-0.041249464172318784
WT_14__TO__SCA3_06,0.05,z,seed_median_curve_first,marker_first,2,0.2047506149620485,0.06015008752434143,0.34935114239975557,0.6377356054563533,-0.43298499049430483
WT_14__TO__SCA3_06,0.05,z,seed_median_curve_isotonic,marker_first,2,0.2973945415801336,0.22966754609295792,0.3651215370673093,0.6377356054563533,-0.3403410638762197
WT_14__TO__SCA3_06,0.05,z,seed_median_curve_persistent,marker_first,2,0.3615666091453864,0.3159902112207639,0.407143007070009,0.6377356054563533,-0.2761689963109669
WT_14__TO__SCA3_09,0.0125,xy,median_seed_isotonic,marker_first,6,0.3858273046336987,0.06204208740104234,0.45626995404104015,0.6057930916504184,-0.2199657870167197
WT_14__TO__SCA3_09,0.0125,xy,q25_seed_isotonic,marker_first,6,0.14003276275646526,0.03341963799359301,0.32229241965344946,0.6057930916504184,-0.46576032889395313
WT_14__TO__SCA3_09,0.0125,xy,q75_seed_isotonic,marker_first,6,0.41659095382374006,0.07387430650522205,0.7674967379083998,0.6057930916504184,-0.18920213782667833
WT_14__TO__SCA3_09,0.0125,xy,seed_median_curve_first,marker_first,6,0.33654291639542744,0.06377050819904308,0.4168877735577054,0.6057930916504184,-0.26925017525499095
WT_14__TO__SCA3_09,0.0125,xy,seed_median_curve_isotonic,marker_first,6,0.3857812952050744,0.06377050819904309,0.44298197129807204,0.6057930916504184,-0.22001179644534397
WT_14__TO__SCA3_09,0.0125,xy,seed_median_curve_persistent,marker_first,6,0.3829393475526787,0.06377050819904309,0.44298197129807204,0.6057930916504184,-0.22285374409773967
WT_14__TO__SCA3_09,0.0125,xyz,median_seed_isotonic,marker_first,6,0.4692732105535698,0.4064013613820905,0.5245798657931384,0.6057930916504184,-0.1365198810968486
WT_14__TO__SCA3_09,0.0125,xyz,q25_seed_isotonic,marker_first,6,0.42140401282297907,0.30859671866291705,0.5156019180341044,0.6057930916504184,-0.18438907882743932
WT_14__TO__SCA3_09,0.0125,xyz,q75_seed_isotonic,marker_first,6,0.53130370475848,0.43853945187956245,0.5666886291049165,0.6057930916504184,-0.0744893868919384
WT_14__TO__SCA3_09,0.0125,xyz,seed_median_curve_first,marker_first,6,0.41532016700698254,0.3316119211387108,0.5173891361317073,0.6057930916504184,-0.19047292464343585
WT_14__TO__SCA3_09,0.0125,xyz,seed_median_curve_isotonic,marker_first,6,0.4692047991293957,0.4112041673807114,0.5245798657931384,0.6057930916504184,-0.13658829252102267
WT_14__TO__SCA3_09,0.0125,xyz,seed_median_curve_persistent,marker_first,6,0.49299889679486697,0.42102046212708394,0.5245798657931384,0.6057930916504184,-0.11279419485555142
WT_14__TO__SCA3_09,0.0125,z,median_seed_isotonic,marker_first,6,0.569239566773821,0.4981634539168641,0.6170682743407113,0.6057930916504184,-0.036553524876597354
WT_14__TO__SCA3_09,0.0125,z,q25_seed_isotonic,marker_first,6,0.48009912400980803,0.3130798027507487,0.5473201013482077,0.6057930916504184,-0.12569396764061036
WT_14__TO__SCA3_09,0.0125,z,q75_seed_isotonic,marker_first,6,0.5713443573998648,0.501104928766108,0.8765420740617381,0.6057930916504184,-0.034448734250553614
WT_14__TO__SCA3_09,0.0125,z,seed_median_curve_first,marker_first,6,0.5233617588641781,0.455155785870845,0.5902746191516155,0.6057930916504184,-0.08243133278624026
WT_14__TO__SCA3_09,0.0125,z,seed_median_curve_isotonic,marker_first,6,0.569239566773821,0.4985190033323298,0.7113184826769747,0.6057930916504184,-0.036553524876597354
WT_14__TO__SCA3_09,0.0125,z,seed_median_curve_persistent,marker_first,6,0.569239566773821,0.4985190033323298,0.7257977728609482,0.6057930916504184,-0.036553524876597354
WT_14__TO__SCA3_09,0.025,xy,median_seed_isotonic,marker_first,6,0.4036039727273574,0.0632566913615652,0.4711401241424352,0.6057930916504184,-0.20218911892306102
WT_14__TO__SCA3_09,0.025,xy,q25_seed_isotonic,marker_first,6,0.2771660164717246,0.05653469735838913,0.34251531787306977,0.6057930916504184,-0.3286270751786938
WT_14__TO__SCA3_09,0.025,xy,q75_seed_isotonic,marker_first,6,0.437027438457432,0.06411448516571261,0.7144622651377125,0.6057930916504184,-0.16876565319298636
WT_14__TO__SCA3_09,0.025,xy,seed_median_curve_first,marker_first,6,0.34101300500832066,0.06313071354165349,0.42552624821397217,0.6057930916504184,-0.26478008664209773
WT_14__TO__SCA3_09,0.025,xy,seed_median_curve_isotonic,marker_first,6,0.3939937146673818,0.0631307135416535,0.46965452799786983,0.6057930916504184,-0.21179937698303658
WT_14__TO__SCA3_09,0.025,xy,seed_median_curve_persistent,marker_first,6,0.4134980426620261,0.06313071354165352,0.46965452799786983,0.6057930916504184,-0.19229504898839228
WT_14__TO__SCA3_09,0.025,xyz,median_seed_isotonic,marker_first,6,0.4696400080135491,0.40716082230538697,0.5489629857839192,0.6057930916504184,-0.1361530836368693
WT_14__TO__SCA3_09,0.025,xyz,q25_seed_isotonic,marker_first,6,0.4332471546956039,0.31185220936488783,0.5187365004114282,0.6057930916504184,-0.17254593695481452
WT_14__TO__SCA3_09,0.025,xyz,q75_seed_isotonic,marker_first,6,0.5589651740091388,0.4457311517322872,0.6084781627698135,0.6057930916504184,-0.04682791764127958
WT_14__TO__SCA3_09,0.025,xyz,seed_median_curve_first,marker_first,6,0.41964513969609873,0.331850119703229,0.5196988224194011,0.6057930916504184,-0.18614795195431966
WT_14__TO__SCA3_09,0.025,xyz,seed_median_curve_isotonic,marker_first,6,0.4969307595096117,0.4198936205200276,0.5489629857839192,0.6057930916504184,-0.1088623321408067
WT_14__TO__SCA3_09,0.025,xyz,seed_median_curve_persistent,marker_first,6,0.5028391227258868,0.4198936205200276,0.5489629857839192,0.6057930916504184,-0.10295396892453157
WT_14__TO__SCA3_09,0.025,z,median_seed_isotonic,marker_first,6,0.5744095622727144,0.4825839000573637,0.6154498296280694,0.6057930916504184,-0.031383529377703945
WT_14__TO__SCA3_09,0.025,z,q25_seed_isotonic,marker_first,6,0.4670865951489445,0.31145748982313465,0.5489578738588052,0.6057930916504184,-0.13870649650147387
WT_14__TO__SCA3_09,0.025,z,q75_seed_isotonic,marker_first,6,0.5762402252128689,0.48734779492908403,0.8756949592426598,0.6057930916504184,-0.029552866437549508
WT_14__TO__SCA3_09,0.025,z,seed_median_curve_first,marker_first,6,0.5166542654253452,0.4592136261969438,0.5662793658317274,0.6057930916504184,-0.08913882622507319
WT_14__TO__SCA3_09,0.025,z,seed_median_curve_isotonic,marker_first,6,0.5743177806035544,0.4844230482307665,0.7090056082051309,0.6057930916504184,-0.03147531104686396
WT_14__TO__SCA3_09,0.025,z,seed_median_curve_persistent,marker_first,6,0.5743177806035544,0.4844230482307665,0.724817416309516,0.6057930916504184,-0.03147531104686396
WT_14__TO__SCA3_09,0.05,xy,median_seed_isotonic,marker_first,6,0.4177104984349002,0.09137149119329871,0.5105479082400779,0.6057930916504184,-0.18808259321551818
WT_14__TO__SCA3_09,0.05,xy,q25_seed_isotonic,marker_first,6,0.3725053101592297,0.08204184137916695,0.3755655959452074,0.6057930916504184,-0.23328778149118867
WT_14__TO__SCA3_09,0.05,xy,q75_seed_isotonic,marker_first,6,0.49781629865378957,0.09343287369012136,0.7225884095083316,0.6057930916504184,-0.10797679299662882
WT_14__TO__SCA3_09,0.05,xy,seed_median_curve_first,marker_first,6,0.369115615343794,0.09062603990788393,0.43062486303013264,0.6057930916504184,-0.2366774763066244
WT_14__TO__SCA3_09,0.05,xy,seed_median_curve_isotonic,marker_first,6,0.45765849409263515,0.09062603990788395,0.673485471134895,0.6057930916504184,-0.14813459755778324
WT_14__TO__SCA3_09,0.05,xy,seed_median_curve_persistent,marker_first,6,0.4590128196886077,0.09062603990788395,0.5292370572634484,0.6057930916504184,-0.1467802719618107
WT_14__TO__SCA3_09,0.05,xyz,median_seed_isotonic,marker_first,6,0.4834138051134874,0.4131730456416962,0.5824834750854573,0.6057930916504184,-0.12237928653693098
WT_14__TO__SCA3_09,0.05,xyz,q25_seed_isotonic,marker_first,6,0.45491907718982133,0.3215043245775439,0.5483985800241765,0.6057930916504184,-0.15087401446059706
WT_14__TO__SCA3_09,0.05,xyz,q75_seed_isotonic,marker_first,6,0.5811053426815789,0.441629527537356,0.6756693769019781,0.6057930916504184,-0.024687748968839518
WT_14__TO__SCA3_09,0.05,xyz,seed_median_curve_first,marker_first,6,0.42157235280256145,0.33077552158031803,0.5491541143329696,0.6057930916504184,-0.18422073884785695
WT_14__TO__SCA3_09,0.05,xyz,seed_median_curve_isotonic,marker_first,6,0.5147781961458257,0.41720379540288655,0.5824834750854573,0.6057930916504184,-0.09101489550459274
WT_14__TO__SCA3_09,0.05,xyz,seed_median_curve_persistent,marker_first,6,0.5187465839711256,0.41720379540288655,0.5824834750854573,0.6057930916504184,-0.08704650767929278
WT_14__TO__SCA3_09,0.05,z,median_seed_isotonic,marker_first,6,0.5796331374380439,0.4684590714919486,0.6224778288480565,0.6057930916504184,-0.026159954212374492
