dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.0125,xyz,q25_seed_isotonic,marker_first,32,-0.2277950089441563,-0.37082197148120044,-0.0811924607385951,0.875,12,-0.25041105733660035,-0.3609879042900007,-0.16139767499355967,1.0,8,-0.18104203849051942,1.0,True
0.0125,xyz,q75_seed_isotonic,curve_first,32,-0.13369569047830787,-0.3169208149082207,0.031622182187804965,0.71875,12,-0.12851974013463333,-0.22656163057518963,-0.049840594370505927,0.8333333333333334,8,-0.15633662303504786,0.75,True
0.0125,xyz,q75_seed_isotonic,marker_first,32,-0.08085928564278161,-0.2770331195611475,0.08633961146090412,0.6875,12,-0.10012993874851715,-0.17735372791425374,-0.035021146363006544,0.75,8,-0.07623760318243553,0.625,True
0.0125,xyz,seed_median_curve_first,curve_first,32,-0.17038767377332875,-0.31200342732307096,-0.013060936814309781,0.84375,12,-0.18445722396145228,-0.2830128180888536,-0.14133843096532922,0.9166666666666666,8,-0.1593133399322071,0.875,True
0.0125,xyz,seed_median_curve_first,marker_first,32,-0.20717355482650546,-0.3478292589771204,-0.034248034315561754,0.875,12,-0.17476654811420755,-0.32269854249993846,-0.10682421727289076,1.0,8,-0.14015501767591632,1.0,True
0.0125,xyz,seed_median_curve_isotonic,curve_first,32,-0.17038767377332875,-0.31200342732307096,-0.013060936814309781,0.84375,12,-0.17864593551880664,-0.2580609916292309,-0.1224153070444868,0.9166666666666666,8,-0.1593133399322071,0.875,True
0.0125,xyz,seed_median_curve_isotonic,marker_first,32,-0.13293344222104742,-0.2632766943060287,-0.0343366949693063,0.8125,12,-0.1558422908727727,-0.21334596100572123,-0.08194006103118158,0.9166666666666666,8,-0.14015501767591632,0.875,True
0.0125,xyz,seed_median_curve_persistent,curve_first,32,-0.1600985400104173,-0.31200342732307096,-0.013060936814309781,0.84375,12,-0.17864593551880664,-0.24050545195823647,-0.10759920527798755,0.9166666666666666,8,-0.1593133399322071,0.875,True
0.0125,xyz,seed_median_curve_persistent,marker_first,32,-0.11390256249117264,-0.25244223906401475,-0.034248034315561754,0.875,12,-0.12311479637979883,-0.1943942212759314,-0.08265404973168856,1.0,8,-0.1200242545767625,1.0,True
0.0125,z,median_seed_isotonic,curve_first,32,-0.16121693533374276,-0.32744580988943506,0.02807479369292433,0.6875,12,-0.21443231328776816,-0.2750775696035956,-0.1027221343871687,0.8333333333333334,8,-0.17489064411166597,0.625,True
