dt_ms,view,marker_variant,aggregation_order,endpoint_genotype,endpoint_cell,n_partner_pairs,kl_minus_firing_p
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_09,4,0.019931786841347998
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_10,4,-0.15753386775096828
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_13,4,0.10119973187619266
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_14,4,-0.3565735767429863
0.0125,xy,seed_median_curve_persistent,curve_first,WT,WT_16,4,-0.18270357510660765
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3,SCA3_01,8,0.11556993977599045
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3,SCA3_04,8,-0.2029536990784854
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3,SCA3_06,8,-0.13151321892799955
0.0125,xy,seed_median_curve_persistent,marker_first,SCA3,SCA3_09,8,-0.09922211593930899
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_03,4,-0.06991428256329829
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_04,4,-0.11310928372660722
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_08,4,-0.0402549723136473
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_09,4,-0.08895238434993136
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_10,4,-0.01772420325819188
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_13,4,0.17324599503291055
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_14,4,-0.19664376292917154
0.0125,xy,seed_median_curve_persistent,marker_first,WT,WT_16,4,-0.16360857283622013
0.0125,xyz,median_seed_isotonic,curve_first,SCA3,SCA3_01,8,-0.11248476438818494
0.0125,xyz,median_seed_isotonic,curve_first,SCA3,SCA3_04,8,-0.3022031716782737
0.0125,xyz,median_seed_isotonic,curve_first,SCA3,SCA3_06,8,-0.05233746214854229
0.0125,xyz,median_seed_isotonic,curve_first,SCA3,SCA3_09,8,-0.15552774967372207
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_03,4,0.019971617672289776
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_04,4,-0.15078910375770843
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_08,4,-0.3483579901874533
