dt_ms,view,marker_variant,aggregation_order,omitted_animal_id,n_animal_pairs,median_kl_minus_firing_p
0.0125,z,median_seed_isotonic,curve_first,WT_DD10,6,-0.08215272846125782
0.0125,z,median_seed_isotonic,marker_first,SCA3_DD20,4,-0.147524588900516
0.0125,z,median_seed_isotonic,marker_first,SCA3_DD24,4,-0.16052455617367212
0.0125,z,median_seed_isotonic,marker_first,WT_150130,6,-0.23014582793610988
0.0125,z,median_seed_isotonic,marker_first,WT_150305,6,-0.07793481184912349
0.0125,z,median_seed_isotonic,marker_first,WT_DD09,6,-0.23011433322506467
0.0125,z,median_seed_isotonic,marker_first,WT_DD10,6,-0.07790331713807827
0.0125,z,q25_seed_isotonic,curve_first,SCA3_DD20,4,-0.16820179928031023
0.0125,z,q25_seed_isotonic,curve_first,SCA3_DD24,4,-0.18429721159472973
0.0125,z,q25_seed_isotonic,curve_first,WT_150130,6,-0.2229431813863605
0.0125,z,q25_seed_isotonic,curve_first,WT_150305,6,-0.123622952705776
0.0125,z,q25_seed_isotonic,curve_first,WT_DD09,6,-0.2229431813863605
0.0125,z,q25_seed_isotonic,curve_first,WT_DD10,6,-0.123622952705776
0.0125,z,q25_seed_isotonic,marker_first,SCA3_DD20,4,-0.2266816309656574
0.0125,z,q25_seed_isotonic,marker_first,SCA3_DD24,4,-0.18437989628322773
0.0125,z,q25_seed_isotonic,marker_first,WT_150130,6,-0.26220950328052034
0.0125,z,q25_seed_isotonic,marker_first,WT_150305,6,-0.15180372659416191
0.0125,z,q25_seed_isotonic,marker_first,WT_DD09,6,-0.25925780065472326
0.0125,z,q25_seed_isotonic,marker_first,WT_DD10,6,-0.14885202396836483
0.0125,z,q75_seed_isotonic,curve_first,SCA3_DD20,4,-0.04726871036848316
0.0125,z,q75_seed_isotonic,curve_first,SCA3_DD24,4,-0.1706167260432604
0.0125,z,q75_seed_isotonic,curve_first,WT_150130,6,-0.1629381690824116
0.0125,z,q75_seed_isotonic,curve_first,WT_150305,6,-0.04726871036848316
0.0125,z,q75_seed_isotonic,curve_first,WT_DD09,6,-0.13681214446875398
0.0125,z,q75_seed_isotonic,curve_first,WT_DD10,6,-0.06978504094791937
0.0125,z,q75_seed_isotonic,marker_first,SCA3_DD20,4,-0.019247578292988406
0.0125,z,q75_seed_isotonic,marker_first,SCA3_DD24,4,-0.15242123243924474
0.0125,z,q75_seed_isotonic,marker_first,WT_150130,6,-0.15242123243924474
0.0125,z,q75_seed_isotonic,marker_first,WT_150305,6,-0.019247578292988406
0.0125,z,q75_seed_isotonic,marker_first,WT_DD09,6,-0.11057652217503759
0.0125,z,q75_seed_isotonic,marker_first,WT_DD10,6,-0.054490525765105095
0.0125,z,seed_median_curve_first,curve_first,SCA3_DD20,4,-0.10061963355015002
0.0125,z,seed_median_curve_first,curve_first,SCA3_DD24,4,-0.1740010087466611
0.0125,z,seed_median_curve_first,curve_first,WT_150130,6,-0.19312717705954763
0.0125,z,seed_median_curve_first,curve_first,WT_150305,6,-0.0814934652372635
0.0125,z,seed_median_curve_first,curve_first,WT_DD09,6,-0.19312717705954763
0.0125,z,seed_median_curve_first,curve_first,WT_DD10,6,-0.0814934652372635
0.0125,z,seed_median_curve_first,marker_first,SCA3_DD20,4,-0.20918381476323977
0.0125,z,seed_median_curve_first,marker_first,SCA3_DD24,4,-0.16884230053952418
0.0125,z,seed_median_curve_first,marker_first,WT_150130,6,-0.24582716235347246
0.0125,z,seed_median_curve_first,marker_first,WT_150305,6,-0.13894950413685714
0.0125,z,seed_median_curve_first,marker_first,WT_DD09,6,-0.2390766111659068
0.0125,z,seed_median_curve_first,marker_first,WT_DD10,6,-0.13219895294929146
0.0125,z,seed_median_curve_isotonic,curve_first,SCA3_DD20,4,-0.10061963355015002
0.0125,z,seed_median_curve_isotonic,curve_first,SCA3_DD24,4,-0.1740010087466611
0.0125,z,seed_median_curve_isotonic,curve_first,WT_150130,6,-0.19312717705954763
0.0125,z,seed_median_curve_isotonic,curve_first,WT_150305,6,-0.0814934652372635
0.0125,z,seed_median_curve_isotonic,curve_first,WT_DD09,6,-0.19312717705954763
0.0125,z,seed_median_curve_isotonic,curve_first,WT_DD10,6,-0.0814934652372635
0.0125,z,seed_median_curve_isotonic,marker_first,SCA3_DD20,4,-0.12352105556867665
