dt_ms,view,marker_variant,aggregation_order,animal_pair_key,wt_animal_id,sca3_animal_id,n_cell_pairs,kl_minus_firing_p
0.0125,xy,seed_median_curve_persistent,curve_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.15134874761747208
0.0125,xy,seed_median_curve_persistent,curve_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,-0.12991028664378823
0.0125,xy,seed_median_curve_persistent,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.21992085919875928
0.0125,xy,seed_median_curve_persistent,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.4179695113951504
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.15322541042788806
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.11280221939763005
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.2047001872949694
0.0125,xy,seed_median_curve_persistent,curve_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.15204344113107546
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.04710140483604955
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,-0.06991428256329829
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.02582464568559295
0.0125,xy,seed_median_curve_persistent,marker_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.18277521434365754
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.01772420325819188
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.10027783495983134
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.06092438601144645
0.0125,xy,seed_median_curve_persistent,marker_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.16360857283622013
0.0125,xyz,median_seed_isotonic,curve_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.009534332955470182
0.0125,xyz,median_seed_isotonic,curve_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.06319765467647273
0.0125,xyz,median_seed_isotonic,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.15078910375770843
0.0125,xyz,median_seed_isotonic,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.19618614946552584
