subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_crossing,support_fraction,median,q25,q75
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,12,0.16666666666666666,0.7874281327414541,0.7204360102558094,0.8128384333041028
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,44,0.6111111111111112,0.35651935041113364,0.0,0.5353127365081696
all_pairs,drive,p_intrinsic,0.0666666666666666,isi,balance,0.5,p_drive,72,23,0.3194444444444444,0.5746326620109402,0.3638513232029238,0.7416968463142846
all_pairs,drive,p_intrinsic,0.1,active,SCA3_entry,0.6832817402871161,p_drive,72,21,0.2916666666666667,0.6836671266587587,0.0,0.7582568463967884
all_pairs,drive,p_intrinsic,0.1,active,WT_exit,0.1483293470542087,p_drive,72,43,0.5972222222222222,0.26963758060565113,0.0,0.5679493681090668
all_pairs,drive,p_intrinsic,0.1,active,balance,0.5,p_drive,72,24,0.3333333333333333,0.6174914685574313,0.30589788457573974,0.726564085285082
all_pairs,drive,p_intrinsic,0.1,isi,SCA3_entry,0.7978563373093712,p_drive,72,14,0.19444444444444445,0.7718480565252843,0.69760819351682,0.8189591443755799
all_pairs,drive,p_intrinsic,0.1,isi,WT_exit,0.1358293233470019,p_drive,72,44,0.6111111111111112,0.23045003161436944,0.0,0.46864976707901385
all_pairs,drive,p_intrinsic,0.1,isi,balance,0.5,p_drive,72,25,0.3472222222222222,0.586128686134552,0.38383188190825035,0.7330035865235224
all_pairs,drive,p_intrinsic,0.1333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,21,0.2916666666666667,0.6711735701989527,0.0,0.7673450807327807
all_pairs,drive,p_intrinsic,0.1333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,45,0.625,0.1862995406773694,0.0,0.5415218708363484
all_pairs,drive,p_intrinsic,0.1333333333333333,active,balance,0.5,p_drive,72,27,0.375,0.6090920382909875,0.0,0.7358703108499123
all_pairs,drive,p_intrinsic,0.1333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,16,0.2222222222222222,0.7695615010326224,0.689961418995023,0.8319563037915189
all_pairs,drive,p_intrinsic,0.1333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,45,0.625,0.14428273986892834,0.0,0.44011095964309327
all_pairs,drive,p_intrinsic,0.1333333333333333,isi,balance,0.5,p_drive,72,26,0.3611111111111111,0.6120304781080879,0.3872136101200815,0.7779188619169112
