p_intrinsic,p_drive,A_isi_median,dA_dintrinsic,dA_ddrive,drive_dominance_fraction,gradient_magnitude
0.0666666666666666,0.8666666666666667,0.07436355419422115,1.403204120754175,0.020097497835479334,0.0141203365281028,1.4033480373452427
0.0666666666666666,0.9,0.0736606064493511,1.2356563800251337,-0.0036440671297850733,0.002940422670023895,1.2356617533621665
0.0666666666666666,0.9333333333333332,0.07412061638556881,1.0795516058358057,0.3372744458024294,0.23804929716844825,1.131010928971954
0.0666666666666666,0.9666666666666668,0.09614556950284639,0.9144588178525993,0.7197062260022008,0.44041220237124873,1.1637061404386868
0.0666666666666666,1.0,0.12210103145238219,0.8021429618963183,0.7786638584860741,0.49257369619503394,1.1179225088673272
0.1,0.0,0.02696233563256395,-0.4605549519697912,-1.5478058317893386,0.770681166604064,1.6148726750753395
0.1,0.0333333333333333,-0.024631192093747326,-0.2893060974887547,-1.0670210334286923,0.7866988789842594,1.1055459754453485
0.1,0.0666666666666666,-0.044172399929348856,-0.49131424279271224,-0.2585652841390359,0.344809099132226,0.5551987854209306
0.1,0.1,-0.04186887770301638,-0.5372206487029154,0.15471934281391947,0.22360225555795923,0.5590564376103296
0.1,0.1333333333333333,-0.03385777707508756,-0.13836779666252932,0.24253516415361642,0.6367374084831106,0.27922921230463105
0.1,0.1666666666666666,-0.025699866759441956,-0.2055806608638172,0.3585300627307509,0.6355668271047262,0.4132882940550337
0.1,0.2,-0.009955772893037507,-0.0196300605226114,0.5566288123744371,0.9659353435654284,0.5569748414798443
0.1,0.2333333333333333,0.011408720732187176,0.3425926440440743,0.3566306893815891,0.5100383129870244,0.4945251948706934
0.1,0.2666666666666666,0.01381960639906843,0.7150324122812088,-0.07096745609972296,0.09028939947013942,0.7185455660137015
0.1,0.3,0.006677556992205646,1.0245730821105823,-0.05695833563636508,0.05266452245559452,1.026155082131372
0.1,0.3333333333333333,0.010022384023310758,1.4429052472218404,-0.15689260192124138,0.0980702668185731,1.4514099493244277
0.1,0.3666666666666666,-0.0037819498025437777,1.4622686992203162,-0.18199946318397262,0.11068721474108492,1.4735513405778333
0.1,0.4,-0.002110913522287413,1.5155854255927725,-0.19472381055304525,0.11385298426608242,1.5280433713299906
0.1,0.4333333333333333,-0.01676353717274679,1.3400632937617651,-0.4283568178738497,0.24222571042672758,1.406861469621882
0.1,0.4666666666666667,-0.030668034713877388,1.8762735208650825,-0.1870143690956362,0.0906390087421085,1.885570656153646
0.1,0.5,-0.029231161779122536,1.8593709604293258,-0.06903121105532445,0.0357971029467252,1.8606519493413156
0.1,0.5333333333333333,-0.03527011545089902,1.2241408524796018,0.3229432442881726,0.2087431736664333,1.266022577105502
0.1,0.5666666666666667,-0.007701612159911033,0.7016454200506104,0.33911327134708164,0.3258327546529232,0.7792971873949738
0.1,0.6,-0.012662564027760247,0.5159573935779711,0.23266789489835646,0.31079352845788044,0.5659915028551277
0.1,0.6333333333333333,0.007809580833312728,0.47437175514777663,0.6184450978138358,0.5659183385924229,0.7794247244551247
0.1,0.6666666666666666,0.028567109159828803,0.839414402662476,0.4394282343469659,0.34361400037033757,0.9474775525248571
0.1,0.7,0.03710479645644378,0.44716166676477753,0.3391836268461791,0.4313418413031029,0.5612477963826513
0.1,0.7333333333333333,0.05117935094957407,0.5052952459354175,0.4300188838205593,0.45975878064918263,0.663505483027242
0.1,0.7666666666666666,0.06577272204448106,0.5175394285746849,0.4379288403957298,0.4583394913445209,0.6779592387302942
0.1,0.8,0.08037460697595605,0.5219186336823862,0.452947277352452,0.46462520868294604,0.6910573755093624
0.1,0.8333333333333334,0.09596920720131119,0.5183705852670394,0.43613318337008483,0.45692138438888713,0.6774365042619249
0.1,0.8666666666666667,0.1094501525339617,0.736628093150798,0.4032302217354724,0.3537546872882221,0.8397711350956396
0.1,0.9,0.12285122198367601,0.9998074495584443,0.4112287449719155,0.29143741781109045,1.0810753983343335
0.1,0.9333333333333332,0.13686540219875606,1.2398164964620488,0.422618867327833,0.2542167211628497,1.3098670359700217
0.1,0.9666666666666668,0.15102581313886487,1.1770672867324972,0.4317668396403942,0.268372501902238,1.2537583504443177
0.1,1.0,0.16564985817478234,1.052421895929481,0.4387213510775241,0.29421811214859295,1.140205363486373
0.1333333333333333,0.0,0.011031444542576943,-0.4961083947935753,-1.4021470736435782,0.7386503539473406,1.4873264455094948
0.1333333333333333,0.0333333333333333,-0.03570679124554232,-0.2673243400736831,-1.063846168154279,0.7991809926516912,1.0969188540144492
0.1333333333333333,0.0666666666666666,-0.05989163333437497,-0.29565954661191934,-0.3777754462944453,0.5609679483153495,0.47971747448444385
0.1333333333333333,0.1,-0.06089182099850533,-0.5286045934879166,0.2655508830892129,0.3343814793467866,0.5915573410633886
0.1333333333333333,0.1333333333333333,-0.04218824112842745,-0.35624064690780904,0.37289535015869685,0.5114208483176621,0.5157114897685249
0.1333333333333333,0.1666666666666666,-0.03603213098792555,-0.314864614093803,0.4031341459440195,0.5614691394770421,0.5115240608558443
0.1333333333333333,0.2,-0.01531263139882616,-0.16698402243443405,0.6581656971061477,0.7976318497358205,0.6790182240526428
0.1333333333333333,0.2333333333333333,0.007845582152484286,-0.27071714026963717,0.642474592038622,0.7035484108191058,0.697181017706997
0.1333333333333333,0.2666666666666666,0.027519008070415296,0.11036265924253293,0.36688536628745566,0.7687519835834331,0.3831250299196908
0.1333333333333333,0.3,0.03230460657164799,0.5078735351589277,0.0744710068563128,0.12788135113038257,0.5133044501823646
0.1333333333333333,0.3333333333333333,0.03248374186083615,0.6306952327445438,0.05587083535585785,0.0813772161948549,0.6331650865690998
0.1333333333333333,0.3666666666666666,0.03602932892870518,1.2730761431412907,0.10533131875073531,0.07641522674736229,1.2774261438319137
0.1333333333333333,0.4,0.039505829777551835,1.0222371582318475,-0.11799152331509115,0.10348057825997943,1.029024201486116
0.1333333333333333,0.4333333333333333,0.028163227374365774,1.3065547493485572,0.1031563103905685,0.07317549910522664,1.3106206687744042
0.1333333333333333,0.4666666666666667,0.046382917136923066,1.7216096114929058,0.47708461107155664,0.21698542988624658,1.7864908005657496
0.1333333333333333,0.5,0.05996886811246954,1.8311741648395925,-0.12070841699589509,0.0618420483482079,1.8351483165972264
0.1333333333333333,0.5333333333333333,0.03833568933719673,1.8646494023423865,-0.6473557661548839,0.257704790688048,1.9738254435561915
0.1333333333333333,0.5666666666666667,0.016811817035477298,1.348856682535566,-0.33030662360539553,0.19670905289402932,1.3887104866092317
0.1333333333333333,0.6,0.0163152477635037,1.330393831320928,0.15419371690992725,0.10386300026136952,1.3392996112712334
0.1333333333333333,0.6333333333333333,0.02709139816280578,0.8311428496198332,0.6296424173792606,0.4310300984023076,1.042711853887437
0.1333333333333333,0.6666666666666666,0.05829140892212106,0.6813787844594396,0.4225321359151077,0.3827592680863654,0.801754609461278
0.1333333333333333,0.7,0.05526020722381295,0.7508752974296928,0.17713421593277742,0.1908754311051882,0.771485737226716
