subset,intrinsic_index,drive_index,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n,A_active_median,A_active_q25,A_active_q75,A_active_n,orth_active_median,orth_active_q25,orth_active_q75,orth_active_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,active_support_rate_hz_median,active_support_rate_hz_q25,active_support_rate_hz_q75,active_support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,occupancy_fraction_median,occupancy_fraction_q25,occupancy_fraction_q75,occupancy_fraction_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,p_WT_like_isi_mean,p_WT_like_active_mean,p_TRANSITION_isi_mean,p_TRANSITION_active_mean,p_SCA3_like_isi_mean,p_SCA3_like_active_mean,valid_isi_weight_mean,valid_active_weight_mean,isi_corridor_weight_mean,active_corridor_weight_mean
all_pairs,4,15,0.1333333333333333,0.5,72,0.09203259133854061,-0.1978589255755339,0.24538213285433347,72,0.8861261029011476,0.613382768105142,1.1373651631334118,72,0.024475846427736703,-0.2778566702985435,0.17831630435693113,72,1.1259293304192322,0.7880754109187398,1.5600093823087033,72,1.1857326563679806,0.8659289352726811,1.562461975880897,72,86.29237914407977,77.0482082276463,104.40359096717152,72,10.773540276777496,8.965487513486577,12.350178587509488,72,0.991031087450084,0.9862641779164874,0.9934696003289705,72,2.835595805281432,2.322307424087189,3.8229845180071362,72,0.5108630952380953,0.5666060405643739,0.4063216490299824,0.2690696649029982,0.048291446208112876,0.14160604056437387,0.9654761904761904,0.9772817460317462,0.5849371693121692,0.5
all_pairs,4,16,0.1333333333333333,0.5333333333333333,72,0.09843586298790183,-0.2019267134265355,0.2620439150480081,72,0.8897627205169827,0.6134911093370038,1.1631987509116761,72,0.02850660268239323,-0.2813037499783318,0.18760427528328077,72,1.173113376697028,0.8190577905709241,1.5533508781563758,72,1.2172699363792594,0.8657738163811778,1.6548681561171117,72,86.85620749646452,75.91073107512588,104.91554394258422,72,10.720064291863,8.640886199784866,12.412413044981285,72,0.9912942294432052,0.9863757561823052,0.9943115782809364,72,2.9035617959825673,2.268480560258628,3.8576558121437876,72,0.512037037037037,0.5503858024691357,0.40299823633156967,0.2749338624338625,0.04727733686067019,0.14701829805996472,0.962312610229277,0.972337962962963,0.5574735449735448,0.4903439153439153
all_pairs,4,17,0.1333333333333333,0.5666666666666667,72,0.08572563048822085,-0.205828653336455,0.290183401812798,72,0.9467763230311154,0.6350220870307783,1.2211499848975955,72,0.02536209488218652,-0.30323060648630507,0.23608553866888912,72,1.218221826652755,0.8322210996170678,1.635750902758588,72,1.2856459492037353,0.8785410586738103,1.7605950119823117,72,86.17738633113038,72.09010798541648,105.10456152346849,72,10.616813433867618,8.343062513797541,12.545460805522769,72,0.9909896487377403,0.9820610077469961,0.9933941117281364,72,2.8483943426114395,2.2527602692522697,3.8447641121889644,72,0.485163139329806,0.5481481481481482,0.41411485890652555,0.26643518518518516,0.058641975308641965,0.15629409171075836,0.9579199735449736,0.9708774250440917,0.5587411816578484,0.49011243386243386
all_pairs,4,18,0.1333333333333333,0.6,72,0.10218107053567137,-0.19508413428232382,0.31815659430973253,72,0.9383573689309466,0.6049054639713716,1.2686026103752537,72,0.03503674337592268,-0.2862865824996192,0.2784205719439019,72,1.271538067069162,0.889057039073889,1.6980479099694796,72,1.3105464299382685,0.8753503743104876,1.8794799609068225,72,85.85257961042146,70.45593191538174,105.86922808264353,72,10.502872367616071,8.084247429678095,12.925401819431926,72,0.990406063204996,0.9843761062849047,0.9937609251971368,72,2.818694930013476,2.249897679308064,3.7890666509471993,72,0.47458112874779546,0.5374779541446207,0.4059964726631393,0.25810185185185186,0.07132385361552028,0.16819334215167547,0.9519014550264551,0.9637731481481482,0.5395778218694885,0.46647927689594365
all_pairs,4,19,0.1333333333333333,0.6333333333333333,72,0.12026287304632452,-0.19027267251138075,0.3604943739652697,72,0.9480774516337012,0.6280193659885278,1.3428155637966004,72,0.053723323094406646,-0.29691898815172135,0.31081944931492445,72,1.3204563276618018,0.8488851191568489,1.8092202257242143,72,1.3275635346559582,0.8962566662651806,1.9368004446820888,72,84.25162504122727,67.8902449534752,106.9400159394173,72,10.528964886660837,7.910318981895458,13.6245896071331,72,0.9905153366663333,0.9826868810022649,0.9931319545338825,72,2.848275824968948,2.2351467197979322,3.7561705256033084,72,0.4642526455026455,0.5113536155202821,0.3988811728395062,0.27481261022927694,0.08510802469135803,0.1739748677248677,0.9482418430335097,0.960141093474427,0.5362488977072312,0.4582506613756614
all_pairs,4,20,0.1333333333333333,0.6666666666666666,72,0.13666435904043486,-0.18426527372085433,0.3830034777355874,72,0.9675364358462848,0.5912549581367225,1.3686549922411744,72,0.05572472340644327,-0.3309518124657202,0.34385666635486395,72,1.3283031777535323,0.8739659257777308,1.8839568215318263,72,1.365261766235006,0.8952088994105233,1.9989527860319143,72,83.5771612316934,64.76462235727128,110.45145703853159,72,10.47452457984491,7.8516611728201875,14.270371649783765,72,0.9914715936919173,0.9783547978385221,0.9941858689644755,72,2.8329166332944498,2.169450974839939,3.8640610843044696,72,0.4560295414462081,0.4962907848324515,0.3793816137566137,0.2496307319223986,0.10637676366843035,0.20711529982363314,0.9417879188712521,0.9530368165784834,0.5358796296296295,0.43289792768959434
all_pairs,4,21,0.1333333333333333,0.7,72,0.145889267619771,-0.18139397176160685,0.3602789940619357,72,0.9717441095332149,0.5822953958789531,1.427908816147107,72,0.06651315560521762,-0.3168349164123597,0.40718640607768175,72,1.4667539801379137,0.9104300603722666,1.9841170854346828,72,1.4293285688744866,0.9163757523201891,2.0971836476507004,72,83.77675645546287,62.01710645898623,111.23933140248553,72,10.446446252407089,7.591382125444677,14.826610230620044,72,0.9896231677183756,0.9809377470554769,0.9934090856406415,72,2.761451017878086,2.0754964882456175,3.986379986031519,72,0.4414241622574956,0.4853946208112874,0.36339836860670194,0.24077380952380956,0.13487103174603174,0.22353946208112874,0.9396935626102293,0.9497078924162258,0.538398368606702,0.42154431216931215
all_pairs,4,22,0.1333333333333333,0.7333333333333333,72,0.13972760631739814,-0.21249656448558712,0.38369137139119075,72,0.9483329933472603,0.6209891011492064,1.4749005583225134,72,0.044276115028092256,-0.3553606182860418,0.46317163225448055,72,1.4093861245169683,0.8590184018271213,2.0520783143306085,72,1.48034946957824,0.9168691225352488,2.2264431437921797,72,82.54331708529736,58.35287241605509,112.7681782699912,72,10.543042416474947,7.478365772916347,14.95482508989642,72,0.9896651502311558,0.9773113854195525,0.9934488955478539,72,2.695021983469471,2.027231640717578,4.107001957638978,72,0.42960758377425046,0.4721340388007055,0.34778990299823637,0.2165564373897707,0.1527612433862434,0.2544477513227513,0.9301587301587302,0.9431382275132276,0.5167493386243387,0.41962632275132283
all_pairs,4,23,0.1333333333333333,0.7666666666666666,72,0.1201373542898853,-0.23636378020382448,0.40830700988716123,72,0.9756069197723989,0.5211410789165989,1.5361657014831187,72,0.038910075631707744,-0.35941767692306426,0.4780989400926862,72,1.4158755595061758,0.9109694698612272,2.1273004577343286,72,1.5504214688513114,0.9252378167254216,2.3444102476724256,72,80.048537090904,54.94308294384754,115.03368599441966,72,10.199410704772685,7.493483716000004,15.143446077271161,72,0.9899244287734353,0.97042093746884,0.9939946932640892,72,2.658837585797195,1.9718321258079174,4.1823824571292825,72,0.4278439153439153,0.4652943121693121,0.31475418871252203,0.20131723985890654,0.17469686948853613,0.2727402998236331,0.9172949735449735,0.939351851851852,0.5026895943562609,0.3955136684303351
all_pairs,4,24,0.1333333333333333,0.8,72,0.08831174775025363,-0.31362013552570406,0.4257312923766954,72,0.9678010979100873,0.5500523627252297,1.5742570132984972,72,0.030235451837540398,-0.34814588648726763,0.4881658719283467,72,1.5060208343938248,1.0189670471660546,2.2277108121024662,72,1.5921996598686992,0.9316490234599671,2.4434149163424475,72,78.58785074441442,51.73943649425714,116.46861036106498,72,10.17558431723799,7.341966743019151,14.77025937931869,72,0.9894420896996747,0.9711469554406458,0.9929486041911715,72,2.5710849482261793,1.895178368757667,4.247530301158229,72,0.42524801587301586,0.4511904761904762,0.2895061728395062,0.1963348765432099,0.19258708112874778,0.2848985890652557,0.90734126984127,0.9324239417989418,0.4790123456790124,0.3734292328042328
