group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_04,/root/neurothermo/WT/cc_04.abf,4,200.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,260.0,1,0,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,5,250.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,6,6,6.0606060606060606,6.0606060606060606,116.6,4,0,1
WT,WT_04,/root/neurothermo/WT/cc_04.abf,6,300.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,20,20,20.2020202020202,20.2020202020202,76.1,8,5,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,7,350.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,31,31,31.313131313131315,31.313131313131315,59.5,11,9,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,8,400.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,41,41,41.41414141414141,41.41414141414141,46.89999999999998,14,13,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,9,450.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,49,49,49.494949494949495,49.494949494949495,39.19999999999999,17,16,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,10,500.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,57,57,57.57575757575758,57.57575757575758,35.39999999999998,19,18,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,11,550.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,65,65,65.65656565656566,65.65656565656566,28.19999999999999,22,20,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,12,600.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,74,74,74.74747474747475,74.74747474747475,23.400000000000006,25,24,0
WT,WT_04,/root/neurothermo/WT/cc_04.abf,13,650.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,80,80,80.8080808080808,80.8080808080808,22.099999999999994,27,26,0
