biological_pair_key,both_core_secure,stage,A_threshold,median_drive_dominance_fraction_weighted_median,median_abs_dA_ddrive_weighted_median,median_abs_dA_dintrinsic_weighted_median,median_gradient_magnitude_weighted_median,scenario_support_with_boundary_band
WT_06__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.3786847650287679,0.5867751269016767,0.7928292956058796,1.2415065604426918,1.0
WT_06__TO__SCA3_05,False,balance,0.5,0.47167355508279285,0.8352091739877409,0.8725159883925533,1.3884174701015233,1.0
WT_06__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.5914944757033782,1.2854449808099637,0.7622360722885071,1.8705892418107062,0.7999999999999999
WT_06__TO__SCA3_06,False,WT_exit,0.1358293233470019,0.7456321620331567,1.362039007847482,0.483912660848274,1.4475238513078692,1.0
WT_06__TO__SCA3_06,False,balance,0.5,0.7453934402253715,1.758057191443495,0.5590463450930621,1.8444566658008468,1.0
WT_06__TO__SCA3_06,False,SCA3_entry,0.7978563373093712,0.6694817744988641,2.407664301207474,0.7793707693957215,2.5697912311883258,1.0
WT_06__TO__SCA3_09,False,WT_exit,0.1358293233470019,0.23713717002329748,0.8212199159659759,1.5372214816376826,1.7381720462622399,1.0
WT_06__TO__SCA3_09,False,balance,0.5,0.3410062492296185,1.082684179613821,1.9517720470273805,2.10330169476222,1.0
WT_06__TO__SCA3_09,False,SCA3_entry,0.7978563373093712,0.498281874921022,0.9343283563004048,1.5227557918535586,2.4669275934744115,0.7999999999999999
WT_07__TO__SCA3_01,False,WT_exit,0.1358293233470019,0.2592574148063572,1.9837572427569723,4.570962230853927,6.278165547463893,0.375
WT_07__TO__SCA3_01,False,balance,0.5,0.47136721489710703,1.1661038339292227,0.765801861088646,1.7050863785904282,0.875
WT_07__TO__SCA3_01,False,SCA3_entry,0.7978563373093712,0.3589858267196137,0.9989485451063342,1.0750679118123245,2.6120826674565567,1.0
WT_07__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.4027171114736213,0.9814335578782611,1.2209458238747086,2.212392690817091,0.8214285714285714
WT_07__TO__SCA3_02,False,balance,0.5,0.3670438638336603,0.8978373676823866,1.2596954854032862,1.9265223423493052,1.0
WT_07__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.4835128106570762,0.7201249938353778,0.8839876061682869,1.9426300927557754,1.0
WT_07__TO__SCA3_04,False,WT_exit,0.1358293233470019,0.24369916668815042,0.6807658205665695,2.933796936915506,3.0566182420373957,0.6666666666666666
WT_07__TO__SCA3_04,False,balance,0.5,0.4397125576425241,0.8417587704750324,1.3121774606963363,1.7263624317091322,1.0
WT_07__TO__SCA3_04,False,SCA3_entry,0.7978563373093712,0.4088135719510573,1.0403861167496473,1.3389622412557074,1.9422190660601943,1.0
WT_07__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.2736846667741694,0.8402520177415584,2.170566945192809,3.291539445694688,0.6428571428571429
WT_07__TO__SCA3_05,False,balance,0.5,0.3131413847084097,1.0525527147007392,2.3642521853824103,2.689434460027098,1.0
WT_07__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.4281320847006022,0.914806895765152,1.3296397065577061,2.2220421446061955,0.9642857142857143
WT_07__TO__SCA3_06,False,WT_exit,0.1358293233470019,,,,,0.0
WT_07__TO__SCA3_06,False,balance,0.5,0.3508925679649063,0.8878205699001618,1.4112502541014231,2.2386229885776814,0.75
WT_07__TO__SCA3_06,False,SCA3_entry,0.7978563373093712,0.4016630372620554,0.7349948595178641,0.8241109933489479,1.3835251745157002,1.0
WT_07__TO__SCA3_09,False,WT_exit,0.1358293233470019,0.5148202940286374,1.6024169121634624,1.7104831975656145,2.6392925615656937,0.6666666666666667
WT_07__TO__SCA3_09,False,balance,0.5,0.3701760264393493,1.7086625210389292,1.7199103667214262,2.6969482452533082,1.0
WT_07__TO__SCA3_09,False,SCA3_entry,0.7978563373093712,0.5757747914553755,1.6578270668107327,1.2830549004217815,2.093356419037102,1.0
WT_08__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.18595688433325994,0.5965025836098767,0.6397260179550256,1.0399786316022643,1.0
WT_08__TO__SCA3_01,True,balance,0.5,0.3228663896553478,0.7270987740365982,0.8777372358401461,1.5220219851269425,1.0
WT_08__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.4188716241814784,0.9940794291233992,1.3149292886976842,1.6936790343117099,1.0
WT_08__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.4447738541626565,0.6625057564746057,1.1531561063863214,1.4802804955848412,1.0
WT_08__TO__SCA3_02,False,balance,0.5,0.5069442406473332,1.196989061434241,1.3878432875002116,3.504835957368354,0.8571428571428571
WT_08__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.5751659061638219,0.44556681016146665,0.4598633646665727,0.8622213809981532,0.42857142857142855
WT_08__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.1637631435344545,0.30308538556281983,1.6712731844839106,1.8021213148886976,1.0
WT_08__TO__SCA3_04,True,balance,0.5,0.2174251273979225,0.4487952523108908,1.5733459701511863,1.6124582426563507,1.0
WT_08__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.395258517913114,0.9611971539421504,1.371371089557528,2.044130554809202,1.0
WT_08__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.14983453255527507,0.4185891929792359,2.3186205155231856,2.356512786752536,1.0
WT_08__TO__SCA3_05,False,balance,0.5,0.22647686087879876,0.44012203353049034,1.5309971538562626,1.5716917289632133,1.0
WT_08__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.471871986963441,1.753368291808027,1.5630892060030683,2.363357549275274,0.8571428571428571
WT_08__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.34372218461331067,0.6891297370274597,1.3759854674904215,1.4541410197939597,1.0
WT_08__TO__SCA3_06,True,balance,0.5,0.38192097215270626,0.743901381917925,1.0911598842210113,1.3398905152358307,1.0
WT_08__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.6404939369184585,1.2964011238176099,1.0034044328264264,1.8095443446307689,1.0
WT_08__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.25760199540014506,0.9015336175184432,2.4439107731273144,2.6909650279143404,1.0
WT_08__TO__SCA3_09,True,balance,0.5,0.3393385911689616,0.8966315365353577,1.888177092896961,2.4816549021879606,1.0
WT_08__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.4699070762425908,1.4164417968523435,1.8240407136149561,2.597082129973761,1.0
WT_09__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.6206199855882597,1.1588513721612497,0.5636664221464057,1.5688132468895315,1.0
WT_09__TO__SCA3_01,True,balance,0.5,0.5853468605702921,1.8092437461162398,0.9867959652532496,1.998096942120538,1.0
WT_09__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.6463015263894881,2.1815194544793117,1.1203515267555084,2.6324597028720227,1.0
WT_09__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.6285649574765099,1.379378834349269,1.0014876135774324,1.8131914439826815,1.0
WT_09__TO__SCA3_02,False,balance,0.5,0.6398040876102037,1.4921156231085704,0.7957517389626234,2.0756098480498646,1.0
WT_09__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.660397510388868,2.3254522208048236,1.1277735470360097,2.655578425442176,0.8333333333333334
WT_09__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.4199660829458394,0.7269881634973187,0.9039878327529918,1.3310128460031085,1.0
WT_09__TO__SCA3_04,True,balance,0.5,0.5810351772638047,1.0547160869590495,0.8347329643440483,1.5471828096368967,0.9722222222222222
WT_09__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.5786043344519223,1.3246730075529431,1.0996681779723796,1.94890409742114,0.9166666666666667
WT_09__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.3579523247085382,0.5585463331177396,0.7875523734075646,1.1824780253260105,1.0
WT_09__TO__SCA3_05,False,balance,0.5,0.4633285931009302,0.8170631696813075,1.0819375754203804,1.397038243641723,1.0
WT_09__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.5200439150616717,1.4667219180683406,1.1147528123869415,2.012440376921645,0.8333333333333334
WT_09__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.6721147790284674,1.2573823154126087,0.4194406709895944,1.3826393554384588,1.0
WT_09__TO__SCA3_06,True,balance,0.5,0.763963182796738,1.779996233670351,0.5717814055600738,1.8821867848743705,1.0
WT_09__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.7419420746772142,2.4668661941731864,0.99438691738638,2.68921191994396,1.0
WT_09__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.27699668504407504,0.8117476696572498,1.3349349503383556,1.8325656730851538,1.0
WT_09__TO__SCA3_09,True,balance,0.5,0.28497892830657107,0.913310424562251,1.6550463323916054,2.0183960987983003,1.0
WT_09__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.5137694945573359,1.2199448904894725,1.6022475589834966,2.766447812513328,0.7777777777777777
