biological_pair_key,both_core_secure,path_family,WT_exit_support_weight,WT_exit_p_weighted_median,balance_support_weight,balance_p_weighted_median,SCA3_entry_support_weight,SCA3_entry_p_weighted_median
WT_03__TO__SCA3_09,True,drive_early,1.0,0.0005058057739508508,1.0,0.4379685984424915,1.0,0.8356175721281296
WT_03__TO__SCA3_09,True,coupled,1.0,0.0008053775319302327,1.0,0.43346417566582524,1.0,0.8071338692207644
WT_03__TO__SCA3_09,True,drive_late,1.0,0.001972421123926414,1.0,0.5742917269789467,1.0,0.8453026682624447
WT_04__TO__SCA3_01,True,drive_early,1.0,0.23344832185314995,1.0,0.5058923451976544,1.0,0.7483616427540212
WT_04__TO__SCA3_01,True,coupled,1.0,0.4891140092696889,1.0,0.7016958063335891,1.0,0.8764672095004008
WT_04__TO__SCA3_01,True,drive_late,1.0,0.6494043674748297,1.0,0.8315780118424168,1.0,0.9333836126417676
WT_04__TO__SCA3_02,False,drive_early,0.9761904761904762,0.3611449644743843,0.6666666666666667,0.45026671816036623,0.23809523809523808,0.33231771256860354
WT_04__TO__SCA3_02,False,coupled,0.9761904761904762,0.36159678401089274,0.5714285714285714,0.3954530034468083,0.2857142857142857,0.434
WT_04__TO__SCA3_02,False,drive_late,0.9761904761904762,0.39912179464743275,0.5952380952380952,0.5100856645022043,0.4761904761904763,0.49937822527184106
WT_04__TO__SCA3_04,True,drive_early,1.0,0.1499981209186749,1.0,0.4948266097758851,0.8333333333333333,0.5490158657101767
WT_04__TO__SCA3_04,True,coupled,1.0,0.1638387396885683,1.0,0.48496838660729197,0.7499999999999999,0.672134456079269
WT_04__TO__SCA3_04,True,drive_late,1.0,0.05001392590038766,1.0,0.7371324261698666,0.7222222222222222,0.7102160909413825
WT_04__TO__SCA3_05,False,drive_early,0.9761904761904762,0.16457438507029926,0.9761904761904762,0.3644710793708446,0.4761904761904763,0.31009254349403537
WT_04__TO__SCA3_05,False,coupled,0.9523809523809523,0.14454508663876814,0.9523809523809523,0.576377737784079,0.38095238095238093,0.3633225156267017
WT_04__TO__SCA3_05,False,drive_late,0.9523809523809523,0.11784302139073176,0.9523809523809523,0.7860432349647161,0.33333333333333337,0.10712034538661172
WT_04__TO__SCA3_06,True,drive_early,1.0,0.2778450460377494,1.0,0.5454306528057297,1.0,0.7148067601519967
WT_04__TO__SCA3_06,True,coupled,1.0,0.4413354051674783,1.0,0.679302906140462,1.0,0.8342896411603586
WT_04__TO__SCA3_06,True,drive_late,1.0,0.07629564225212283,1.0,0.776747444951105,1.0,0.8940419714894486
WT_04__TO__SCA3_09,True,drive_early,1.0,0.1616140461983383,1.0,0.6373367685625867,1.0,0.8422970528415266
WT_04__TO__SCA3_09,True,coupled,1.0,0.12576997929555642,1.0,0.5417485415416776,1.0,0.7800914581818905
WT_04__TO__SCA3_09,True,drive_late,1.0,0.027974362038115937,1.0,0.676993906412767,1.0,0.7572388564726594
WT_06__TO__SCA3_01,False,drive_early,1.0,0.2498808891872302,1.0,0.45054730538007154,1.0,0.6432123989644349
WT_06__TO__SCA3_01,False,coupled,1.0,0.44813741024027987,1.0,0.7059010158221898,1.0,0.8792487510574838
WT_06__TO__SCA3_01,False,drive_late,1.0,0.6721297553125657,1.0,0.8405523092638914,1.0,0.9375191551007984
WT_06__TO__SCA3_02,False,drive_early,0.9714285714285714,0.36529503451383494,0.657142857142857,0.4921874004517686,0.2285714285714286,0.407557249125142
WT_06__TO__SCA3_02,False,coupled,0.9714285714285714,0.4052954314738011,0.48571428571428577,0.37085408357368255,0.2571428571428572,0.4857535107973145
WT_06__TO__SCA3_02,False,drive_late,0.9714285714285714,0.7115405195200134,0.4571428571428572,0.5900008600023715,0.31428571428571433,0.5591079363710592
WT_06__TO__SCA3_04,False,drive_early,1.0,0.21209912607643666,1.0,0.3830807732914887,0.7666666666666667,0.5777811094451832
WT_06__TO__SCA3_04,False,coupled,1.0,0.2812204058923969,1.0,0.7184885101559484,0.6333333333333333,0.8188858329595876
WT_06__TO__SCA3_04,False,drive_late,1.0,0.48521593223443515,1.0,0.819994889989476,0.5666666666666667,0.9252862098666521
WT_06__TO__SCA3_05,False,drive_early,0.9714285714285714,0.2101238107957151,0.9714285714285714,0.37803540176428935,0.42857142857142877,0.4270932286881686
WT_06__TO__SCA3_05,False,coupled,0.9714285714285714,0.27238057853055014,0.9714285714285714,0.5342773562199269,0.31428571428571433,0.4480800993435002
WT_06__TO__SCA3_05,False,drive_late,0.9714285714285714,0.38552682427640517,0.9714285714285714,0.8008510644299079,0.2285714285714286,0.3192160636576714
WT_06__TO__SCA3_06,False,drive_early,1.0,0.25953513597231376,1.0,0.4932913840956931,1.0,0.7284074793577135
WT_06__TO__SCA3_06,False,coupled,1.0,0.5365811710185582,1.0,0.7592547188057382,1.0,0.8821699773033895
WT_06__TO__SCA3_06,False,drive_late,1.0,0.7431199981598583,1.0,0.8681304365234159,1.0,0.9371967186256998
WT_06__TO__SCA3_09,False,drive_early,1.0,0.22918998234803728,1.0,0.6676211021457512,1.0,0.8353764158275475
WT_06__TO__SCA3_09,False,coupled,1.0,0.3259525603952852,1.0,0.5938327076571543,1.0,0.8422574601947459
WT_06__TO__SCA3_09,False,drive_late,1.0,0.23022871784242538,1.0,0.6924174439015511,1.0,0.8554015382641049
WT_07__TO__SCA3_01,False,drive_early,1.0,0.0,1.0,0.0,0.875,0.19186587410528763
WT_07__TO__SCA3_01,False,coupled,1.0,0.0,1.0,0.0,0.875,0.18310166774521813
WT_07__TO__SCA3_01,False,drive_late,1.0,0.0,1.0,0.0,0.875,0.02103619318596663
WT_07__TO__SCA3_02,False,drive_early,1.0,0.0,1.0,0.0,0.9285714285714286,0.11639331178540678
WT_07__TO__SCA3_02,False,coupled,1.0,0.0,1.0,0.0,1.0,0.25874765305328734
WT_07__TO__SCA3_02,False,drive_late,1.0,0.0,1.0,0.0,1.0,0.38183648332534975
WT_07__TO__SCA3_04,False,drive_early,1.0,0.0,1.0,0.0,0.9583333333333335,0.24045822262289832
WT_07__TO__SCA3_04,False,coupled,1.0,0.0,1.0,0.0,0.9166666666666669,0.21523850647303755
WT_07__TO__SCA3_04,False,drive_late,1.0,0.0,1.0,0.0,0.9583333333333335,0.146161587883052
WT_07__TO__SCA3_05,False,drive_early,0.9642857142857143,0.0,0.9642857142857143,0.0,0.8928571428571429,0.12153134015756527
WT_07__TO__SCA3_05,False,coupled,0.9642857142857143,0.0,0.9642857142857143,0.0,0.9642857142857143,0.10128913991649977
WT_07__TO__SCA3_05,False,drive_late,0.9642857142857143,0.0,0.9642857142857143,0.0,0.9642857142857143,0.06793230439927801
