subset,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,dA_dintrinsic_median,dA_ddrive_median,drive_dominance_fraction_median,gradient_magnitude_median,A_isi_q25,dA_dintrinsic_q25,dA_ddrive_q25,drive_dominance_fraction_q25,gradient_magnitude_q25,A_isi_q75,dA_dintrinsic_q75,dA_ddrive_q75,drive_dominance_fraction_q75,gradient_magnitude_q75
all_pairs,0.0,0.3333333333333333,72,-0.07497316960755145,0.11637664396473155,0.18261593938773923,0.4702590578092769,1.1765199631349081,-0.2499734853354645,-0.1359260409564974,-0.24523241164576604,0.27133176362359346,0.8829311913429211,0.09937036641738049,0.504052367602342,0.5808014683693415,0.7209967190927217,1.5270188250825845
all_pairs,0.0,0.3666666666666666,72,-0.06763793068637385,0.11911873530895847,0.22765332637954577,0.4776715887299887,1.2420104602782143,-0.2475637445487206,-0.1427146985954435,-0.19427727453853166,0.30861967852120076,0.880885328731833,0.12637989685250725,0.5958523176114064,0.656302598021006,0.7325475434503416,1.4758055842606366
all_pairs,0.0,0.4,72,-0.0538755500884047,0.13913365705415864,0.24668543752234348,0.5017713522575877,1.2691842025927436,-0.24401442106484586,-0.11036083484056661,-0.1893118606915618,0.31937313364926895,0.9325777611224478,0.1642199991474385,0.49124026721048036,0.7110912628225243,0.7323839269065187,1.7031854418132117
all_pairs,0.0,0.4333333333333333,72,-0.04904930543478185,0.12609563580654184,0.2817627893914644,0.473544537648567,1.2672408689556796,-0.24263029988074222,-0.11052658507598723,-0.1608778234702475,0.31401437382533115,1.0063232632264196,0.1815848214004351,0.5862771994425386,0.7654323346438306,0.7369861112577247,1.6844531346963387
all_pairs,0.0,0.4666666666666667,72,-0.024354890379900303,0.12888188380183188,0.2583843629992373,0.4937883864028107,1.2708097315679479,-0.23689468024500088,-0.12363440219775343,-0.15450487883481479,0.32156765137440907,1.0290426101291112,0.21042816426006125,0.5959978597861675,0.8023560460279163,0.7292610106932754,1.6332041751346558
all_pairs,0.0,0.5,72,-0.04165946026484935,0.14485307375180115,0.29802087665726906,0.4942210090562915,1.2852690580405615,-0.2521321830208935,-0.11311328611573873,-0.12941515502032722,0.3135331047612879,1.027676668475769,0.23838607289979394,0.7754606074559609,0.8428768223444043,0.7457365705376428,1.7676222345069292
all_pairs,0.0,0.5333333333333333,72,-0.033814987075425,0.1515365135618439,0.32801030626395156,0.5119710977559588,1.3425159718476583,-0.2757796952379607,-0.13591670962356722,-0.14762570144156817,0.32763942870074253,1.044300554342137,0.23985522979103197,0.7668673363861492,0.9085301182346759,0.7309123449227706,1.8816929747886961
all_pairs,0.0,0.5666666666666667,72,-0.021921896974210948,0.15892934366355688,0.3571250818353003,0.5202482175883668,1.3616187516104805,-0.2814362584665417,-0.1025255109888574,-0.08364726177032421,0.34017834831920496,1.014332420584403,0.23426939948764403,0.8189409938206709,0.9220863564795228,0.7227455056865979,1.964691394705572
all_pairs,0.0,0.6,72,-0.00921697185168675,0.19272746541378125,0.3805231627637144,0.5095455683833527,1.3911620253496917,-0.26426813836281415,-0.08586350052859752,-0.1153235275130927,0.33469966654706174,1.0679098917365983,0.23302439386834356,0.8243562509692951,0.8536852589825759,0.7214019618512018,1.9124399190102608
all_pairs,0.0,0.6333333333333333,72,0.0163793034665831,0.19524501714071293,0.3918256357386586,0.4927058393174467,1.3909362568973513,-0.2530442929373634,-0.09001115205373557,-0.09788564828903558,0.3196609137126996,1.0259948228438442,0.25490240699224576,0.820793358946075,0.7226904295486017,0.7249792515152761,1.9314988834187876
all_pairs,0.0,0.6666666666666666,72,0.0163919786070611,0.19743451256522707,0.4178955591791754,0.49154454971285166,1.420113258230192,-0.266854005695637,-0.07354107246064114,-0.12103843892828217,0.3073030125275188,0.9935123026530458,0.26248614289794514,0.8033571517176435,0.836004552824638,0.6924786420009403,1.9276604591892608
all_pairs,0.0,0.7,72,-0.00640338308485385,0.2044886969943139,0.3738781686557837,0.4996292895924138,1.4804168532268736,-0.2778632582227884,-0.09708930638112458,-0.0925925792742851,0.32260499420087674,1.0185394709645632,0.30576766126606036,0.7942305100220949,0.9613876745939421,0.7005497777710294,1.9400290482248335
all_pairs,0.0,0.7333333333333333,72,0.0105829267157408,0.20891637908099536,0.4274150703140821,0.5025550354608661,1.469881296383118,-0.28195036608605795,-0.022872066506126127,-0.11155494527303976,0.32280815935318224,0.9662479034605007,0.33800345745782967,0.9452734331949303,0.8570949643781902,0.6660892376039025,1.9609475647627606
all_pairs,0.0,0.7666666666666666,72,0.028511664927604197,0.21212513665426708,0.4322744528456889,0.48396166612230684,1.4679533946602001,-0.28564220314296573,-0.07165912355689633,-0.12945374712166235,0.3237756955608245,0.9684108229415681,0.3203900344944236,0.8466928310891783,0.8504973654262808,0.6410500617092619,2.046399940303771
all_pairs,0.0,0.8,72,0.0462497299139688,0.21068920385602144,0.3963599355016888,0.47050804650146405,1.4633774647288804,-0.32566195326523434,-0.04358917124830428,-0.11938769224995499,0.34128697505193767,0.9177683619349575,0.3475196798315407,0.8553883270698537,0.8465992534994669,0.6431445886009035,1.9871174513236043
all_pairs,0.0,0.8333333333333334,72,0.05823172669683195,0.20895731357556518,0.4367086910102679,0.4746607281956634,1.4617024368076401,-0.3297350957366577,-0.04566087932259045,-0.12516175644714783,0.34456120098841597,0.9608560731652744,0.3860441412066967,0.8332941082906224,0.9287533936305299,0.6443040690358931,2.0748082567876924
all_pairs,0.0,0.8666666666666667,72,0.06516477496221235,0.2536453977815268,0.48689833060689236,0.4712221277529381,1.502114270652916,-0.3572216552152676,0.0015609772700345866,-0.11118115787769836,0.3275100545636668,0.9463944919725592,0.4266673875127558,0.9833866098364008,0.9116481633313167,0.63815466824783,2.113936187587921
all_pairs,0.0,0.9,72,0.07615379824646576,0.239924587000924,0.504573786773884,0.46829325203324657,1.564165992144519,-0.34738387634296897,-0.013894829103999959,-0.11781858819165182,0.3292173262235524,0.9640122429249974,0.4675863613075379,0.9730412219467733,1.0477316901971514,0.6160297707086071,2.0728424834296426
all_pairs,0.0,0.9333333333333332,72,0.09051196693025705,0.2570263089871797,0.47565248756316103,0.44748426049824075,1.564064902037175,-0.3776096869741992,-0.09134722413164315,-0.0832779632550286,0.3093458510037684,0.9628520215738503,0.44405721461507114,1.0046152695383261,0.8526725399121844,0.6222224552286032,2.033000172336943
