subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support,q25_majority_support,q75_majority_support
all_pairs,drive,p_intrinsic,0.2,isi,WT_exit,0.1358293233470019,p_drive,72,68,0.9444444444444444,63,0.875,0.886904761904762,0.10000000000000014,0.0,0.3228878209274703,0.1,0.0,0.3183687305379157
all_pairs,drive,p_intrinsic,0.2,isi,balance,0.5,p_drive,72,62,0.8611111111111112,48,0.6666666666666666,0.5857142857142856,0.4626524179490857,0.25207974415871093,0.5828215619504085,0.4813985658683407,0.3016963460991023,0.5837408029494335
all_pairs,drive,p_intrinsic,0.2333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,53,0.7361111111111112,0.6666666666666666,0.15644269724234997,0.0,0.6098402873418518,0.2875647591456909,0.016666666666666607,0.6369757257163603
all_pairs,drive,p_intrinsic,0.2333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,69,0.9583333333333334,63,0.875,0.943452380952381,0.0,0.0,0.286307110280259,1.1102230246251552e-17,0.0,0.3018561072678639
all_pairs,drive,p_intrinsic,0.2333333333333333,active,balance,0.5,p_drive,72,68,0.9444444444444444,56,0.7777777777777778,0.7559523809523809,0.19765759181439524,0.0,0.5269969111145941,0.25075849817972073,0.0,0.5558832254721265
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,60,0.8333333333333334,29,0.4027777777777778,0.40833333333333344,0.5994629407581165,0.2949120453885319,0.7122776448852192,0.6708158650183921,0.3297704332382221,0.7348647472187599
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,65,0.9027777777777778,0.9166666666666667,0.11283445169222005,0.0,0.2822376119112962,0.10705494175541772,0.0,0.3053327129529249
all_pairs,drive,p_intrinsic,0.2333333333333333,isi,balance,0.5,p_drive,72,63,0.875,51,0.7083333333333334,0.6428571428571429,0.47235385086062925,0.2079786533883867,0.586620541012645,0.4977917443610715,0.3071599279271252,0.584491796341478
all_pairs,drive,p_intrinsic,0.2666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,52,0.7222222222222222,0.6666666666666666,0.14999999999999997,0.0,0.5866914959267848,0.2550467932257743,0.0,0.6233824318070216
all_pairs,drive,p_intrinsic,0.2666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,70,0.9722222222222222,65,0.9027777777777778,0.9388888888888889,1.1102230246251552e-17,0.0,0.24594320458314034,2.2204460492503104e-17,0.0,0.2554867764637905
all_pairs,drive,p_intrinsic,0.2666666666666666,active,balance,0.5,p_drive,72,68,0.9444444444444444,56,0.7777777777777778,0.7500000000000001,0.11666666666666661,0.0,0.49662867249043885,0.232053354902458,0.0,0.547536473591223
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,61,0.8472222222222222,29,0.4027777777777778,0.41666666666666674,0.6006882394319802,0.28333333333333327,0.7300971131260162,0.6839141908356129,0.24279092624045698,0.7492559532723879
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,66,0.9166666666666666,0.9166666666666667,0.1106886973499016,0.0,0.2881019306597967,0.09589046037701887,0.0,0.3134504784251534
all_pairs,drive,p_intrinsic,0.2666666666666666,isi,balance,0.5,p_drive,72,64,0.8888888888888888,53,0.7361111111111112,0.6476190476190475,0.45811127899310067,0.18876730180482365,0.5946327310706003,0.4829807549406949,0.27155787085694694,0.5877574513629332
