biological_pair_key,wt_cell_id,sca_cell_id,both_core_secure,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_support_scenarios,crossing_support_weight,q25_weighted,median_weighted,q75_weighted
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.6070570980545207,0.6492500472264009,0.8842094211375111
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.2904866432234073,0.36857944065440434
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,active,balance,0.5,p_drive,8,1.0,0.4409653592912724,0.5446573835251107,0.6809310937150648
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5163792186329034,0.6123757594867463,0.7999441589553655
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.17646718084456273,0.2794061101973019
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,isi,balance,0.5,p_drive,8,1.0,0.40620615423672696,0.49753108278947705,0.5969702588052261
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.6233169972496131,0.6711874158115012,0.8357210073804565
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.26903139696656836,0.374275969899175
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,active,balance,0.5,p_drive,8,1.0,0.40152247860381307,0.5468562427906237,0.6615545209535326
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5554613185573115,0.6349497728532875,0.7949771316656236
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.18375665768925326,0.28921922847406384
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,isi,balance,0.5,p_drive,8,1.0,0.4194697037821118,0.5139530201411137,0.6017907316320862
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.6437533112282346,0.6948621092688904,0.8299532806602681
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.22432542313079412,0.38000043448250176
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,active,balance,0.5,p_drive,8,1.0,0.4082945942239189,0.5660636037878123,0.641340770132348
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.6666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.5249970263862528,0.6575839996853404,0.795563011601286
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.1903166887191397,0.3053511567332125
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,isi,balance,0.5,p_drive,8,1.0,0.43133472348543256,0.5310909556881415,0.6065139812469099
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.6668460455033779,0.7185121768247311,0.8297724912065936
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.22788274958235838,0.3967033781138848
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,active,balance,0.5,p_drive,8,1.0,0.4284825881510539,0.5814090652130125,0.6248739544774972
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7,active,SCA3_entry,0.6832817402871161,p_drive,8,1.0,0.4982989545241669,0.6779470740475597,0.7867370463828633
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7333333333333333,isi,WT_exit,0.1358293233470019,p_drive,8,1.0,0.0,0.1979651010575815,0.32196138472562674
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7333333333333333,isi,balance,0.5,p_drive,8,1.0,0.42955157996761095,0.5483085910828435,0.6136423958617414
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,8,1.0,0.6422356687424653,0.7417851376607517,0.8279152343600001
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7333333333333333,active,WT_exit,0.1483293470542087,p_drive,8,1.0,0.0,0.25571273971825925,0.4120760397160273
WT_03__TO__SCA3_01,WT_03,SCA3_01,True,drive,p_intrinsic,0.7333333333333333,active,balance,0.5,p_drive,8,1.0,0.45178686822488395,0.5967694084833272,0.6345309595074657
