group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms
WT,WT_13,/root/neurothermo/WT/cc_13.abf,1,50.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,2,100.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,3,150.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,4,200.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,5,250.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,6,300.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,7,350.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,8,400.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,9,450.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,10,500.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,11,550.0,131.20000000000002,1131.2
WT,WT_13,/root/neurothermo/WT/cc_13.abf,12,600.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,0,0.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,1,50.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,2,100.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,3,150.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,4,200.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,5,250.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,6,300.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,7,350.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,8,400.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,9,450.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,10,500.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,11,550.0,131.20000000000002,1131.2
WT,WT_14,/root/neurothermo/WT/cc_14.abf,12,600.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,0,0.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,1,50.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,2,100.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,3,150.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,4,200.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,5,250.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,6,300.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,7,350.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,8,400.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,9,450.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,10,500.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,11,550.0,131.20000000000002,1131.2
WT,WT_15,/root/neurothermo/WT/cc_15.abf,12,600.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,0,0.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,1,50.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,2,100.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,3,150.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,4,200.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,5,250.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,6,300.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,7,350.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,8,400.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,9,450.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,10,500.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,11,550.0,131.20000000000002,1131.2
WT,WT_16,/root/neurothermo/WT/cc_16.abf,12,600.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,0,0.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,1,50.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,2,100.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,3,150.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,4,200.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,5,250.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,6,300.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,7,350.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,8,400.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,9,450.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,10,500.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,11,550.0,131.20000000000002,1131.2
SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,12,600.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,0,0.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,1,50.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,2,100.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,3,150.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,4,200.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,5,250.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,6,300.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,7,350.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,8,400.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,9,450.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,10,500.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,11,550.0,131.20000000000002,1131.2
SCA3,SCA3_02,/root/neurothermo/SCA3/cc_02.abf,12,600.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,0,0.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,1,50.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,2,100.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,3,150.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,4,200.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,5,250.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,6,300.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,7,350.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,8,400.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,9,450.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,10,500.0,131.20000000000002,1131.2
SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,11,550.0,131.20000000000002,1131.2
