path_family,path_progress,n_biological_pairs,A_isi_v1_1_median,A_isi_v1_1_q25,A_isi_v1_1_q75,A_active_median,A_active_q25,A_active_q75,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,active_support_rate_hz_median,active_support_rate_hz_q25,active_support_rate_hz_q75,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,occupancy_fraction_median,occupancy_fraction_q25,occupancy_fraction_q75
drive_early,0.075,72,-0.03606185803009261,-0.1524501105329454,0.13097171718138415,-0.07717695152187928,-0.2126430099181496,0.07035183758243344,0.755406227655955,0.5800275335382015,1.0173514523544671,92.55604908623513,80.30669889958176,104.10233847097525,10.437947939433498,9.371234656568918,12.028819701782249,0.9919038462192669,0.9808911491546558,0.9937450293722716
drive_early,0.1,72,-0.011654773381387838,-0.13318761574396223,0.14480528960131567,-0.07858953191804877,-0.20768333228726485,0.08744494747514384,0.81572549773218,0.5871196640781784,1.0604790101688972,92.20136137287724,78.4738072782876,104.26242260084379,10.398240291181299,9.313303377613913,11.843130836182565,0.9915458135320271,0.9822067816168489,0.9937096229544882
drive_early,0.125,72,0.011818287699146475,-0.1173353188673264,0.14308750425918287,-0.06291557845439513,-0.20643293472168833,0.11519730045613419,0.8916181456235912,0.6226044084690484,1.1206187329542348,89.62735945016092,78.13978923199919,102.99893201823912,10.505885497548075,9.313003773813293,12.317939987992473,0.9912234873698802,0.9827514317767057,0.9941810741504183
drive_early,0.15,72,0.03406228381925101,-0.0993803587434654,0.14145515296726582,-0.03335620041532236,-0.18045184914144813,0.14136702088054842,0.9142810042773923,0.6789730183752808,1.1227640611456737,87.08547177863846,77.31053091076484,102.5182719432274,10.808929117439902,9.404789783526597,12.531572764000666,0.9913724800455538,0.9814259160813683,0.9936313140105764
drive_early,0.175,72,0.05723112633035282,-0.07571377742543409,0.17608828618201205,0.004361344864561309,-0.15846811124644777,0.17293636736734064,0.9348889039746431,0.7149546642270634,1.1924628854223025,84.90469845313571,73.74173555613083,99.52560133227813,10.934836026363712,9.519855408864135,12.907710327876156,0.99023967143159,0.977976904410299,0.9929483690094832
drive_early,0.2,72,0.08724025441117915,-0.06011797742070288,0.20336359008394908,0.030413205669225337,-0.13094939017572377,0.19112301321493078,1.002859187419057,0.7601123224376398,1.210152532102645,82.35556851544878,71.51068532669598,98.63112196754078,11.180981029628029,9.681588502149044,12.992485216427859,0.9894706228985936,0.9774723898726605,0.9921198598547232
drive_early,0.225,72,0.11846590618008002,-0.04974982864856378,0.22655205548308108,0.06157924407893679,-0.11700327492017368,0.2302010756818441,1.0118264873587193,0.7809717689407646,1.2799388974045622,80.76743775211798,67.1508781334319,95.9982839437676,11.380571863368905,10.013160368419513,13.491139948551185,0.9882974210846137,0.9817016213756127,0.9916154055032196
drive_early,0.25,72,0.15919653565083725,-0.037678128396082436,0.2733999132009717,0.09905670146428852,-0.08286278375253706,0.2552338376955166,1.0424013329926944,0.740452715439759,1.3628755221528248,78.2606992109483,66.40423770973068,92.16609234657237,11.690426191158279,10.130035588893326,13.859957074314691,0.9879380925366802,0.9801459803522643,0.9926681252676146
drive_early,0.275,72,0.19107032202563815,-0.012984316490088233,0.28776672219477595,0.12978397520441048,-0.052751113724786546,0.30379078765273676,1.085744323778441,0.7497739550567258,1.4222515637829147,75.36622548747657,62.63139812764929,87.98971257281721,12.168952636402574,10.537843058958313,14.220785657829706,0.9864217167263214,0.9774940285168996,0.9903547275428528
drive_early,0.3,72,0.2038545040760179,0.016803789276492183,0.312146027557801,0.16814738056076875,-0.03731219205601738,0.36579928552285873,1.1070737314682328,0.7644702156651091,1.4795684264667133,72.63188801285716,58.9542447733787,83.4088064898567,12.35080896854091,10.710450242684297,14.31206964406011,0.9881672828741046,0.9813794336541348,0.9907148184345023
drive_early,0.325,72,0.2230677033435698,0.04404431338805841,0.3651558294293904,0.19824490671484074,0.0019553241917798043,0.39725171824222477,1.1248495209770337,0.6991465309706416,1.5413813488783579,70.31394192741809,55.58395518762834,82.3400955599944,12.789343049898172,11.062003231259252,14.400170473280852,0.9852049582923752,0.9774328727682474,0.9911971258102314
