biological_pair_key,path_family,wt_cell_id,sca_cell_id,both_core_secure,n_support_scenarios,wt_exit_p_isi_weighted_median,wt_exit_p_isi_weighted_q25,wt_exit_p_isi_weighted_q75,wt_exit_p_isi_support_fraction,wt_exit_p_active_weighted_median,wt_exit_p_active_weighted_q25,wt_exit_p_active_weighted_q75,wt_exit_p_active_support_fraction,wt_exit_dual_consensus_p_weighted_median,wt_exit_dual_consensus_p_weighted_q25,wt_exit_dual_consensus_p_weighted_q75,wt_exit_dual_consensus_p_support_fraction,balance_p_isi_weighted_median,balance_p_isi_weighted_q25,balance_p_isi_weighted_q75,balance_p_isi_support_fraction,balance_p_active_weighted_median,balance_p_active_weighted_q25,balance_p_active_weighted_q75,balance_p_active_support_fraction,balance_dual_consensus_p_weighted_median,balance_dual_consensus_p_weighted_q25,balance_dual_consensus_p_weighted_q75,balance_dual_consensus_p_support_fraction,sca3_entry_p_isi_weighted_median,sca3_entry_p_isi_weighted_q25,sca3_entry_p_isi_weighted_q75,sca3_entry_p_isi_support_fraction,sca3_entry_p_active_weighted_median,sca3_entry_p_active_weighted_q25,sca3_entry_p_active_weighted_q75,sca3_entry_p_active_support_fraction,sca3_entry_dual_consensus_p_weighted_median,sca3_entry_dual_consensus_p_weighted_q25,sca3_entry_dual_consensus_p_weighted_q75,sca3_entry_dual_consensus_p_support_fraction,wt_exit_active_isi_gap_weighted_median,wt_exit_dual_agreement_weight,occupancy_at_wt_exit_isi_weighted_median,balance_active_isi_gap_weighted_median,balance_dual_agreement_weight,occupancy_at_balance_isi_weighted_median,sca3_entry_active_isi_gap_weighted_median,sca3_entry_dual_agreement_weight,occupancy_at_sca3_entry_isi_weighted_median
WT_03__TO__SCA3_05,drive_early,WT_03,SCA3_05,False,28,0.0015228485946536864,0.0,0.3898986153631016,1.0,0.07218923868377963,0.03282671184215258,0.4466146437444184,1.0,0.026938544027317726,0.015738585030716217,0.49221384346340497,0.8928571428571429,0.5366028401325962,0.12066470638824509,0.851000335910288,1.0,0.24012904118298561,0.12511554658879723,0.7381369605934666,1.0,0.5155212146404619,0.12211117976308383,0.754268075637085,0.8571428571428571,0.6156971463627741,0.3100430811991841,0.7397457112963035,0.5357142857142857,0.23307236413784954,0.12821327824961315,0.6804793213177035,0.8214285714285714,0.1411218175854122,0.12240278303581095,0.6154841950970599,0.17857142857142858,0.0394229128615059,0.8928571428571429,0.9950945305453378,0.018214164723764026,0.8571428571428571,0.9907923032758448,0.12803545624153168,0.17857142857142858,0.9617863569560853
WT_03__TO__SCA3_05,drive_late,WT_03,SCA3_05,False,28,0.3096417119565868,0.00021583391056219736,0.5819252684613581,1.0,0.3643728240374429,0.14431461673805598,0.6100157423804756,1.0,0.3367185727804719,0.04088105334138144,0.6083458128094296,0.75,0.7095093124669651,0.5196336234215732,0.8810968027823564,1.0,0.6041459754267633,0.39848346444602845,0.8929309320875898,1.0,0.8533827266006041,0.45147933902925075,0.8923101928311423,0.7857142857142857,0.4337437717155541,0.15194557135746203,0.639306948579093,0.32142857142857145,0.4889305945190678,0.1630955375604386,0.6665873927362457,0.6428571428571429,0.10887749041824114,0.061953009286609934,0.19488708397517268,0.14285714285714285,0.031989554745894266,0.75,0.9900039397869996,0.028676872295389177,0.7857142857142857,0.9851708613889423,0.10129797541559525,0.14285714285714285,0.9807754282407516
WT_03__TO__SCA3_06,coupled,WT_03,SCA3_06,True,4,0.0006805501641990078,0.0,0.06986978287820376,1.0,0.10586336142242923,0.0806990832858939,0.2632645024532626,1.0,0.04068981672504645,0.04068981672504645,0.04068981672504645,0.25,0.3934040442084981,0.3763084654351914,0.5065469720140051,1.0,0.3927841524587775,0.35211186341014494,0.5755570156242295,1.0,0.3845463089469845,0.37275795380932153,0.5410519938191173,1.0,0.753580690953632,0.7438443532234403,0.7861610632802667,1.0,0.7054205683797461,0.697493778916484,0.7104702206264379,1.0,0.732025455790035,0.7206690660699622,0.7457908158300064,1.0,0.10586336142242923,0.25,0.9950945305453378,0.04129218079835317,1.0,0.9969315818409342,0.04311047032719406,1.0,0.9809462283045667
WT_03__TO__SCA3_06,drive_early,WT_03,SCA3_06,True,4,0.0005710582059178406,0.0,0.03633146165977065,1.0,0.0713949424306569,0.04113213036350652,0.1411074902949449,1.0,0.028274532750020315,0.02056606518175326,0.05057262702191286,0.75,0.2350820485138481,0.13001260567186954,0.2863388714281204,1.0,0.24098442212865132,0.14024763074795274,0.3354176464623684,1.0,0.2380332353212497,0.13513011820991114,0.3108782589452444,1.0,0.4603455044361043,0.4035803834807557,0.49130648987594366,1.0,0.32698625533693304,0.15568173295287177,0.42659464170455796,1.0,0.44347007307033115,0.44347007307033115,0.45749981944218754,0.5,0.07082388422473906,0.75,0.9950945305453378,0.010235025076083204,1.0,0.9943370784877836,0.03955384812379947,0.5,0.9488920308266475
WT_03__TO__SCA3_06,drive_late,WT_03,SCA3_06,True,4,0.2511565946819551,0.000815146726876533,0.3196152647281383,1.0,0.4916388587518167,0.09238824367207915,0.5154991117666025,1.0,0.04660169519947784,0.04660169519947784,0.4152350027174206,0.5,0.7183982839980843,0.7092892919592472,0.7260930420244908,1.0,0.7632469103660905,0.7268022948574068,0.7703739928027047,1.0,0.7408225971820874,0.718045793408327,0.7482335174135977,1.0,0.8714339765318143,0.8648132860636966,0.874371221427534,1.0,0.8398744487363529,0.8226962981730536,0.8469894656314052,1.0,0.8556542126340836,0.843754792118375,0.8606803435294696,1.0,0.09157309694520262,0.5,0.9931050384918014,0.017513002898159602,1.0,0.9875398346436214,0.02738175579612878,1.0,0.9868092786693935
WT_03__TO__SCA3_09,coupled,WT_03,SCA3_09,True,12,0.0007687585961517931,0.0,0.4263030961495143,1.0,0.1486648396823333,0.05250272819654113,0.38127620768114456,1.0,0.0432295172273265,0.015976685578038927,0.44396555760315515,0.7500000000000001,0.4331096114441799,0.3613699350015434,0.7377471591510971,1.0,0.452045838039707,0.12563910562278072,0.5680370495986338,1.0,0.4377198591884619,0.22147240157285975,0.5725499208771618,0.8333333333333334,0.8280560882994781,0.7680737739979476,0.8929875231388856,1.0,0.6166310407381944,0.1275996041200185,0.7926637793726908,1.0,0.8383091343274467,0.09196816443127065,0.8448444234785499,0.5000000000000001,0.06413062838251814,0.7500000000000001,0.9937430059842337,0.02865195770249029,0.8333333333333334,0.9861530311199681,0.09147556673287682,0.5000000000000001,0.9770067082924405
WT_03__TO__SCA3_09,drive_early,WT_03,SCA3_09,True,12,0.0004885053755173124,0.0,0.5486855082893892,1.0,0.08377515821140896,0.04054556692108799,0.5105807146443108,1.0,0.0403691170526837,0.019197868671582886,0.5343456862754116,0.9166666666666667,0.43840766512696183,0.17742443897766225,0.7181378014939869,1.0,0.2534391757460044,0.1267621730287719,0.6391082042965283,1.0,0.24022240165689573,0.1405005560016286,0.6823887847843814,0.8333333333333334,0.8297449526413753,0.4147523032617895,0.8904537782720544,1.0,0.3544297217711514,0.12891873922101582,0.7279764580973053,1.0,0.3648554867135973,0.1411021436857373,0.7583325157502894,0.41666666666666674,0.0401970979856813,0.9166666666666667,0.9950945305453378,0.021615675611215825,0.8333333333333334,0.9797754339642286,0.10129540240487452,0.41666666666666674,0.9777783970595766
WT_03__TO__SCA3_09,drive_late,WT_03,SCA3_09,True,12,0.20246535665592597,7.610838200233905e-05,0.28762292053512983,1.0,0.2022882495880405,0.04521479219831284,0.27945215829546854,1.0,0.1337814905803709,0.008462463974564212,0.26359273073181,0.5833333333333335,0.6441625129906675,0.467807301556294,0.8011562209384395,1.0,0.436242034426644,0.10177454063173764,0.7208330346716544,1.0,0.47092967220133586,0.06029454931748494,0.7166160207025885,0.6666666666666667,0.8583178653757407,0.5747666262779196,0.9241682421167917,1.0,0.49456011413854145,0.10379759002882914,0.839813643934324,1.0,0.8815006798677404,0.06494163327563023,0.8905288681819183,0.5000000000000001,0.06162545716865828,0.5833333333333335,0.9943064379705195,0.013458064206146144,0.6666666666666667,0.976216855091122,0.08337407186683232,0.5000000000000001,0.9847841681124953
WT_04__TO__SCA3_01,coupled,WT_04,SCA3_01,True,12,0.4890637168357433,0.39451611583116775,0.5059842136586747,1.0,0.5169029094598784,0.4652375093300579,0.5989475195878633,1.0,0.5081144184535362,0.392059754909463,0.5116100750859578,0.8333333333333334,0.7015683614961412,0.6324452704962724,0.7582435872990356,1.0,0.7344947344450641,0.6724736499281382,0.7958612523343372,1.0,0.7198275971404975,0.6840179806615064,0.7886986879625605,0.9166666666666667,0.8764991345644095,0.8473258491307472,0.8981011707804393,1.0,0.8432388643786359,0.8267211406108028,0.8665287470340565,1.0,0.8606879046062303,0.8398405909525231,0.8823149589072479,1.0,0.019089786763220814,0.8333333333333334,0.9933705001807279,0.034081958182843534,0.9166666666666667,0.9907854992675336,0.031572423746382805,1.0,0.991638386975232
WT_04__TO__SCA3_01,drive_early,WT_04,SCA3_01,True,12,0.23353334557336422,0.19164182521760706,0.33019681307078913,1.0,0.271252632206576,0.2538173363462554,0.4168783910903453,1.0,0.25140369733831985,0.22592672255602989,0.38411588161946414,0.9166666666666667,0.5067802982433425,0.40329146996181725,0.56540239705059,1.0,0.48534555497977677,0.4295224045222144,0.6111610430490502,1.0,0.4770011118041984,0.4114080639946644,0.5953080133529862,0.9166666666666667,0.7484721673575183,0.5717144985740492,0.7796652718165676,1.0,0.6332758336780048,0.5185455957558643,0.737270482217524,1.0,0.7432879868214338,0.5455161734502642,0.7648978730745579,0.7500000000000001,0.034168560843211286,0.9166666666666667,0.9918569831565287,0.02143474326356575,0.9166666666666667,0.988474080774807,0.0474035652605813,0.7500000000000001,0.9873305086927745
WT_04__TO__SCA3_01,drive_late,WT_04,SCA3_01,True,12,0.6497373459570897,0.5588338311144443,0.6719101657837494,1.0,0.7008708910185384,0.0778095446593477,0.7557793144189207,1.0,0.7006859805049037,0.5332627983093563,0.7562843567403277,0.8333333333333334,0.8314699534056987,0.7829262625934194,0.8598243773605264,1.0,0.857064063777478,0.8130275696292772,0.8970159363430719,1.0,0.8442670085915884,0.7979769161113484,0.8789473633200827,1.0,0.9332224306247373,0.9176807666090872,0.9501119460165102,1.0,0.9174980901371682,0.8997767770406426,0.9415202203231591,1.0,0.9269732191955994,0.9105529931340666,0.9461356081400569,0.9166666666666667,0.018262744909959158,0.8333333333333334,0.9908173301120432,0.026467966338363125,1.0,0.9917719830038331,0.015311339750208153,0.9166666666666667,0.9849940985108729
WT_04__TO__SCA3_02,coupled,WT_04,SCA3_02,False,42,0.3836694162874453,0.07026850795205546,0.7464298621056781,1.0,0.3776156263658933,0.05316603164811913,0.8489021429002256,1.0,0.325,0.04462697489019857,0.8472064954120115,0.8571428571428572,0.39607870802874745,0.07918177830087048,0.6227128706086473,0.5952380952380952,0.37476878046017253,0.13727797162413977,0.5463683294193767,0.6428571428571429,0.3323901312998925,0.024671208289934233,0.636184792509563,0.40476190476190477,0.04675908655678929,0.039003542408140926,0.5964559012855462,0.26190476190476186,0.29955184048662814,0.031160191354568174,0.475,0.4761904761904763,0.03352936464869142,0.03223331430020052,0.0366254993178678,0.14285714285714285,0.016299961195612243,0.8571428571428572,0.9907562935480353,0.024168762369969107,0.40476190476190477,0.9824646576193931,0.014557680490101033,0.14285714285714285,0.9795907443783257
WT_04__TO__SCA3_02,drive_early,WT_04,SCA3_02,False,42,0.36822018869475687,0.23581410200426223,0.45338236039372887,1.0,0.38649611974519704,0.14765798151466267,0.5059418830501555,1.0,0.3827450096709987,0.22235052821955353,0.4922967340590996,0.9285714285714287,0.4344673514259519,0.17749833473290202,0.596461406348864,0.6190476190476191,0.2927299818330567,0.07328856535640785,0.5679583282431075,0.5714285714285714,0.4479650790290344,0.07905855552432343,0.6004637001739469,0.5000000000000001,0.325,0.15261952507248822,0.3809865505633903,0.21428571428571427,0.20000000000000018,0.07021814148462609,0.44903572474425935,0.33333333333333337,0.3168160855386131,0.08168763546150368,0.379023201305274,0.14285714285714285,0.019699366390931058,0.9285714285714287,0.9928611610092642,0.006075799360034072,0.5000000000000001,0.9874707116655637,0.043078917132817626,0.14285714285714285,0.9887891383697116
WT_04__TO__SCA3_02,drive_late,WT_04,SCA3_02,False,42,0.6221851418526902,0.01364055807557222,0.9061583938949841,1.0,0.34999999999999976,0.006025508893635822,0.9359604221529072,1.0,0.6361968082608813,0.008579542610941479,0.9256520365993015,0.8571428571428572,0.5392116973365939,0.406877663281958,0.7624999999999998,0.6190476190476191,0.15258886245621878,0.028595363039766047,0.7250000000000001,0.6428571428571429,0.7375,0.0172449092077447,0.8932323218741387,0.38095238095238093,0.5204918475954781,0.4604467829816332,0.65,0.4761904761904763,0.0468110365436143,0.03009869243321213,0.35,0.4761904761904763,0.48143090193567345,0.017939937963263985,0.7375,0.16666666666666666,0.00805578033829414,0.8571428571428572,0.9893556295114696,0.02499999999999991,0.38095238095238093,0.9789839636834664,0.4269299906516213,0.16666666666666666,0.9569668581947952
WT_04__TO__SCA3_04,coupled,WT_04,SCA3_04,True,36,0.16452176509645958,0.024934867392303203,0.4274530322528619,1.0,0.17022327334454504,0.007094435832237219,0.49803075192276497,1.0,0.16605140376445188,0.014060253314770203,0.4570513919182266,0.9444444444444445,0.5531056006839034,0.22911130305977753,0.7700548476472777,1.0,0.4469625008262247,0.11428487362109625,0.8026837748926702,1.0,0.4805420485128481,0.14228544453736144,0.8024626881452506,0.8333333333333333,0.6000000000000001,0.2799574066694818,0.9902831114446287,0.6666666666666666,0.4125674989350636,0.11156786767538046,0.8693479737058842,0.8611111111111109,0.465386331457303,0.06001146660311647,0.981854791743562,0.38888888888888884,0.015821383207997836,0.9444444444444445,0.991924140000088,0.01530535311208407,0.8333333333333333,0.9786759431050351,0.0445704823436065,0.38888888888888884,0.9225067394134085
WT_04__TO__SCA3_04,drive_early,WT_04,SCA3_04,True,36,0.15079553580712013,0.06202064840271633,0.32390309003488815,1.0,0.1679354608000777,0.05833568855577591,0.3750000000000001,1.0,0.15250751538988086,0.058470761787575355,0.35035629981016514,0.9722222222222222,0.4903823747747884,0.1947583165917542,0.6493820776214784,1.0,0.3578013706809704,0.1882537212534746,0.6514839299872657,1.0,0.3830144241242886,0.16782456455300282,0.6503014027122486,0.9166666666666667,0.5286651626807054,0.21691721361588692,0.9771745529376645,0.7499999999999999,0.3750000000000001,0.23591568591221032,0.8296534416266536,1.0,0.2594554434834695,0.08568538662165556,0.952769387138145,0.47222222222222227,0.01080854782023888,0.9722222222222222,0.9895310289282592,0.015255976277465777,0.9166666666666667,0.9793768023587436,0.07218860184907312,0.47222222222222227,0.8952556646264731
WT_04__TO__SCA3_04,drive_late,WT_04,SCA3_04,True,36,0.0778224640069856,0.016292548704254544,0.6000209650810501,1.0,0.01656552764668498,0.0036524565653431504,0.5703831038849918,1.0,0.02948677477483453,0.009120291831078122,0.5737280809199575,0.8333333333333333,0.7500000000000001,0.3111868354045402,0.8888723678449242,1.0,0.7503461198025951,0.04746034631133765,0.8940258971904727,1.0,0.7955011945400139,0.08465482333977119,0.9007730935048429,0.7499999999999999,0.75,0.11876741579706579,0.9935826496331925,0.6666666666666666,0.2741938636879605,0.047219845672566735,0.9556029448956779,0.8055555555555555,0.9069995670069909,0.08203970258558015,0.9811085470022419,0.5277777777777778,0.028522185656225753,0.8333333333333333,0.986199067001516,0.022119079602915374,0.7499999999999999,0.9585438879882558,0.040321943137647684,0.5277777777777778,0.9052006505121915
WT_04__TO__SCA3_05,coupled,WT_04,SCA3_05,False,42,0.149079952370635,0.05315909308655406,0.45842033338488264,1.0,0.13104475541829363,0.02473907180760423,0.4739685327387108,1.0,0.13953213053235455,0.04139782018648887,0.4442060521165069,0.9761904761904762,0.6551615838593825,0.24431680506070425,0.8792797657244964,1.0,0.4170463851579187,0.17012270289980583,0.8776098781050728,1.0,0.6939076659925958,0.19280025070858103,0.9152796033104234,0.8333333333333334,0.36392785602225963,0.14646347851219063,0.5496195338470213,0.40476190476190477,0.27013950240703455,0.11637569458934033,0.4755792778599043,0.6428571428571429,0.09335786668347787,0.0635092933109277,0.12958584146375937,0.16666666666666666,0.018181347852498475,0.9761904761904762,0.9911498987407522,0.02972672562961674,0.8333333333333334,0.9816931082676276,0.1130338261988367,0.16666666666666666,0.9802582865736498
WT_04__TO__SCA3_05,drive_early,WT_04,SCA3_05,False,42,0.16435263348054263,0.05110172868865538,0.2926830837361636,1.0,0.18173218370450422,0.03300372722587921,0.3354154416851087,1.0,0.1743349385736305,0.037860658451965325,0.31404128658943536,1.0,0.3672295261373029,0.17751983971934532,0.7043453161317694,1.0,0.3555359703711998,0.1501174395149389,0.7592370208315761,1.0,0.36061387857185306,0.15953119203237326,0.7553891688731212,0.9761904761904762,0.26972392141569435,0.21253993710930066,0.4764358892763087,0.45238095238095244,0.362726024903124,0.15008533398413978,0.4116884522330859,0.6904761904761906,0.20757325466449877,0.15362839458781002,0.4056934992594813,0.33333333333333337,0.016372102881084726,1.0,0.9909179669898635,0.016869711300835966,0.9761904761904762,0.9840730640676425,0.0861358977350422,0.33333333333333337,0.9800341016504176
