biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_01,coupled,0.975,WT_03,SCA3_01,1.0215194286357545,0.9818068987009351,6.5879542239316375,43.40721541770479,22.26301714742992,0.9918065175130338
WT_03__TO__SCA3_01,coupled,1.0,WT_03,SCA3_01,1.0576191603448708,1.0162906935301905,7.016460233732713,43.55800091701055,22.465229611951617,0.9785404920382408
WT_03__TO__SCA3_01,drive_early,0.0,WT_03,SCA3_01,0.09964741225882578,-0.027529386000945053,1.73703332347371,98.62928178674366,9.407677302795504,0.994149059631611
WT_03__TO__SCA3_01,drive_early,0.025,WT_03,SCA3_01,0.11351130770203116,-0.016734939178073633,1.834713352753664,99.94051687838196,9.45688324283382,0.9946470888658052
WT_03__TO__SCA3_01,drive_early,0.05,WT_03,SCA3_01,0.14021096047713788,0.006559772663630315,1.9347036846890215,100.24720147431896,9.697575833969111,0.9917943301260528
WT_03__TO__SCA3_01,drive_early,0.075,WT_03,SCA3_01,0.17611035200295644,0.04412026419435115,2.085120566921193,99.54005920258892,10.038429522628215,0.9939943169502145
WT_03__TO__SCA3_01,drive_early,0.1,WT_03,SCA3_01,0.20642755289811082,0.07911536535044467,2.2428443589973748,95.77199705846564,10.189758470924565,0.992389259246754
WT_03__TO__SCA3_01,drive_early,0.125,WT_03,SCA3_01,0.23293774846630252,0.11301872240523742,2.407815533378044,91.98059415062406,10.488389972053453,0.9920636532680794
WT_03__TO__SCA3_01,drive_early,0.15,WT_03,SCA3_01,0.2610734635551548,0.1615893877654811,2.575146673355059,87.140451155069,10.917388415223428,0.9931943073995548
WT_03__TO__SCA3_01,drive_early,0.175,WT_03,SCA3_01,0.29019423516987347,0.2121269489710112,2.6888423607154515,82.27013965762937,11.499376779667656,0.9933581003209064
WT_03__TO__SCA3_01,drive_early,0.2,WT_03,SCA3_01,0.32238675412838236,0.2518071327578644,2.758129373780492,77.36937671713675,12.160968596048214,0.992818721622129
WT_03__TO__SCA3_01,drive_early,0.225,WT_03,SCA3_01,0.35451115345254824,0.28739656376697564,2.81004778989556,74.50752943868757,12.87408651827496,0.9842757981329948
WT_03__TO__SCA3_01,drive_early,0.25,WT_03,SCA3_01,0.38737922684186793,0.3120884213540309,2.8434467874333977,70.58959372207588,13.931913290366335,0.987128783894042
WT_03__TO__SCA3_01,drive_early,0.275,WT_03,SCA3_01,0.40563064187875164,0.3517911503592488,2.865973715460221,61.440137979970885,12.826772228679022,0.9736904520899308
WT_03__TO__SCA3_01,drive_early,0.3,WT_03,SCA3_01,0.4357699851304478,0.3801615029516522,2.8858387701557504,55.36671625037401,13.247255578683475,0.9822965692806798
WT_03__TO__SCA3_01,drive_early,0.325,WT_03,SCA3_01,0.4663485196270291,0.41076977223238403,2.917268678819533,50.30269039107011,13.29493584729978,0.9860417902398076
WT_03__TO__SCA3_01,drive_early,0.35,WT_03,SCA3_01,0.47626887538705764,0.4436590357413968,2.977915790396887,45.20639663531024,13.484797672283182,0.973581577943775
WT_03__TO__SCA3_01,drive_early,0.375,WT_03,SCA3_01,0.4995317170746059,0.4634796015231087,3.0958031259592653,41.13219730734789,13.62554022750769,0.931190246817853
WT_03__TO__SCA3_01,drive_early,0.4,WT_03,SCA3_01,0.5279079778955342,0.4905909567651479,3.276479282630746,42.32213801191343,15.645758538009252,0.9929629997073426
WT_03__TO__SCA3_01,drive_early,0.425,WT_03,SCA3_01,0.5565159048339146,0.5178115769169126,3.430750201650527,43.51973417137984,16.503613844541576,0.9799878715636036
WT_03__TO__SCA3_01,drive_early,0.45,WT_03,SCA3_01,0.5848775947694426,0.5610879654666272,3.348935743799343,42.595295143746384,17.142340157723783,0.9830132009986464
WT_03__TO__SCA3_01,drive_early,0.475,WT_03,SCA3_01,0.6131423927541627,0.5901151689973834,3.2601613754712355,40.59654024352969,17.468149663737393,0.9808607135109686
WT_03__TO__SCA3_01,drive_early,0.5,WT_03,SCA3_01,0.6409000091029154,0.6196740502966864,3.182345093233629,37.513001070439344,17.776810122267015,0.9723736731655832
WT_03__TO__SCA3_01,drive_early,0.525,WT_03,SCA3_01,0.6675682639404182,0.6496810851710358,3.1190180406314094,33.33407277205909,18.069425842310523,0.9450578653603576
WT_03__TO__SCA3_01,drive_early,0.55,WT_03,SCA3_01,0.7429452532142643,0.6891117776919852,3.0941819621889763,30.206628106650086,19.609890477283585,0.9618409039126052
WT_03__TO__SCA3_01,drive_early,0.5750000000000001,WT_03,SCA3_01,0.7812457431378129,0.7423364536906274,3.1537284781869133,28.14101381268326,20.18806398814778,0.9531571025154664
