scenario_id,path_family,biological_pair_key,wt_cell_id,sca_cell_id,wt_solution_key,sca_solution_key,within_pair_support_weight,scenario_weight,biological_pair_weight,wt_exit_p_isi,balance_p_isi,sca3_entry_p_isi,start_A_isi,end_A_isi,start_inside_wt_isi,end_inside_sca3_isi,wt_exit_p_active,balance_p_active,sca3_entry_p_active,start_A_active,end_A_active,start_inside_wt_active,end_inside_sca3_active,wt_exit_active_isi_gap,wt_exit_dual_agrees,wt_exit_dual_consensus_p,balance_active_isi_gap,balance_dual_agrees,balance_dual_consensus_p,sca3_entry_active_isi_gap,sca3_entry_dual_agrees,sca3_entry_dual_consensus_p,occupancy_at_wt_exit_isi,occupancy_at_balance_isi,occupancy_at_sca3_entry_isi
168,coupled,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,r_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.42745303225286163,0.7633416356088258,,0.0646583603722135,0.7186251969742157,True,False,0.4980307519227645,0.8122863990680637,,0.12089573779749481,0.6743394136786516,True,False,0.0705777196699029,True,0.4627418920878131,0.04894476345923782,True,0.7878140173384447,,False,,0.9953839042163898,0.9477072969484238,
168,drive_early,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,r_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.286805784929142,0.5293410878561013,,0.0646583603722135,0.718555838801323,True,False,0.3439868568220739,0.5574910250012118,0.6503651022027801,0.12089573779749481,0.674288225455573,True,False,0.05718107189293192,True,0.315396320875608,0.028149937145110493,True,0.5434160564286565,,False,,0.9869299332322737,0.9784513619786533,
168,drive_late,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,r_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.6000209650810483,0.8888723678449242,,0.0646583603722135,0.7184950671304746,True,False,0.06076860752801726,0.9173123801938188,,0.12089573779749481,0.6742433743051677,True,False,0.539252357553031,False,,0.028440012348894594,True,0.9030923740193715,,False,,0.9820071601116084,0.9508921518858888,
169,coupled,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,s_HIGH,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.03463705977022669,0.4637212469161696,,0.0646583603722135,0.67403607625747,True,False,0.01528513152695371,0.1314220675348554,0.15356583992319095,0.12089573779749481,0.6421103513023465,True,False,0.019351928243272982,True,0.0249610956485902,0.3322991793813142,False,,,False,,0.9922873626045888,0.26003678205745256,
169,drive_early,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,s_HIGH,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.05726873303038415,0.15943997574127383,0.5149241847336647,0.0646583603722135,0.6741228571160703,True,False,0.05351529090960141,0.14714831860851849,0.16038733189557844,0.12089573779749481,0.6421743979426158,True,False,0.0037534421207827406,True,0.05539201196999278,0.012291657132755346,True,0.15329414717489614,0.35453685283808634,False,,0.9928268677835682,0.8739581298608594,0.15429719078690263
169,drive_late,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,s_HIGH,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.01738518360515929,0.7276826113701791,,0.0646583603722135,0.6740369132117996,True,False,0.0061667921172771315,0.0629578668444514,0.07715137694486648,0.12089573779749481,0.6421109689974666,True,False,0.011218391487882158,True,0.01177598786121821,0.6647247445257277,False,,,False,,0.991937240227892,0.6159381435959642,
170,coupled,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,kappa_I_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.18862926117451528,0.47067163262118067,0.7346628333807261,0.0646583603722135,0.815717556463492,True,True,0.20445064438251312,0.48541768783146483,0.6300139535522581,0.12089573779749481,0.785660605742558,True,True,0.015821383207997836,True,0.19653995277851422,0.014746055210284159,True,0.47804466022632275,0.10464887982846804,False,,0.9923846931529037,0.989606211597295,0.9558735784278684
170,drive_early,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,kappa_I_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.07559432241171177,0.2051346287046277,0.2859166615159288,0.0646583603722135,0.8156945663378881,True,True,0.07576043014059558,0.2029558687032658,0.25130717269305525,0.12089573779749481,0.785643638402893,True,True,0.0001661077288838131,True,0.07567737627615367,0.0021787600013619124,True,0.20404524870394675,0.03460948882287357,True,0.26861191710449206,0.9863543996660269,0.9887815008460815,0.9817424863378178
170,drive_late,WT_04__TO__SCA3_04,WT_04,SCA3_04,r_LOW,kappa_I_LOW,0.0277777777777777,0.0003858024691357,0.0138888888888888,0.57740292157665,0.7961547255334559,0.9823905208960646,0.0646583603722135,0.8158489602782261,True,True,0.6104624164947859,0.8074437459821715,0.9512254698473861,0.12089573779749481,0.7857575853413775,True,True,0.03305949491813598,True,0.593932669035718,0.011289020448715603,True,0.8017992357578136,0.031165051048678505,True,0.9668079953717253,0.9792789246576495,0.9571782431256494,0.8795490836864974
171,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,best,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.3955582866184164,0.8550714687128742,,0.0646583603722135,0.619349884367326,True,False,0.44669437191746997,0.8855500934834301,,0.12089573779749481,0.5936568916770769,True,False,0.05113608529905356,True,0.4211263292679432,0.03047862477055585,True,0.8703107810981521,,False,,0.9911498987407522,0.9914589108682688,
171,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,best,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.17657391055341493,0.46954741752351276,,0.0646583603722135,0.6195353357035566,True,False,0.2043978547747602,0.47954097814825064,,0.12089573779749481,0.593793759820704,True,False,0.027823944221345265,True,0.19048588266408756,0.009993560624737885,True,0.4745441978358817,,False,,0.9889918252801688,0.9889841313021664,
171,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,best,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.706247891750698,0.9428778601803766,,0.0646583603722135,0.6194714121465793,True,False,0.7503832482786792,0.9555334161134257,,0.12089573779749481,0.59374658249238,True,False,0.04413535652798117,True,0.7283155700146886,0.012655555933049123,True,0.9492056381469012,,False,,0.9873182542017906,0.9826112437745156,
172,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,b_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.08828810902859414,0.30739068136103054,,0.0646583603722135,0.6665244180501472,True,False,0.05980184535049994,0.28407887972147855,0.3280410713500307,0.12089573779749481,2.3362253324490663,True,True,0.028486263678094204,True,0.07404497718954704,0.023311801639551988,True,0.29573478054125457,,False,,0.9903434266841195,0.9870347971866283,
172,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,b_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.11630385576788731,0.27807076386969715,,0.0646583603722135,0.666708893087865,True,False,0.12274643921474196,0.2668187902420607,0.30155083705121594,0.12089573779749481,2.336361480057766,True,True,0.006442583446854652,True,0.11952514749131463,0.011251973627636469,True,0.2724447770558789,,False,,0.994101536830462,0.9805049336295936,
