biological_pair_key,both_core_secure,projection,p_intrinsic,dA_dcombined_weighted_median,dA_dkappa_weighted_median,dA_dJ_weighted_median,interaction_gradient_residual_weighted_median
WT_15__TO__SCA3_05,False,active,0.7,1.3135226649333558,2.3808071890748654,-2.0424795171398404,1.5543122344752194e-15
WT_15__TO__SCA3_05,False,active,0.7333333333333333,1.44400987721025,2.243785074877824,-2.1184053318019314,-0.0007478467914487918
WT_15__TO__SCA3_05,False,active,0.7666666666666666,1.4997355076063428,2.2373248428500614,-1.7831575598432265,0.0
WT_15__TO__SCA3_05,False,active,0.8,1.5495371768691997,2.3791940725309155,-1.9665537024777466,-2.220446049250313e-16
WT_15__TO__SCA3_05,False,active,0.8333333333333334,1.6039442369911143,2.7280557837049337,-1.9248672667304891,-0.0019672865005750384
WT_15__TO__SCA3_05,False,active,0.8666666666666667,1.4834390927698473,2.3991197017165717,-0.6960797388236545,0.0
WT_15__TO__SCA3_05,False,active,0.9,,2.5497203462486193,-2.33482606640921,
WT_15__TO__SCA3_05,False,active,0.9333333333333332,,2.29682486691696,-1.96655370247775,
WT_15__TO__SCA3_05,False,active,0.9666666666666668,,2.3673885268920953,-0.8086116072543827,
WT_15__TO__SCA3_05,False,active,1.0,,2.240269170700526,-0.8457548920457372,
WT_15__TO__SCA3_05,False,isi,0.0,,1.4498202235307944,-1.2830332025300792,
WT_15__TO__SCA3_05,False,isi,0.0333333333333333,,1.4844694327498174,-1.3020411755281938,
WT_15__TO__SCA3_05,False,isi,0.0666666666666666,,1.5587170619234447,-1.2742883096104667,
WT_15__TO__SCA3_05,False,isi,0.1,,1.5597196496214754,-1.2531106751797396,
WT_15__TO__SCA3_05,False,isi,0.1333333333333333,,1.5695708642958572,-1.2345556943188878,
WT_15__TO__SCA3_05,False,isi,0.1666666666666666,,1.5657479205509495,-1.1907913498756022,
WT_15__TO__SCA3_05,False,isi,0.2,,1.5653764467954006,-1.1760085352583167,
WT_15__TO__SCA3_05,False,isi,0.2333333333333333,,1.6140087045353728,-1.2688099626933624,
WT_15__TO__SCA3_05,False,isi,0.2666666666666666,,1.6244136264940323,-1.3055025573201353,
WT_15__TO__SCA3_05,False,isi,0.3,,1.6606764749982454,-1.2891497698835848,
WT_15__TO__SCA3_05,False,isi,0.3333333333333333,,1.867833918737149,-1.2237367797196523,
WT_15__TO__SCA3_05,False,isi,0.3666666666666666,,1.752499916983808,-1.121141647712516,
WT_15__TO__SCA3_05,False,isi,0.4,,1.6410398660269316,-0.944592310376065,
WT_15__TO__SCA3_05,False,isi,0.4333333333333333,,1.3344278595456902,-0.7687151913618961,
WT_15__TO__SCA3_05,False,isi,0.4666666666666667,,1.2401083933251975,-0.6870095093188531,
WT_15__TO__SCA3_05,False,isi,0.5,0.5066018597977429,0.9317811211382674,-0.6685323810089535,-0.0011893647734204094
WT_15__TO__SCA3_05,False,isi,0.5333333333333333,0.6446512510010687,0.9726570268253568,-0.620850744396106,-0.0009674995520984053
WT_15__TO__SCA3_05,False,isi,0.5666666666666667,0.6268909216375769,0.9771357602031933,-0.6061063040070964,-0.0014947125631620262
WT_15__TO__SCA3_05,False,isi,0.6,0.6530040453485493,0.8823715628372627,-0.5645435055291526,-0.022122634885421988
WT_15__TO__SCA3_05,False,isi,0.6333333333333333,0.855536000720946,1.2856193935896814,-0.6242495759499674,-0.0003969455726141602
WT_15__TO__SCA3_05,False,isi,0.6666666666666666,0.9064895738758563,1.215578354698473,-0.6326805253534005,4.2414466434825826e-05
WT_15__TO__SCA3_05,False,isi,0.7,0.5309946662435767,1.4658641461153643,-0.6166844648522253,-0.0022120908472198497
WT_15__TO__SCA3_05,False,isi,0.7333333333333333,0.9553693067668775,1.478353580103762,-0.5810704309995282,-0.0008425974151938798
WT_15__TO__SCA3_05,False,isi,0.7666666666666666,0.7165480309794066,1.4427777178955776,-0.5438930543943872,-0.0024374690790476827
WT_15__TO__SCA3_05,False,isi,0.8,0.5706575533593229,1.3576017630190405,-0.5337745838566991,-0.00328578325524842
WT_15__TO__SCA3_05,False,isi,0.8333333333333334,0.6765182513955371,1.3737064355394666,-0.4952554008545258,-0.0025244986093249655
WT_15__TO__SCA3_05,False,isi,0.8666666666666667,0.6343056301868623,1.1216597818629856,-0.5252798465080118,-0.0014511455346490898
WT_15__TO__SCA3_05,False,isi,0.9,,1.048498344753298,-0.27346845214400733,
WT_15__TO__SCA3_05,False,isi,0.9333333333333332,,1.2327523304245378,-0.43210851685613094,
WT_15__TO__SCA3_05,False,isi,0.9666666666666668,,1.4316690252766175,-0.317958658237017,
WT_15__TO__SCA3_05,False,isi,1.0,,1.1198315239951397,-0.4433612912052177,
WT_15__TO__SCA3_06,False,active,0.0,,2.1886943246659056,-2.952431058713115,
WT_15__TO__SCA3_06,False,active,0.0333333333333333,,2.232796407588029,-2.8435939959376864,
WT_15__TO__SCA3_06,False,active,0.0666666666666666,,2.1769140642866227,-2.5842951216270724,
WT_15__TO__SCA3_06,False,active,0.1,,2.1797353070093965,-2.4527875857683243,
WT_15__TO__SCA3_06,False,active,0.1333333333333333,,2.1787059191844227,-2.209415152016971,
WT_15__TO__SCA3_06,False,active,0.1666666666666666,,2.1677547949810383,-2.2486663319778137,
WT_15__TO__SCA3_06,False,active,0.2,,2.318263483268155,-2.140446126624701,
WT_15__TO__SCA3_06,False,active,0.2333333333333333,,2.193337931647334,-1.893483246706319,
WT_15__TO__SCA3_06,False,active,0.2666666666666666,,2.27008609536836,-1.7950390564824452,
WT_15__TO__SCA3_06,False,active,0.3,,2.364207607991614,-1.6911450336844625,
WT_15__TO__SCA3_06,False,active,0.3333333333333333,,2.2416642008572847,-1.7499534326638084,
WT_15__TO__SCA3_06,False,active,0.3666666666666666,,2.477619944899979,-1.637940168327083,
WT_15__TO__SCA3_06,False,active,0.4,,2.3844278620649604,-1.5191142613083557,
WT_15__TO__SCA3_06,False,active,0.4333333333333333,,2.441677053099377,-1.5574118224421014,
WT_15__TO__SCA3_06,False,active,0.4666666666666667,,2.4497350702903953,-1.4290716319172807,
WT_15__TO__SCA3_06,False,active,0.5,1.529839530388652,2.499855754216602,-1.2750467208876797,-0.18147090832918789
WT_15__TO__SCA3_06,False,active,0.5333333333333333,1.3925273911728753,2.529412683549592,-1.292186505449463,-0.0022619426643345486
WT_15__TO__SCA3_06,False,active,0.5666666666666667,1.5937096247868183,2.5496006933113264,-1.309793724547556,0.0024643472900522934
WT_15__TO__SCA3_06,False,active,0.6,1.610645234958326,2.591471468667846,-1.1458661431052268,-0.008920761511673758
WT_15__TO__SCA3_06,False,active,0.6333333333333333,1.6638678533110398,2.518302715992191,-1.162024208019216,0.010154144277214283
WT_15__TO__SCA3_06,False,active,0.6666666666666666,1.719856736541878,2.696244380278958,-1.1786447695607718,-0.006498262584892611
WT_15__TO__SCA3_06,False,active,0.7,1.7689635623452442,2.778099396522369,-1.195747985988873,-0.18059656896016973
WT_15__TO__SCA3_06,False,active,0.7333333333333333,1.8219623157161629,2.9043118795657,-1.0184238143834192,-0.017676919388815326
WT_15__TO__SCA3_06,False,active,0.7666666666666666,1.8798245160461031,3.0421335608233915,-1.269434128354632,-0.019984676999824202
WT_15__TO__SCA3_06,False,active,0.8,2.1755466132865595,3.2014248710551274,-1.0999815174185128,-0.2061991719879973
WT_15__TO__SCA3_06,False,active,0.8333333333333334,2.2929141495359135,3.2155714953489722,-1.175282706516202,-0.0061556250194518825
WT_15__TO__SCA3_06,False,active,0.8666666666666667,2.4271080519857495,3.651790608263187,-1.2616590601833557,-0.007579940967768373
WT_15__TO__SCA3_06,False,active,0.9,,3.976887834391,-1.0999815174185121,
WT_15__TO__SCA3_06,False,active,0.9333333333333332,,4.4132370068087985,-1.5457211091669574,
WT_15__TO__SCA3_06,False,active,0.9666666666666668,,5.44588045512341,-1.7872463527714193,
WT_15__TO__SCA3_06,False,active,1.0,,6.957508447133257,-1.896259776188645,
WT_15__TO__SCA3_06,False,isi,0.0,,2.1310941642315693,-2.1744749945994366,
WT_15__TO__SCA3_06,False,isi,0.0333333333333333,,2.0564080376169227,-2.1884921914881694,
WT_15__TO__SCA3_06,False,isi,0.0666666666666666,,2.0106431839237606,-2.036640256380096,
WT_15__TO__SCA3_06,False,isi,0.1,,2.0272507080164166,-1.9141288421002236,
WT_15__TO__SCA3_06,False,isi,0.1333333333333333,,2.0217984883338542,-1.815865313116649,
WT_15__TO__SCA3_06,False,isi,0.1666666666666666,,2.0073955499194653,-1.7176877369640935,
WT_15__TO__SCA3_06,False,isi,0.2,,2.016766482342887,-1.6193406537855033,
WT_15__TO__SCA3_06,False,isi,0.2333333333333333,,2.028493702996889,-1.5401436840834752,
WT_15__TO__SCA3_06,False,isi,0.2666666666666666,,2.0218558645200817,-1.4700726978439322,
WT_15__TO__SCA3_06,False,isi,0.3,,2.0152647792650873,-1.4102629508904663,
WT_15__TO__SCA3_06,False,isi,0.3333333333333333,,2.0266701870451116,-1.3489933242553607,
WT_15__TO__SCA3_06,False,isi,0.3666666666666666,,2.0373137933392997,-1.3018980302006793,
WT_15__TO__SCA3_06,False,isi,0.4,,2.1053767461445836,-1.2604730639449804,
WT_15__TO__SCA3_06,False,isi,0.4333333333333333,,2.129403755188546,-1.2054596812979719,
WT_15__TO__SCA3_06,False,isi,0.4666666666666667,,2.1258088927809737,-1.1680301018903612,
WT_15__TO__SCA3_06,False,isi,0.5,1.3688391086852059,2.1692537924078525,-1.1411705973654274,-0.0007349008696737602
WT_15__TO__SCA3_06,False,isi,0.5333333333333333,1.409199113259557,2.1746762106919157,-1.08310355646765,-0.003132102911862056
WT_15__TO__SCA3_06,False,isi,0.5666666666666667,1.453583738076836,2.16225744915092,-1.0185873229193765,-0.002893247773669172
WT_15__TO__SCA3_06,False,isi,0.6,1.4831990020657666,2.1763828014666653,-0.9984437136522539,0.0010360997260944194
