subset,p_intrinsic,p_component,n_biological_pairs,delta_isi_combined_median,delta_isi_combined_q25,delta_isi_combined_q75,delta_isi_kappa_median,delta_isi_kappa_q25,delta_isi_kappa_q75,delta_isi_J_median,delta_isi_J_q25,delta_isi_J_q75,interaction_isi_median,interaction_isi_q25,interaction_isi_q75,delta_active_combined_median,delta_active_combined_q25,delta_active_combined_q75,delta_active_kappa_median,delta_active_kappa_q25,delta_active_kappa_q75,delta_active_J_median,delta_active_J_q25,delta_active_J_q75,interaction_active_median,interaction_active_q25,interaction_active_q75
all_pairs,0.1,0.5666666666666667,72,-0.006873399433784684,-0.1963234748273968,0.21809741130573324,0.44493118059025083,0.1788389191121164,0.728073557607471,-0.4902173889133168,-0.5741342404249563,-0.3867574250090614,-0.11964332630372584,-0.2528557308127272,-0.03861740215428977,-0.08503873815238289,-0.35903063832171644,0.19583396400597342,0.504202798406127,0.21495469565935965,1.2022147957252662,-0.6421810641004424,-0.785627688817288,-0.544153308426692,-0.19964684306904668,-0.7500397853951892,-0.05933816115186534
all_pairs,0.1,0.6,72,0.000542203358815909,-0.19480601072408435,0.23796025248504007,0.4087228714198699,0.17832335800419596,0.7898049229601234,-0.5116847740187296,-0.5969728143163728,-0.40539720208464475,-0.11944413214168192,-0.2863321094394721,-0.0297008294520133,-0.08150272366994532,-0.39051486512286016,0.21503577808395952,0.584146268027395,0.23785278564055445,1.2803049813557317,-0.6715165017925526,-0.8215106957071814,-0.5680992777046668,-0.2067427960467867,-0.7116911125359832,-0.046384219543067616
all_pairs,0.1,0.6333333333333333,72,0.006192270829146429,-0.24003301399242108,0.2601210615724642,0.40916592120417977,0.14942412558165136,0.7090809680063397,-0.5321163191518563,-0.618352371403953,-0.4233224474752226,-0.11801284320110403,-0.2885394464086309,-0.029121325380309895,-0.08794423420309978,-0.40629823759457434,0.239206370787852,0.61178829411444,0.242788198758687,1.133043693766757,-0.6983275900699695,-0.8416426532360485,-0.5904075004838824,-0.2191119575591544,-0.7886939167037947,-0.046886141978010235
all_pairs,0.1,0.6666666666666666,72,0.018869742109027785,-0.24173245561998677,0.2823759336458796,0.4342031551735851,0.14148786177955675,0.712274288082113,-0.551800529838948,-0.6384934861396402,-0.4407921501336334,-0.13740808967214924,-0.27439202429061554,-0.030871617911587823,-0.07385903265544333,-0.40414119256033615,0.2619614797164515,0.6113772519290016,0.2060685018468527,1.1313170201211311,-0.7209174183535196,-0.875419851929031,-0.6121852507900194,-0.22388619437539925,-0.7052397380517583,-0.04726655880106241
all_pairs,0.1,0.7,72,0.017457909220787923,-0.25082184827111187,0.3059904558490339,0.3424784169718854,0.11428725044975208,0.7402182982985768,-0.5702917363458161,-0.6570080179383756,-0.4571675359680848,-0.12316384384691664,-0.2464677512324163,-0.029042564472456813,-0.0688751616777617,-0.4019428227258755,0.2847046274821506,0.6552992375069765,0.14105666305285458,1.1339565595369008,-0.7445115791526399,-0.9012872550834456,-0.633457179550937,-0.25232978972585784,-0.5584988952372539,-0.04838733071249845
all_pairs,0.1,0.7333333333333333,72,0.03033128108389636,-0.2547526967484466,0.33008311994013595,0.3339231951560416,0.08647540809897006,0.777011845114372,-0.5876759798326436,-0.6760300487269202,-0.47325435267183735,-0.12783021105066683,-0.2558307011735455,-0.020666019811808854,-0.05123041698249706,-0.431208465685592,0.3088722172176639,0.5264081705651652,0.121294218998729,1.1753719685545176,-0.7717466770061856,-0.9275852277476972,-0.654246257869596,-0.23627575692907477,-0.6287941626059692,-0.05210897787693229
all_pairs,0.1,0.7666666666666666,72,0.03269007671820609,-0.25674418977673596,0.354704992709136,0.3450610261345395,0.09087724698404594,0.8318703863622423,-0.6045128361168286,-0.6941764236224973,-0.48882568005601945,-0.13494155554013587,-0.26102503396012505,-0.02804339387379244,-0.044784247079808354,-0.44193786076757335,0.33750600184138874,0.5290656441466909,0.10879868336928082,1.1366340495327498,-0.7895596235653397,-0.9493813564324818,-0.6745739263100441,-0.25906151445632974,-0.5580888799746944,-0.03914157967758758
all_pairs,0.1,0.8,72,0.052178987192464554,-0.2636979802163001,0.38057057625659335,0.36046580752566504,0.07814358180410322,0.6988841200780258,-0.6205664455160655,-0.7116890750218229,-0.5038984326244869,-0.14178331693990007,-0.24702531420957574,-0.027058099376819356,-0.04006097294174063,-0.4739880287972099,0.36620979021108147,0.5753816276790642,0.1190991771155697,1.2227777684070174,-0.8157909986641542,-0.9743515464062782,-0.6944602279549701,-0.2645626859194858,-0.6457207871089006,-0.04563824856536125
all_pairs,0.1,0.8333333333333334,72,0.04812959569891188,-0.2616851962248433,0.4066700387333446,0.3261721750546144,0.08520035053956214,0.6961391105140001,-0.6361530866575573,-0.7285622780620574,-0.5184874675535882,-0.11582660236291387,-0.26451838245547454,-0.024843790667472387,-0.030428780562813694,-0.5298524490593428,0.39272708721226834,0.6311306360454937,0.10768066572002954,1.2764317059960182,-0.8307028799667818,-0.9950746912807016,-0.713923927307368,-0.2664599553704934,-0.7133326645106501,-0.04267364142632411
all_pairs,0.1,0.8666666666666667,72,0.06366991055279404,-0.2677704792393524,0.43381187592930825,0.32153187989257803,0.045177664550996026,0.6666275839529376,-0.6512200158880734,-0.7447312111581634,-0.5326299696414106,-0.10511032886948485,-0.25450243473487233,-0.02481789839965051,-0.03896475310349791,-0.527432466944056,0.42487182456950795,0.5805155342009288,0.1048141821875289,1.2107757808540365,-0.851662800984752,-1.0188448158303463,-0.7329826168064253,-0.25467315263739754,-0.6488240379225494,-0.030758110248337075
all_pairs,0.1,0.9,72,0.07877715718104758,-0.2823335411051444,0.4623060608881273,0.3187481278135223,0.03219368602951333,0.6561694211902095,-0.665593093124421,-0.7604422903711728,-0.5463557673683389,-0.10164341996370285,-0.2795655144673611,-0.020416357051949094,-0.03809096006371136,-0.5251839937415819,0.45677758552563,0.490765866701147,-0.020925260722627494,1.2066443786378438,-0.8805188773289492,-1.038595721928041,-0.7516528124746983,-0.24563703141208815,-0.5761730439125188,0.00289197143497231
all_pairs,0.1,1.0,72,0.12005813935679027,-0.3101045838561232,0.5251442723539014,0.33064765284389663,-0.0974571949754224,0.6097745866220077,-0.7072734278394569,-0.8043995187712148,-0.5852523499323445,-0.08769350768517414,-0.2702448543687299,0.009312471760332178,0.01715531051830402,-0.583706385537895,0.4830642777887172,0.4764180586231923,-0.0882082680290068,1.2091365785900852,-0.9316672698941562,-1.0948567182926818,-0.8039910740337588,-0.21297896178608494,-0.5651027469959662,0.027591325487026558
