subset,mode,p_intrinsic,projection,stage,A_threshold,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support
all_pairs,J_only,0.4,isi,balance,0.5,72,69,0.9583333333333334,60,0.8333333333333334,0.7559523809523809,0.0,0.0,0.03333333333333332,0.005564682933977076
all_pairs,J_only,0.4333333333333333,active,SCA3_entry,0.6832817402871161,72,70,0.9722222222222222,63,0.875,0.8571428571428572,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4333333333333333,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4333333333333333,active,balance,0.5,72,70,0.9722222222222222,68,0.9444444444444444,0.9484126984126984,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4333333333333333,isi,SCA3_entry,0.7978563373093712,72,66,0.9166666666666666,28,0.3888888888888889,0.4083333333333334,0.02094937197954882,0.0,0.09583333333333333,0.0333333333333333
all_pairs,J_only,0.4333333333333333,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9654761904761905,0.0,0.0,0.03333333333333334,0.0
all_pairs,J_only,0.4333333333333333,isi,balance,0.5,72,69,0.9583333333333334,63,0.875,0.8333333333333334,3.3306690738754695e-17,0.0,0.04999999999999995,0.007017539304453497
all_pairs,J_only,0.4666666666666667,active,SCA3_entry,0.6832817402871161,72,70,0.9722222222222222,66,0.9166666666666666,0.9047619047619049,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4666666666666667,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4666666666666667,active,balance,0.5,72,70,0.9722222222222222,69,0.9583333333333334,0.961309523809524,0.0,0.0,0.0,0.0
all_pairs,J_only,0.4666666666666667,isi,SCA3_entry,0.7978563373093712,72,69,0.9583333333333334,37,0.5138888888888888,0.5,0.0333333333333333,0.0,0.11666666666666647,0.03740867729415856
all_pairs,J_only,0.4666666666666667,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9654761904761905,0.0,0.0,0.0666666666666666,0.0
all_pairs,J_only,0.4666666666666667,isi,balance,0.5,72,69,0.9583333333333334,65,0.9027777777777778,0.875,0.016666666666666656,0.0,0.07277700303625635,0.024983738940392488
all_pairs,J_only,0.5,active,SCA3_entry,0.6832817402871161,72,70,0.9722222222222222,69,0.9583333333333334,0.9166666666666667,0.0,0.0,0.0,0.0
all_pairs,J_only,0.5,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.5,active,balance,0.5,72,70,0.9722222222222222,69,0.9583333333333334,0.9694444444444444,0.0,0.0,0.0,0.0
all_pairs,J_only,0.5,isi,SCA3_entry,0.7978563373093712,72,69,0.9583333333333334,45,0.625,0.5773809523809524,0.033333333333333305,0.0,0.1,0.0494579664998564
all_pairs,J_only,0.5,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9694444444444444,0.02499999999999987,0.0,0.1,0.02499999999999987
all_pairs,J_only,0.5,isi,balance,0.5,72,70,0.9722222222222222,68,0.9444444444444444,0.888888888888889,0.0333333333333333,0.0,0.1,0.0333333333333333
all_pairs,J_only,0.5333333333333333,active,SCA3_entry,0.6832817402871161,72,71,0.9861111111111112,70,0.9722222222222222,0.9553571428571429,0.0,0.0,0.016666666666666656,0.0
all_pairs,J_only,0.5333333333333333,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.016666666666666656,0.0
all_pairs,J_only,0.5333333333333333,active,balance,0.5,72,71,0.9861111111111112,70,0.9722222222222222,0.9861111111111112,0.0,0.0,0.016666666666666656,0.0
all_pairs,J_only,0.5333333333333333,isi,SCA3_entry,0.7978563373093712,72,69,0.9583333333333334,50,0.6944444444444444,0.6619047619047618,0.05137931966904396,0.0,0.1333333333333333,0.05902299316785528
all_pairs,J_only,0.5333333333333333,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.02951808697946704,0.0,0.1056557739611356,0.02951808697946704
all_pairs,J_only,0.5333333333333333,isi,balance,0.5,72,71,0.9861111111111112,69,0.9583333333333334,0.9285714285714286,0.03333333333333331,0.0,0.11666666666666659,0.03847251374678748
all_pairs,J_only,0.5666666666666667,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,0.961309523809524,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.5666666666666667,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.5666666666666667,active,balance,0.5,72,72,1.0,71,0.9861111111111112,1.0,0.0,0.0,0.0333333333333333,0.0
all_pairs,J_only,0.5666666666666667,isi,SCA3_entry,0.7978563373093712,72,69,0.9583333333333334,54,0.75,0.6952380952380952,0.06666666666666664,0.0,0.14342854931596477,0.07731302533328044
all_pairs,J_only,0.5666666666666667,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.033333333333333305,0.0,0.1333333333333333,0.033333333333333305
all_pairs,J_only,0.5666666666666667,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,0.9388888888888889,0.05347351792247858,0.0,0.1333333333333333,0.05694703584495714
all_pairs,J_only,0.6,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,0.9821428571428572,0.0,0.0,0.04999999999999995,0.0
all_pairs,J_only,0.6,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.0,0.0,0.04999999999999995,0.0
all_pairs,J_only,0.6,active,balance,0.5,72,72,1.0,71,0.9861111111111112,1.0,0.0,0.0,0.04999999999999995,0.0
all_pairs,J_only,0.6,isi,SCA3_entry,0.7978563373093712,72,70,0.9722222222222222,59,0.8194444444444444,0.7722222222222221,0.09999999999999998,0.0,0.1666666666666666,0.1
all_pairs,J_only,0.6,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.058825925393647185,0.0,0.15457081128192643,0.058825925393647185
all_pairs,J_only,0.6,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,0.961309523809524,0.0666666666666666,0.0,0.1666666666666666,0.0666666666666666
all_pairs,J_only,0.6333333333333333,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,0.961309523809524,1.1102230246251552e-17,0.0,0.0666666666666666,2.2204460492503104e-17
all_pairs,J_only,0.6333333333333333,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,1.1102230246251552e-17,0.0,0.0666666666666666,1.1102230246251552e-17
all_pairs,J_only,0.6333333333333333,active,balance,0.5,72,72,1.0,71,0.9861111111111112,1.0,1.1102230246251552e-17,0.0,0.0666666666666666,2.2204460492503104e-17
all_pairs,J_only,0.6333333333333333,isi,SCA3_entry,0.7978563373093712,72,72,1.0,64,0.8888888888888888,0.8027777777777778,0.11839260476170992,1.665334536937733e-17,0.18566538731463314,0.1333333333333333
all_pairs,J_only,0.6333333333333333,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.08487311563662585,0.0,0.16666666666666663,0.08487311563662585
all_pairs,J_only,0.6333333333333333,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,0.961309523809524,0.09999999999999998,0.0,0.1833333333333333,0.1
all_pairs,J_only,0.6666666666666666,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,0.9880952380952381,0.033333333333333284,0.0,0.1,0.0333333333333333
all_pairs,J_only,0.6666666666666666,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.02499999999999996,0.0,0.1,0.02499999999999996
all_pairs,J_only,0.6666666666666666,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.033333333333333284,0.0,0.1,0.033333333333333284
all_pairs,J_only,0.6666666666666666,isi,SCA3_entry,0.7978563373093712,72,72,1.0,66,0.9166666666666666,0.8571428571428571,0.1333333333333333,3.5221047441701606e-17,0.20652438431405348,0.1388473731366577
all_pairs,J_only,0.6666666666666666,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.12499999999999993,0.0,0.2,0.12499999999999993
all_pairs,J_only,0.6666666666666666,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,0.961309523809524,0.1333333333333333,0.0,0.2,0.1333333333333333
all_pairs,J_only,0.7,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,0.9880952380952381,0.041666666666666685,0.0,0.1333333333333333,0.05
all_pairs,J_only,0.7,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.041666666666666685,0.0,0.1333333333333333,0.041666666666666685
all_pairs,J_only,0.7,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.041666666666666685,0.0,0.1333333333333333,0.041666666666666685
