subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
core_secure_pairs,active,0.8666666666666667,32,1.0262861302430073,0.13285394559690464,1.8657115454756255,2.3831526469505637,1.00851313184884,3.3327082273260804,-1.3385281782658676,-1.6683178480096719,-1.1766612610155183,-0.00945870997495912,-0.17328481689472627,0.0
core_secure_pairs,active,0.9,32,,,,2.241248276977627,0.9077798024372103,3.5189583305089793,-1.4407562806896757,-1.7923755919448625,-1.249301985605664,,,
core_secure_pairs,active,0.9333333333333332,32,,,,2.4856099574358264,1.233175272408124,3.7084778788769825,-1.4711956253948955,-1.6737755269279022,-1.3097937245475584,,,
core_secure_pairs,active,0.9666666666666668,32,,,,2.3849366302198063,0.41714047112396224,4.272048550647481,-1.6432094164225957,-1.9457107743036834,-1.2741985517118233,,,
core_secure_pairs,active,1.0,32,,,,3.4907280847064928,0.11477279315354241,4.035408033449192,-1.4342109008994983,-2.1999630348370207,-0.6544565213343161,,,
core_secure_pairs,isi,0.0,32,,,,1.041173013274078,0.48588398114391845,2.085304038051627,-2.5787957029685504,-3.3972845176600712,-1.8420920795801592,,,
core_secure_pairs,isi,0.0333333333333333,32,,,,1.1924442942229967,0.5372479807568326,2.0044263078814,-2.478727732628109,-3.454407842231023,-1.9013756942189255,,,
core_secure_pairs,isi,0.0666666666666666,32,,,,1.2186746285983627,0.5979340902861892,1.987497828193196,-2.3346762306409077,-2.9321653293035257,-1.8086744454578314,,,
core_secure_pairs,isi,0.1,32,,,,1.2636539249882068,0.597092529617357,2.045053834502789,-2.040611630732491,-2.584380293056454,-1.7259886402086606,,,
core_secure_pairs,isi,0.1333333333333333,32,,,,1.287660278689277,0.6502876191957262,2.040470430545471,-1.8475057844478084,-2.281922928497914,-1.569582732701753,,,
core_secure_pairs,isi,0.1666666666666666,32,,,,1.2797824009768117,0.6177661688504241,2.013829174951315,-1.747910630688796,-2.078994830313605,-1.4838261074851922,,,
core_secure_pairs,isi,0.2,32,,,,1.312082981182834,0.5301980398023363,1.9851685400042358,-1.67223798020476,-1.9010962994703924,-1.3843960170398584,,,
core_secure_pairs,isi,0.2333333333333333,32,,,,1.336918776076783,0.7141561263353666,1.9508734278669706,-1.554553717025354,-1.7586634088982496,-1.313211556636766,,,
core_secure_pairs,isi,0.2666666666666666,32,,,,1.3805312660732276,0.7189023884941943,1.945041102080253,-1.5001122546646917,-1.6927522146843175,-1.2472385374010355,,,
core_secure_pairs,isi,0.3,32,,,,1.4274715285766928,0.719962594802923,1.9244603756384757,-1.3941568530368804,-1.5538110335800017,-1.193453589863939,,,
core_secure_pairs,isi,0.3333333333333333,32,,,,1.4567194713569567,0.749053255119173,1.949505488480482,-1.3288422863025753,-1.5336712604632217,-1.1475424022111658,,,
core_secure_pairs,isi,0.3666666666666666,32,,,,1.4849622150108153,0.7558825301388398,2.015695477085666,-1.2581249421071936,-1.5176628699491075,-1.074618013125595,,,
core_secure_pairs,isi,0.4,32,,,,1.4655823224866582,0.7914073377748878,2.0349038794512104,-1.2481320784833736,-1.432339194848523,-0.9905303808045743,,,
core_secure_pairs,isi,0.4333333333333333,32,,,,1.4989302599322043,0.7755412594714881,2.0662172885113366,-1.197574259157399,-1.3941968928887079,-0.9849077638524162,,,
core_secure_pairs,isi,0.4666666666666667,32,,,,1.5559060624416767,0.8128817198676184,2.022141971473105,-1.1634791426744604,-1.3400764414963435,-1.0273871234389969,,,
core_secure_pairs,isi,0.5,32,0.47584533388700045,-0.5311064675711007,0.9479217038829862,1.5387336495268409,0.8294943604586036,2.028324419146375,-1.150897046571521,-1.3214332229598869,-0.9714098379482827,-0.0009106785505020302,-0.009732546463390038,0.000307727217860293
core_secure_pairs,isi,0.5333333333333333,32,0.5113970156579521,-0.25348020232587587,1.010202804192728,1.603003666338417,0.7953204607888047,2.0288851580065788,-1.048711277654323,-1.2461928481043862,-0.9068938999859545,-0.0004178225699913718,-0.008598164030621469,0.0007850660884196896
core_secure_pairs,isi,0.5666666666666667,32,0.5942374475260573,-0.3378150854340488,1.0582510368881302,1.4911538741138537,0.7772133717627339,2.065565581692083,-1.0321981719198212,-1.2375452797623143,-0.8727726733836223,-0.0008115083800822041,-0.028252937862505004,0.0004049266983528776
core_secure_pairs,isi,0.6,32,0.6553077080814189,-0.24897474647450218,1.1140687065232062,1.5539689681072186,0.7783935673264806,2.115235708294334,-1.0312284304433574,-1.2292735091979812,-0.8689187885553638,-0.0008601723750810975,-0.005056714812271934,0.0010459027518610053
core_secure_pairs,isi,0.6333333333333333,32,0.7070950345083955,-0.24362004821766708,1.1827209530614107,1.6244306775290034,0.9426533740178347,2.147149000520424,-1.0192097068990926,-1.1705337227154542,-0.9118455989711194,-0.0013200807065976237,-0.00835554445114886,0.0005899864314420494
core_secure_pairs,isi,0.6666666666666666,32,0.6490098919380393,-0.1991114253488298,1.2509436610128133,1.5645582831594536,0.8746262860044803,2.1782033876012585,-1.0216231223452747,-1.174400654894997,-0.8678085334012993,-0.0022444607704222297,-0.012852440760221266,0.001491577024934354
core_secure_pairs,isi,0.7,32,0.7870398557001528,-0.14060637256278122,1.3185080091407086,1.554548269132613,0.7310676660688149,2.2893535721535216,-0.9710195140924547,-1.1370138763174509,-0.8311289040386234,-0.002922269529202604,-0.01515700397187494,-0.00019398939901674073
core_secure_pairs,isi,0.7333333333333333,32,0.8163393834302812,-0.10584627335908842,1.3796595130140856,1.5760145301963475,0.7082139576165816,2.349216547635434,-0.9745088439821461,-1.131550340217208,-0.8175734574485302,-0.002759356109050896,-0.018414381823032455,0.00012789438476316928
core_secure_pairs,isi,0.7666666666666666,32,0.8207667413699022,0.0156981479008056,1.3118967012782983,1.5913520444201417,0.8579435445134878,2.4627178103762657,-0.9445338507715273,-1.1374315062243927,-0.8229362411729182,-0.0025518906236062238,-0.01816491724133157,8.991405249272571e-05
core_secure_pairs,isi,0.8,32,0.8586291603103888,-0.08921594627233982,1.5177910722041712,1.7269569017520778,0.7770722153552543,2.5758092954760397,-0.9730568178027805,-1.1954018836016695,-0.8511985302807805,-0.0032766785655413133,-0.010292091260750256,-0.0013994570129999273
core_secure_pairs,isi,0.8333333333333334,32,0.8649569962344047,-0.03132342994507431,1.5580102480392668,1.8066027641503064,0.7214037309840782,2.729980757254118,-0.9435167099822908,-1.1886686703324354,-0.8348784714358296,-0.00879573602891448,-0.01632164060650254,-1.932312345896887e-05
core_secure_pairs,isi,0.8666666666666667,32,0.9460123941795628,-0.0749032394296916,1.511990440589105,1.7493227897714427,1.0065310437669783,2.828578382098268,-0.9902513291007988,-1.2536251499113509,-0.883391450115076,-0.008700320498873593,-0.01599602121597045,-2.5666594271585644e-05
core_secure_pairs,isi,0.9,32,,,,1.8489101393750356,0.9014153895391691,3.034698790109406,-1.1501696308667833,-1.3450087842049177,-0.8708942917024359,,,
core_secure_pairs,isi,0.9333333333333332,32,,,,1.9305800559237887,0.8968154107283021,3.300160904276074,-1.1872450567035329,-1.3911149673073773,-0.8871655570646599,,,
core_secure_pairs,isi,0.9666666666666668,32,,,,1.9876579036537605,0.876915182373521,3.6004394301372837,-1.2413588061422192,-1.5391273095419313,-0.882057200554609,,,
core_secure_pairs,isi,1.0,32,,,,2.157016669848571,0.5663019643325057,3.41785331279602,-1.672607975784226,-1.9620884595142312,-0.9493775860934703,,,
