biological_pair_key,both_core_secure,projection,stage,A_threshold,median_abs_delta_combined_weighted_median,median_abs_delta_kappa_weighted_median,median_abs_delta_J_weighted_median,median_abs_interaction_weighted_median,median_signed_interaction_weighted_median,scenario_support_with_band
WT_04__TO__SCA3_04,True,active,WT_exit,0.1483293470542087,0.35436067219861916,0.6472939331243304,0.594511704288659,0.23478795997652183,-0.23478795997652155,0.9722222222222222
WT_04__TO__SCA3_04,True,active,balance,0.5,0.2625467552313929,0.50944114648014,0.2952089347379193,0.08994737062931456,-0.08994737062931449,0.9722222222222222
WT_04__TO__SCA3_04,True,isi,SCA3_entry,0.7978563373093712,0.11303203842019399,0.18648472036520403,0.12476071027007782,0.05275938031818901,1.3953565339286442e-05,1.0
WT_04__TO__SCA3_04,True,isi,WT_exit,0.1358293233470019,0.14697235486740484,0.40154394009699246,0.3196731389519196,0.058359936180256373,-0.035430002748273015,0.9722222222222222
WT_04__TO__SCA3_04,True,isi,balance,0.5,0.19299483194324388,0.2626758676109515,0.16216112254095438,0.0360303392835309,-0.014448140406440407,0.9722222222222222
WT_04__TO__SCA3_05,False,active,SCA3_entry,0.6832817402871161,0.33004071001735674,0.6234713340147069,0.5492269413144404,0.2115020743713767,-0.17913680071496862,0.9285714285714287
WT_04__TO__SCA3_05,False,active,WT_exit,0.1483293470542087,0.15637719417791643,0.4039927540645307,0.5393042831670675,0.08912251598383242,-0.07740813570252567,1.0
WT_04__TO__SCA3_05,False,active,balance,0.5,0.26912216388231336,0.361818910589912,0.4816228660856121,0.08932527383840376,-0.08198547310295919,0.9761904761904762
WT_04__TO__SCA3_05,False,isi,SCA3_entry,0.7978563373093712,0.22437186848936247,0.1043078826960111,0.13909362738564202,0.04623766407640584,-4.861001574441026e-05,0.7380952380952382
WT_04__TO__SCA3_05,False,isi,WT_exit,0.1358293233470019,0.1359407966197854,0.3310060147778262,0.2894208975411733,0.045922469030756745,-0.043540839644130656,1.0
WT_04__TO__SCA3_05,False,isi,balance,0.5,0.16212727825909548,0.20083723313122703,0.13084630298801878,0.03940770143603837,-0.014072237713950057,0.9761904761904762
WT_04__TO__SCA3_06,True,active,SCA3_entry,0.6832817402871161,0.2802924667749995,0.5914708673983046,0.3146601163529077,0.14886601104506775,-0.14886601104506775,1.0
WT_04__TO__SCA3_06,True,active,WT_exit,0.1483293470542087,0.15431407509979492,0.35948130974525483,0.19146287909633852,0.031327434676831314,-0.07055745270351922,1.0
WT_04__TO__SCA3_06,True,active,balance,0.5,0.39906137036683076,0.7791122569538527,0.2732608482010862,0.0863298045872027,-0.12958560965220808,1.0
WT_04__TO__SCA3_06,True,isi,SCA3_entry,0.7978563373093712,0.1857582982120763,0.4652222306133938,0.17436335499098907,0.05903505455941904,-0.059035054559419035,1.0
WT_04__TO__SCA3_06,True,isi,WT_exit,0.1358293233470019,0.1560374332838017,0.3085248020908849,0.16068482009986054,0.022262346867186738,-0.05269287364649349,1.0
WT_04__TO__SCA3_06,True,isi,balance,0.5,0.2752328339964382,0.6841985060883049,0.22810853537370976,0.054662528934127645,-0.07016667728199397,1.0
WT_04__TO__SCA3_09,True,active,SCA3_entry,0.6832817402871161,0.6020893662318517,0.3645816936436481,0.34291564528336604,0.05938030562248926,-0.020328710280200793,1.0
WT_04__TO__SCA3_09,True,active,WT_exit,0.1483293470542087,0.3699952057695489,0.3978860254772154,0.5721241133748464,0.061624817653230565,-0.05711150679154416,1.0
WT_04__TO__SCA3_09,True,active,balance,0.5,0.4552470720802173,0.5195487043224216,0.37189216313457446,0.06944773223033775,-0.06349935170539746,1.0
WT_04__TO__SCA3_09,True,isi,SCA3_entry,0.7978563373093712,0.12544229204322638,0.10069174803366521,0.12772087236702823,0.021700327310557488,-0.019233952410137145,0.888888888888889
WT_04__TO__SCA3_09,True,isi,WT_exit,0.1358293233470019,0.13632636934199263,0.21372134257769662,0.3302466711138426,0.07032831533311845,-0.005412574731681358,1.0
WT_04__TO__SCA3_09,True,isi,balance,0.5,0.21402386435387843,0.13995123474739946,0.2309794782393613,0.0619726372884255,-0.025698964531311347,1.0
WT_06__TO__SCA3_01,False,active,SCA3_entry,0.6832817402871161,0.36844180921660696,0.4621520132247372,0.1879445934081713,0.054259694428025224,-0.06170555944236783,1.0
WT_06__TO__SCA3_01,False,active,WT_exit,0.1483293470542087,0.2550704511123234,0.4489864618372927,0.1740288337837364,0.02888030069684261,-0.03437613271035132,1.0
WT_06__TO__SCA3_01,False,active,balance,0.5,0.29944619532139743,0.3906386858177447,0.143054555952614,0.025331625912941524,-0.02888466191299066,1.0
WT_06__TO__SCA3_01,False,isi,SCA3_entry,0.7978563373093712,0.31382088835540334,0.3556823377252174,0.13490417345221495,0.027995786885525675,-0.027995786885525675,1.0
WT_06__TO__SCA3_01,False,isi,WT_exit,0.1358293233470019,0.2482716579295843,0.4125817860674458,0.1519447506433766,0.016516236232433673,-0.02369653726777335,1.0
WT_06__TO__SCA3_01,False,isi,balance,0.5,0.26534193371090076,0.36732601622738664,0.14173005628853486,0.017161572018986382,-0.01902264712151075,1.0
WT_06__TO__SCA3_02,False,active,SCA3_entry,0.6832817402871161,0.23182960752500334,0.08173077254823308,0.17948639595053778,0.030407420636299635,-0.027224535240534642,0.9142857142857144
WT_06__TO__SCA3_02,False,active,WT_exit,0.1483293470542087,0.32554013492136946,0.2569214644668687,0.23686775108527428,0.019035622300197185,-0.012694178897626756,1.0
WT_06__TO__SCA3_02,False,active,balance,0.5,0.21978567429111528,0.18760199567643068,0.12805029580075927,0.03764241897580986,-0.030487506394305988,1.0
WT_06__TO__SCA3_02,False,isi,SCA3_entry,0.7978563373093712,0.3670955156223178,0.07534446764092236,0.1867847636193393,0.038258264214937124,-0.010496570052370546,0.8285714285714285
WT_06__TO__SCA3_02,False,isi,WT_exit,0.1358293233470019,0.23050172698433335,0.22960984820644179,0.17590385778582637,0.01251983838529965,-0.004154204811477607,1.0
WT_06__TO__SCA3_02,False,isi,balance,0.5,0.13878130782778603,0.16054937768509303,0.09985616111965223,0.015417581030397249,-0.014451050030080266,0.9714285714285714
WT_06__TO__SCA3_04,False,active,SCA3_entry,0.6832817402871161,0.2261801507695367,0.5177366950366952,0.29938845706034334,0.10434923377618702,-0.10434923377618735,0.9666666666666667
WT_06__TO__SCA3_04,False,active,WT_exit,0.1483293470542087,0.35314981261864536,0.6071629889627881,0.37493702065773094,0.13078489324155013,-0.13078489324155032,0.9666666666666667
WT_06__TO__SCA3_04,False,active,balance,0.5,0.2649761069814305,0.4998447152081953,0.2185215454610853,0.09750157181675806,-0.09368863601812119,0.9666666666666667
WT_06__TO__SCA3_04,False,isi,SCA3_entry,0.7978563373093712,0.147103814781775,0.20190614663752413,0.1380879312009735,0.05489555223265368,-6.97540634974085e-05,0.9333333333333332
WT_06__TO__SCA3_04,False,isi,WT_exit,0.1358293233470019,0.2530644949431908,0.5189697125757599,0.223153057042768,0.04641371466337491,-0.034778265188869055,0.9666666666666667
WT_06__TO__SCA3_04,False,isi,balance,0.5,0.19272609252612266,0.2862494194960306,0.12760289513729745,0.02761311484819434,-0.015370222726270102,0.9666666666666667
WT_06__TO__SCA3_05,False,active,SCA3_entry,0.6832817402871161,0.28039316632535655,0.4831514273724145,0.2724597514793891,0.07571631071532312,-0.09084424860616332,0.8857142857142856
WT_06__TO__SCA3_05,False,active,WT_exit,0.1483293470542087,0.23497839961859102,0.5348194224885094,0.31031488374485744,0.04070762784406131,-0.053832359448352456,1.0
WT_06__TO__SCA3_05,False,active,balance,0.5,0.24258553422004273,0.35563331992780745,0.2953047058716698,0.06371290869917554,-0.0647172635062875,1.0
WT_06__TO__SCA3_05,False,isi,SCA3_entry,0.7978563373093712,0.2548400010443567,0.19744250176444342,0.1495203276492875,0.06450755725235789,-0.002287991798672605,0.7999999999999999
WT_06__TO__SCA3_05,False,isi,WT_exit,0.1358293233470019,0.20565189058056732,0.3396099958453474,0.18524597170215343,0.029551876978674306,-0.02604812487382807,1.0
WT_06__TO__SCA3_05,False,isi,balance,0.5,0.12230371682342306,0.18018340603449148,0.08184854705176756,0.03857619359027508,-0.006307183246901901,1.0
WT_06__TO__SCA3_06,False,active,SCA3_entry,0.6832817402871161,0.5151519594000595,0.7710316226583595,0.26234208569696005,0.1221945644837135,-0.22081036532683618,1.0
WT_06__TO__SCA3_06,False,active,WT_exit,0.1483293470542087,0.16722707557379857,0.3215648561123205,0.11744522807303269,0.01345429287845863,-0.04849124576480942,1.0
WT_06__TO__SCA3_06,False,active,balance,0.5,0.4022604325139087,0.609078747174028,0.1937506824149207,0.04877013414601792,-0.0771662115533833,1.0
WT_06__TO__SCA3_06,False,isi,SCA3_entry,0.7978563373093712,0.5647517617769686,0.7799214500808263,0.21063305381954311,0.08730238633343802,-0.11576265607774237,1.0
WT_06__TO__SCA3_06,False,isi,WT_exit,0.1358293233470019,0.1549985863320028,0.25007096904865916,0.07687647264297204,0.007511055262087853,-0.03856957519572535,1.0
WT_06__TO__SCA3_06,False,isi,balance,0.5,0.35800199949021844,0.5254431349098314,0.16536129158360832,0.04535046099234083,-0.06475737179416956,1.0
WT_06__TO__SCA3_09,False,active,SCA3_entry,0.6832817402871161,0.2786258297760206,0.3506199359165478,0.21416234168734696,0.04711683102007991,-0.04711683102007987,0.9333333333333333
WT_06__TO__SCA3_09,False,active,WT_exit,0.1483293470542087,0.16921846259946952,0.2239576134320552,0.27024475518326846,0.0451691838869968,-0.02965582751043386,1.0
WT_06__TO__SCA3_09,False,active,balance,0.5,0.34070244730381505,0.35225151677721467,0.18792284609309565,0.05253024872385657,-0.0525302487238565,1.0
WT_06__TO__SCA3_09,False,isi,SCA3_entry,0.7978563373093712,0.2064674893623612,0.11042708150047122,0.14777050630508462,0.0395080955692424,-0.025400376004215096,0.7999999999999999
WT_06__TO__SCA3_09,False,isi,WT_exit,0.1358293233470019,0.139719649532645,0.2119690160554226,0.19122922909473178,0.020967096253054013,-0.00689559716924261,1.0
WT_06__TO__SCA3_09,False,isi,balance,0.5,0.18605617068455343,0.10660921555599966,0.1318466859735834,0.06421434228814456,-0.001990424621841622,1.0
WT_07__TO__SCA3_01,False,active,SCA3_entry,0.6832817402871161,0.3058331392079108,0.5342658899892381,1.2948979887460044,1.1176794649705504,-2.101765393839955,1.0
WT_07__TO__SCA3_01,False,active,WT_exit,0.1483293470542087,0.9099217769489343,1.477390951261765,,,,0.125
