feature,family,current_pA,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
external_work_positive_fJ,electrical_work,300.0,13,7,17887.76916503906,17412.622604370117,-475.1465606689417,-1575.1588439941406,147.75833129882812,-0.4945054945054945,exact,77520,0.09646542827657378,0.39278188355138316,0.4798417612659099,0.39278188355138316
external_work_positive_fJ,electrical_work,350.0,13,7,25212.48065948487,23939.963150024418,-1272.5175094604529,-2491.883468627937,248.4489440918005,-0.5384615384615385,exact,77520,0.11073271413828689,0.42214949137549757,0.4798417612659099,0.42214949137549757
external_work_positive_fJ,electrical_work,400.0,13,7,34235.93688964849,31051.270751953125,-3184.6661376953634,-3512.5091552734884,118.8330078125,-0.6263736263736264,exact,77520,0.01697626418988648,0.14914860681114547,0.22069143446852424,0.14914860681114547
external_work_positive_fJ,electrical_work,450.0,13,7,43361.089096069285,39676.077575683594,-3685.0115203856913,-4633.9576721191115,-524.7489166259766,-0.7802197802197801,exact,77520,0.003973168214654283,0.07679820179820179,0.15495356037151703,0.07679820179820179
external_work_positive_fJ,electrical_work,500.0,13,7,53578.60336303704,49135.25314331056,-4443.350219726475,-5975.230407714807,-18.969554901096057,-0.6923076923076923,exact,77520,0.010474716202270381,0.1073658410732714,0.20425696594427242,0.1073658410732714
external_work_positive_fJ,electrical_work,550.0,13,7,63826.34437561034,60630.88768005372,-3195.456695556619,-6612.206649780201,1218.9487457274736,-0.4945054945054945,exact,77520,0.17448400412796697,0.5351981351981352,0.535797213622291,0.5351981351981352
external_work_positive_fJ,electrical_work,600.0,13,7,73794.28985595706,73170.91552734372,-623.3743286133395,-6095.710144043129,2837.9782104492333,-0.3846153846153846,exact,77520,0.5094943240454076,0.7833475232198143,0.8279282765737874,0.7833475232198143
mean_power_signed_fW,electrical_work,0.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
mean_power_signed_fW,electrical_work,50.0,13,7,482.2048214342919,483.26907580894806,1.0642543746561728,-3.3145404384189305,2.7583782548176146,0.05494505494505497,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
mean_power_signed_fW,electrical_work,100.0,13,7,1926.1769621786398,1925.6599427032547,-0.517019475385041,-11.479724632619082,5.889478107967079,0.05494505494505497,exact,77520,0.7269349845201238,0.9512021605954811,0.9968846749226006,0.9512021605954811
mean_power_signed_fW,electrical_work,150.0,13,7,4330.008730243141,4335.661697387695,5.652967144554168,-21.008229134070845,24.28335790121946,0.01098901098901095,exact,77520,0.3910216718266254,0.6870809376382132,0.7261831048208757,0.6870809376382132
mean_power_signed_fW,electrical_work,200.0,13,7,7705.8847242146085,7707.5328382447615,1.6481140301530104,-63.16488582452257,17.70013427124013,-0.1208791208791209,exact,77520,1.0,1.0,1.0,1.0
mean_power_signed_fW,electrical_work,250.0,13,7,12023.29934531539,12044.297409057617,20.998063742226805,-11.085092884288315,108.58133848052785,0.40659340659340665,exact,77520,0.1956140350877193,0.5351981351981352,0.535797213622291,0.5351981351981352
mean_power_signed_fW,electrical_work,300.0,13,7,17201.513547350816,17311.19645167644,109.68290432562208,-63.74054602306778,973.1771850586556,0.3406593406593406,exact,77520,0.19109907120743033,0.5351981351981352,0.535797213622291,0.5351981351981352
