cell_id,parameter,side,loss,near_optimal,b,r,s,kappa_I
WT_07,kappa_I,LOW,1.1608386048708716,False,1.6967084412115747,0.015326107713233306,12.57421339171406,0.028664364252747362
WT_07,kappa_I,HIGH,0.10488367110019806,False,3.569945800427159,0.003965530212096567,12.397366524946579,0.8933406179128532
WT_08,b,LOW,1.8518651692078163,False,2.36384679272696,0.0011815513529598934,12.55825849008986,0.0005737039630092896
WT_08,b,HIGH,0.8504686576108011,False,5.618145355503951,0.02370177581748659,1.1217474509866672,0.8185994331217705
WT_08,r,LOW,0.6058982236837028,False,3.0486114816953847,0.0001664786770362373,0.8930673605310793,1.89894958737059
WT_08,r,HIGH,0.5695139888833903,False,2.8763619385782584,0.03543881905075962,0.4016279821816532,1.0450083559822365
WT_08,s,HIGH,0.6364200447156468,False,3.0744468286934787,0.00016234217631487676,1.5573275106036366,1.9336237949187787
WT_08,kappa_I,LOW,1.7479848748523574,False,5.5599190039050415,0.022071675666986267,0.07245799650409726,0.13129526998152696
WT_08,kappa_I,HIGH,0.6010916305095666,False,3.043691344648896,0.00018882273098120477,0.9093649075889839,1.8705988392965855
WT_09,b,LOW,0.9598398561189766,False,1.553217945118314,0.09099780738499218,13.140663974568103,1.804847358762538
WT_09,b,HIGH,0.7505611562329568,True,5.2577306273150075,0.045295471969130245,1.7630921539184685,1.3814934095287963
WT_09,r,LOW,0.7354658124015148,True,3.1525015170784876,0.0002047484118198076,3.9778508430105894,1.1753778443696221
WT_09,r,HIGH,0.7234904474880186,True,4.237813121680931,0.07237000216167003,2.215422899951207,1.7408485883742804
WT_09,s,HIGH,0.6800141050445945,True,3.306590990861459,0.0001225163397009333,3.776040141331471,1.0030420133643612
WT_09,kappa_I,LOW,1.778707531052783,False,5.144539080619373,0.004139086345490449,0.2194398008400923,0.005701081228700202
WT_09,kappa_I,HIGH,0.6687878520431879,True,3.9903062740926547,0.08652350375224628,2.252024696024145,1.8248218143010388
WT_10,b,LOW,0.9443026655268532,False,1.538513742985547,0.0471664833487743,7.53343143957784,1.5162641166011301
WT_10,b,HIGH,0.5511571460859903,False,3.9850309672856197,0.0998508879961942,1.8884793767770414,1.544171246321414
WT_10,r,LOW,0.5616775786161775,False,3.2041490932570524,0.00011002929339819253,4.070581509915871,1.119375104489443
WT_10,s,HIGH,0.8516897103196,False,2.191391813508246,0.05368621755676893,9.127627870483158,1.9880552830501852
WT_10,kappa_I,LOW,1.2366381725311217,False,0.7739455181360444,0.02540849229429957,9.7873992969461,0.009343733504617771
WT_11,b,LOW,1.0107223413341786,False,1.4800983122280489,0.09768591519116138,7.938655431810121,0.9999087639251827
WT_11,b,HIGH,0.8767079148911675,False,5.55255944755363,0.0005649150587206558,11.252906483037519,1.1235623725559858
WT_11,r,LOW,0.6474190619098951,True,3.2155254661316666,0.00011910079814479161,3.6697873530602108,0.45796731063664786
WT_11,r,HIGH,0.7711631331076124,False,5.484179637955077,0.0436558506776098,2.640538549147614,0.9096752213658682
WT_11,s,LOW,0.7024079327313575,True,3.1526470204566115,0.00012181355582378725,0.5876823916519104,0.4713121160425291
WT_11,s,HIGH,0.9841707450725367,False,4.943641916821931,0.00012966301929752307,5.117927757952806,0.18389116418983786
WT_11,kappa_I,LOW,1.872731509248866,False,5.0979002123414405,0.0013201119860569333,0.14245410562894545,0.0039988616353666805
WT_11,kappa_I,HIGH,0.8827171047784279,False,5.506000349144276,0.0010511629696283965,8.669483310543834,1.217963823485539
WT_13,b,LOW,0.9303210849290441,False,1.3447561587331096,0.09757448899529922,14.930423174647473,1.2704783162869553
WT_13,b,HIGH,0.9878676604525044,False,5.9623230250053165,0.004068346806996611,0.8905194055429508,0.24434640877531913
WT_13,r,LOW,0.7348388622506162,False,2.9563817979287417,0.00015287309952866847,4.8782256315515635,1.5993546864634394
WT_13,r,HIGH,0.9499747647931854,False,5.187578563253709,0.02487199383933786,0.9261971521514216,0.2941681035288688
WT_13,s,HIGH,1.0169628592915323,False,1.8967211759103457,0.057160003607092696,12.997029710509661,1.5099210381171735
WT_13,kappa_I,LOW,1.074868102861286,False,5.786239956120946,0.013048353158400574,0.8087078505770675,0.16090739715181723
WT_13,kappa_I,HIGH,1.176415041148531,False,5.451330285153575,0.00019053609684533592,12.496832164658466,1.6936144452388793
WT_14,b,LOW,0.8355403169946332,False,1.462387484261095,0.098613830200357,14.110562475681014,1.471066252437695
WT_14,b,HIGH,0.739820203876311,False,4.6077513010320725,0.0014754106136133016,4.896279093737167,1.383364469338611
WT_14,r,LOW,0.6302212219966578,True,3.303410641748869,0.00012520232928630808,1.4085582398933123,0.764722163980997
WT_14,r,HIGH,0.6915447085401533,False,4.93967592644015,0.08999287667584557,1.2352767420975814,0.6381320644053289
WT_14,s,HIGH,0.7303335489219253,False,5.39802268531475,0.0006677376534651826,5.813189403607271,1.424197633575925
WT_14,kappa_I,LOW,0.9556159418927553,False,6.29563615707602,0.00016326592296026695,1.4048991924486312,0.09350188601083229
WT_14,kappa_I,HIGH,0.7308052588991246,False,5.336519935692104,0.0009717155210610113,4.840174006209957,1.4532698740679648
WT_15,b,LOW,0.911226764217351,False,1.4205138308926601,0.0945322447255768,14.565017046275551,1.787111735374571
WT_15,b,HIGH,0.725391746489984,False,5.228028117687528,0.0002860062226350782,6.6259080767861835,1.6228681100600824
WT_15,r,LOW,0.5312170242503426,True,4.951603298120317,0.02704553426349687,2.299174837047389,1.7444857772382534
WT_15,s,HIGH,0.6209955116323642,True,5.510200340954701,0.0031462668877972446,2.059444208310874,1.5256511582463848
WT_15,kappa_I,LOW,1.7125776945709847,False,5.433990405218329,0.004462673920914078,0.24755853020726065,0.19520001610585963
WT_15,kappa_I,HIGH,0.5140033817872869,True,4.319553524872774,0.04832875103427895,2.3870673143476853,1.8932008912681348
WT_16,b,LOW,0.7513615570492319,False,2.871293174296573,0.019511847552227707,0.8550164444658677,1.1146642831639937
WT_16,b,HIGH,0.6787413675316217,False,4.439579561134321,0.040032218541435176,1.4459635774028994,1.2661153400385308
WT_16,r,LOW,0.7418747377102232,False,5.528060416474261,0.0001237562911579559,8.666856939969144,1.6277852210821369
WT_16,r,HIGH,0.6637909957509672,False,4.9420504300682015,0.011114603851796552,1.7339106386795893,1.4900161839786823
WT_16,s,HIGH,0.6792448315743277,False,3.469577668611546,0.00010129503478900403,3.059593548225019,1.2186332703710419
WT_16,kappa_I,LOW,0.7540232598088734,False,5.162274453132851,0.018252445827960557,0.8435771927026549,0.3226860107364957
