group,cell_id,solution,source,rheobase_J,rheobase_pA,lo_J,hi_J,iterations,status,alt_loss
SCA3,SCA3_05,alternative,kappa_I_LOW,2.2747289227753793,257.81249999999994,2.271282363801477,2.2747289227753793,7,BRACKET_OK,0.8565665889061481
SCA3,SCA3_05,alternative,kappa_I_HIGH,2.44016375352268,276.5625,2.4367171945487778,2.44016375352268,7,BRACKET_OK,0.919138460439252
SCA3,SCA3_06,best,best,5.238728290213989,426.5625,5.233930919984855,5.238728290213989,7,BRACKET_OK,
SCA3,SCA3_09,best,best,2.2595007918063086,278.1250000000001,2.2563273356380416,2.2595007918063086,7,BRACKET_OK,
SCA3,SCA3_09,alternative,b_LOW,2.224592773955368,273.82812500000006,2.2214193177871007,2.224592773955368,7,BRACKET_OK,1.0614275506941326
SCA3,SCA3_09,alternative,kappa_I_HIGH,2.0976545272246767,258.20312500000006,2.0944810710564097,2.0976545272246767,7,BRACKET_OK,0.8928539522984064
WT,WT_03,best,best,1.6558117865631434,350.390625,1.6539658425424486,1.6558117865631434,7,BRACKET_OK,
WT,WT_03,alternative,r_LOW,1.8237926924463608,385.9375,1.821946748425666,1.8237926924463608,7,BRACKET_OK,0.557574847805127
WT,WT_03,alternative,s_HIGH,1.7444170995564887,369.14062499999994,1.7425711555357941,1.7444170995564887,7,BRACKET_OK,0.5487699022729832
WT,WT_03,alternative,kappa_I_HIGH,1.73703332347371,367.578125,1.7351873794530155,1.73703332347371,7,BRACKET_OK,0.5723101341372341
WT,WT_04,best,best,0.38079699547052215,200.390625,0.380054701132373,0.38079699547052215,7,BRACKET_OK,
WT,WT_04,alternative,b_HIGH,0.38599305583756627,203.12499999999997,0.3852507614994171,0.38599305583756627,7,BRACKET_OK,0.816606929072162
WT,WT_04,alternative,r_LOW,0.4179117123779804,219.92187499999997,0.4171694180398312,0.4179117123779804,7,BRACKET_OK,0.8012677425885472
WT,WT_04,alternative,r_HIGH,0.38896223319016293,204.68749999999997,0.3882199388520138,0.38896223319016293,7,BRACKET_OK,0.8456536868557841
WT,WT_04,alternative,s_HIGH,0.3934159992190579,207.03124999999997,0.39267370488090875,0.3934159992190579,7,BRACKET_OK,0.8395482413124595
WT,WT_04,alternative,kappa_I_LOW,0.46541855001952703,244.92187499999997,0.4646762556813778,0.46541855001952703,7,BRACKET_OK,0.8581729322794552
WT,WT_06,best,best,0.6344904113823149,249.609375,0.6334974686414976,0.6344904113823149,7,BRACKET_OK,
WT,WT_06,alternative,b_HIGH,0.5093796260393233,200.39062500000003,0.5083866832985059,0.5093796260393233,7,BRACKET_OK,0.5383339512917603
WT,WT_06,alternative,r_LOW,0.5302314235964887,208.59375000000006,0.5292384808556713,0.5302314235964887,7,BRACKET_OK,0.5598395918970259
WT,WT_06,alternative,r_HIGH,0.6066880146394279,238.671875,0.6056950718986105,0.6066880146394279,7,BRACKET_OK,0.5716538752915223
WT,WT_06,alternative,s_HIGH,0.5749138469332712,226.17187499999997,0.5739209041924538,0.5749138469332712,7,BRACKET_OK,0.605509109669865
WT,WT_07,best,best,1.2731089460957787,450.390625,1.2720047752839003,1.2731089460957787,7,BRACKET_OK,
WT,WT_07,alternative,r_HIGH,1.3349425115609685,472.26562500000006,1.3338383407490901,1.3349425115609685,7,BRACKET_OK,0.0528578159720231
WT,WT_07,alternative,s_LOW,1.2753172877195353,451.17187499999994,1.274213116907657,1.2753172877195353,7,BRACKET_OK,0.0192930596694618
