pair,wt_cell,sca3_cell,wt_J_q75,sca3_J_q75,det_all_spiking,det_min_rate_Hz,det_max_rate_Hz,stationarity_z_pass_fraction,stationarity_z_max_mean_abs,stationarity_z_max_logvar_abs,stationarity_z_max_acf_abs,holdout_TV_median,holdout_TV_max,HS_exact_forward,HS_exact_reverse,raw_log_HS_forward,raw_log_HS_reverse,cal_log_HS_forward,cal_log_HS_reverse,raw_both_abs_log_le_0p1,cal_both_abs_log_le_0p1,test_sum_logA_forward,test_sum_logA_reverse,coarse_KL_balance_p,forward_meanY,reverse_meanY,forward_peak_abs_meanY_p,reverse_peak_abs_meanY_p,min_r
WT_08__SCA3_06,WT_08,SCA3_06,0.8338938988676052,6.83625257651551,True,30.0,108.0,0.0,2.0393659495955583,1.444694534681653,0.8195440884656257,0.1773637194668284,0.7917417312715801,1.0000000000000004,1.0000000000000004,0.00038717433783226396,0.8507875884817986,0.4053391026326678,0.4458356601869629,False,False,6.69484281704845,8.727792053580975,0.1215762695644682,4.465818449398924,3.938887067994256,0.9833333333333334,0.95,0.000172535267681
WT_08__SCA3_09,WT_08,SCA3_09,0.8338938988676052,4.22069670379549,True,35.0,103.0,0.0,3.389324387101658,2.4420257864209014,0.7299330110928774,0.2077618164663246,0.6007878091977145,0.9999999999999998,0.9999999999999996,0.1327425071151832,0.042745227343090025,-0.3008942332855261,0.4763819677438002,False,False,6.358733524786669,5.990079573123796,0.131192202125319,2.609837191755432,1.88545284768799,0.4833333333333333,0.4833333333333333,0.0001570401851009
WT_09__SCA3_01,WT_09,SCA3_01,1.312913654982229,8.468813418437104,True,43.0,102.0,0.032258064516129,0.6095791840030524,0.9498165420679048,0.5755089339556901,0.0622897829537065,0.1087072344687113,0.9999999999999984,0.9999999999999988,0.05698103990782311,0.03221331544803563,-0.1322058797680096,0.2214002351238679,True,False,0.2993980178847535,0.4037719871816091,0.2284221463704348,0.840372006454531,0.4948088375686019,0.3166666666666666,0.0166666666666666,0.0044079110035059
WT_09__SCA3_04,WT_09,SCA3_04,1.312913654982229,6.138782334394186,True,43.0,82.0,0.1935483870967742,0.6420566862192962,0.5190693975584407,0.4140477009599441,0.0329842885589548,0.1581396167687906,1.000000000000001,1.000000000000001,-0.020673793734846953,0.0006134777263383602,0.1033731261531507,-0.1234334421616597,True,False,0.3985720621783744,0.1388839741701298,0.4031154902910419,0.9368240774893398,1.1791500641172976,0.0833333333333333,0.1833333333333333,0.0044079110035059
WT_09__SCA3_06,WT_09,SCA3_06,1.312913654982229,6.83625257651551,True,30.0,81.0,0.032258064516129,3.024084952567584,2.4891166511675373,0.494677736511054,0.1901977453500807,0.860689418313259,1.0000000000000002,1.0000000000000004,0.01917694650319214,1.2474035666729637,0.9223998231171004,0.3441806900590551,False,False,1.8681180296550628,6.4244578473924205,0.2144195782190839,1.9262808190042235,1.2103051234008766,0.9166666666666669,0.9166666666666669,0.000172535267681
WT_09__SCA3_09,WT_09,SCA3_09,1.312913654982229,4.22069670379549,True,35.0,81.0,0.0,3.6029555642008586,2.075516726451483,0.6523271030577105,0.2357337300453922,0.5575464906355246,0.9999999999999996,1.0,0.006539300340302993,-0.38869612869690684,1.7932514696703103,-2.175408298026915,False,False,7.075149128252487,2.1925938474216107,0.5045392882338773,1.1049854616846195,4.211342442406806,0.9833333333333334,0.9833333333333334,0.0001570401851009
WT_10__SCA3_01,WT_10,SCA3_01,1.2379858589128645,8.468813418437104,True,43.0,119.0,0.3870967741935484,0.2626127056453986,0.2878906189765884,0.3331711628726253,0.0278321127175838,0.054596697433337,1.0000000000000004,1.0000000000000004,0.014724060590277968,0.0015436735406265908,0.0670841396443759,-0.0508164055134708,True,True,0.0728797554008775,0.1157099205801771,0.674393814369124,1.0735627794614682,1.157781380752787,0.0166666666666666,0.6166666666666667,0.0367840866590933
WT_10__SCA3_04,WT_10,SCA3_04,1.2379858589128645,6.138782334394186,True,43.0,102.0,0.3870967741935484,0.1586616898206276,0.1782537719915597,0.2480035807640134,0.0264957707105075,0.0583371333297034,1.0000000000000009,1.000000000000001,-0.0012559034152783807,0.004523185983377573,-0.0025541821844465,0.005821464752545,True,True,0.0662251698779609,0.0957029078806578,0.1426110403399684,0.4689164878310929,0.4720501100437386,0.0833333333333333,0.0166666666666666,0.0685272827706698
WT_10__SCA3_06,WT_10,SCA3_06,1.2379858589128645,6.83625257651551,True,30.0,89.0,0.1290322580645161,1.2868914027561595,0.9899854954478448,0.4285460806004111,0.0695615753441668,0.5263179217924991,1.0,1.0000000000000004,-0.002816239009381414,1.5972022252301108,0.3272990584351566,1.2670869277855723,False,False,1.009006034112303,1.1398414699208113,0.6095483106605329,1.5008675539705356,1.0171912483254226,0.9166666666666669,0.9166666666666669,0.000172535267681
WT_10__SCA3_09,WT_10,SCA3_09,1.2379858589128645,4.22069670379549,True,35.0,76.0,0.0967741935483871,3.604295123139492,1.4775739961616563,0.8202392786145081,0.0739164468061802,0.6381070189889839,1.0000000000000004,1.000000000000001,0.005709566693247679,0.08774271974360551,-0.2820970510478304,0.3755493374846851,True,False,-0.4665499579703516,-0.2548941705495283,0.4469453073035731,1.284700766521403,0.6035069046469562,0.7833333333333333,0.8166666666666667,0.0001570401851009
WT_13__SCA3_01,WT_13,SCA3_01,0.8401154532143933,8.468813418437104,True,43.0,133.0,0.064516129032258,0.8348870676268311,0.903932390793892,0.5673568941365498,0.0716979497545289,0.2502061208644682,0.9999999999999992,0.999999999999999,0.16423763101775005,-0.00519490106622154,0.1847002200151778,-0.0256574900636493,False,False,0.7586911986738799,0.5414597272354816,0.2012363767726769,0.8658564910168587,1.1737347825757565,0.05,0.2833333333333333,0.0030284877134034
WT_13__SCA3_04,WT_13,SCA3_04,0.8401154532143933,6.138782334394186,True,43.0,108.0,0.1612903225806451,0.9307657808574156,0.9415710740569888,0.3451985224565835,0.0308072259619201,0.0892169960381596,1.0000000000000009,1.000000000000001,0.8490003714431048,0.006893928542563099,0.8333282321222889,0.0225660678633776,False,False,1.6161588656393169,0.1416104191928455,0.364462740646502,1.1196826471056538,1.2388633594761944,0.35,0.4166666666666667,0.0030284877134034
WT_13__SCA3_06,WT_13,SCA3_06,0.8401154532143933,6.83625257651551,True,30.0,101.0,0.0,2.9053605806716614,1.4531768092451338,0.7151703307959154,0.2412564610883556,0.7767387439444171,1.0000000000000009,1.000000000000001,-0.00548707279025754,0.8188427711025341,0.0206274194914787,0.7927282788207982,False,False,6.490312254356336,6.1723613612744135,0.1811377248991192,2.3752720864343826,0.9737219034487508,0.2166666666666666,0.9833333333333334,0.000172535267681
WT_13__SCA3_09,WT_13,SCA3_09,0.8401154532143933,4.22069670379549,True,35.0,90.0,0.0,4.358424703835781,2.085718427604228,0.5934987112132407,0.2490239743983262,0.5619883852316586,1.0000000000000004,1.0,0.6051179692597766,0.02385006517638092,-0.4983350090975545,1.1273030435337126,False,False,13.569404548944767,12.58340562723646,0.1181091711431321,6.132007936246873,4.385251841505874,0.9166666666666669,0.8833333333333333,0.0001570401851009
WT_14__SCA3_01,WT_14,SCA3_01,1.6791221800847511,8.468813418437104,True,43.0,93.0,0.0967741935483871,0.2797637096210437,0.4808655302574781,0.2907660794395805,0.0420083678328028,0.1366511795836161,0.9999999999999988,0.9999999999999992,-0.003284690108020932,-0.007643646457393599,-0.0279510188759005,0.0170226823104862,True,True,0.1043696356241852,0.2605160746777999,0.7983646203685718,0.475928798797443,0.450077084916116,0.05,0.8833333333333333,0.0367840866590933
WT_14__SCA3_04,WT_14,SCA3_04,1.6791221800847511,6.138782334394186,True,43.0,75.0,0.3225806451612903,0.2692826680422474,0.3129015128876407,0.2850340194923298,0.0190323035445989,0.0460651881699031,1.0000000000000016,1.000000000000001,-0.003138147697934436,-0.00509893877976191,-0.0787878179484651,0.0705507314707692,True,True,-0.0045451889759393,0.1303562525798725,0.3733920165730351,0.8069025107094492,0.688748017512221,0.3166666666666666,0.2833333333333333,0.0373873647475754
WT_14__SCA3_06,WT_14,SCA3_06,1.6791221800847511,6.83625257651551,True,30.0,75.0,0.032258064516129,3.1963447247383776,1.4588448740663431,0.6598147437906601,0.1052524450656577,0.6975838195550912,1.0,0.9999999999999992,-0.019804065029071487,1.4742374121269957,0.5586888613519015,0.8957444857460235,False,False,3.5254567459836257,3.5117079913925013,0.1113381225690846,1.0489991038783026,0.6024283628078178,0.9166666666666669,0.9833333333333334,0.000172535267681
WT_14__SCA3_09,WT_14,SCA3_09,1.6791221800847511,4.22069670379549,True,35.0,75.0,0.0,2.9456126520077244,1.5145974707906131,0.5413634148173113,0.1393413179757891,0.7093910304987834,0.9999999999999998,0.9999999999999994,0.07246614112957439,0.6645248897800928,-0.8693021085500189,1.6062931394596869,False,False,2.588755350878772,3.932221491501773,0.2980040777832172,2.5105544833858326,-0.12498010876578,0.9833333333333334,0.9833333333333334,0.0001570401851009
WT_16__SCA3_01,WT_16,SCA3_01,1.1069091255960906,8.468813418437104,True,43.0,117.0,0.032258064516129,3.911825379246341,1.4195004779722338,0.4133966352432731,0.1286290147756011,0.4140487753033257,0.9999999999999998,0.9999999999999994,0.2125129644909639,-0.016048240058154018,0.0341333402121041,0.1623313842207062,False,False,1.4980348902828446,1.449488308508125,0.8218650933138949,1.354218965405512,1.2807866143773017,0.0833333333333333,0.2166666666666666,0.0002546263624652
WT_16__SCA3_04,WT_16,SCA3_04,1.1069091255960906,6.138782334394186,True,43.0,113.0,0.064516129032258,1.814201673721777,1.7301632759577137,0.5712638812631712,0.1213918740933341,0.5095544552182982,0.9999999999999992,0.9999999999999988,2.1650786009252934,0.0018610319962472995,0.9674373794035528,1.1995022535179871,False,False,2.9913894972831865,1.900666058454627,0.2640557335889384,1.3851681299276797,0.8116540887761315,0.1166666666666666,0.0833333333333333,0.0002546263624652
WT_16__SCA3_06,WT_16,SCA3_06,1.1069091255960906,6.83625257651551,True,30.0,101.0,0.0,2.7763802426248603,2.028551076655853,0.5762749780883251,0.4319203502717714,0.8268027508484501,1.0000000000000004,1.0000000000000004,0.5782915375882131,2.9599897646338163e-05,2.56153563667151,-1.98321449918565,False,False,17.674461858858834,8.24524261942431,0.6986499687702006,2.0716126370555847,5.536314033469392,0.6166666666666667,0.9833333333333334,0.000172535267681
WT_16__SCA3_09,WT_16,SCA3_09,1.1069091255960906,4.22069670379549,True,35.0,82.0,0.0,2.974273440060869,1.8593751650821344,0.6704566761604727,0.3919865824473109,0.9268311876372072,1.0000000000000009,1.0000000000000004,-1.4682361054114947,0.24917359792400157,-0.0774700701523547,-1.1415924373351378,False,False,16.519422712512537,19.214993755360304,0.5563069387982645,7.165265392374894,8.358412456924224,0.45,0.9833333333333334,0.0001570401851009
