pair,direction,early,global_KL_window,pair_KL_window,late,pairKL_minus_early,pairKL_minus_late
WT_13__SCA3_01,forward,0.0254313312747732,0.0370612994473,0.0104107540683521,0.0312500291168496,-0.0150205772064211,-0.0208392750484975
WT_13__SCA3_04,forward,0.0432473960938942,0.0653747968460606,0.0721859251866832,0.0136283424827793,0.028938529092788996,0.05855758270390389
WT_13__SCA3_06,forward,0.1851922839189234,0.2120481998605159,0.2240708544361065,0.1382993821729591,0.0388785705171831,0.08577147226314741
WT_13__SCA3_09,forward,0.2031875051945838,0.2759904676928266,0.2564930463298283,0.6767775625143739,0.053305541135244466,-0.42028451618454565
WT_14__SCA3_01,forward,0.0205457737570419,0.0044948677494013,0.0256584671043417,0.0251208263956358,0.005112693347299798,0.0005376407087058985
WT_14__SCA3_04,forward,0.0182478350987279,0.050857066238008,0.0672479931462398,0.0104883116350117,0.0490001580475119,0.05675968151122811
WT_14__SCA3_06,forward,0.0574023990115767,0.0303357715009731,0.0443645827522521,0.1288120597544854,-0.013037816259324597,-0.08444747700223329
WT_14__SCA3_09,forward,0.0291655216633705,0.046339697997422,0.0175136328866851,0.2408537165430255,-0.0116518887766854,-0.2233400836563404
WT_16__SCA3_01,forward,0.1112127107985431,0.0709485450120372,0.0844895107782987,0.0746911007214703,-0.026723200020244406,0.009798410056828397
WT_16__SCA3_04,forward,0.1015329980398471,0.0307385486023667,0.033195815814816,0.0317635035777575,-0.0683371822250311,0.0014323122370585029
WT_16__SCA3_06,forward,0.4245239998170753,0.5656079246098796,0.8241429327287367,0.5397307701840656,0.39961893291166145,0.28441216254467117
WT_16__SCA3_09,forward,0.7825546939838426,0.8247953745146007,0.5879947999568541,0.3507108352289899,-0.19455989402698848,0.23728396472786423
WT_03__SCA3_01,reverse,0.0040868249166087,0.0122360940705604,0.0237641316426912,0.0162708218052135,0.019677306726082498,0.007493309837477698
WT_03__SCA3_04,reverse,0.0189703372556603,0.0159493965359989,0.0191046042113481,0.0071877416342422,0.00013426695568780067,0.0119168625771059
WT_03__SCA3_06,reverse,0.0307839313145668,0.0114671578560429,0.022515592708689,0.1698338442456883,-0.0082683386058778,-0.1473182515369993
WT_03__SCA3_09,reverse,0.0151955369025203,0.0199464040884367,0.0106212714902795,0.2101168816743344,-0.0045742654122408,-0.1994956101840549
WT_04__SCA3_01,reverse,0.0319661979970329,0.0061991108840197,0.0092578285423823,0.0274786053400942,-0.0227083694546506,-0.018220776797711898
WT_04__SCA3_04,reverse,0.0233249776205373,0.042256656315127,0.0690115826653105,0.0049525845586325,0.045686605044773204,0.064058998106678
WT_04__SCA3_06,reverse,0.0844741099942252,0.0414149518929238,0.1068523692528649,0.1354923275992251,0.022378259258639704,-0.02863995834636021
WT_04__SCA3_09,reverse,0.0610324676524654,0.0386365879679423,0.0381078888073488,0.9757920663741856,-0.022924578845116603,-0.9376841775668368
WT_08__SCA3_01,reverse,0.0845718984758069,0.0342973086196139,0.0572257544147873,0.0248695593460453,-0.027346144061019602,0.032356195068742
WT_08__SCA3_04,reverse,0.0372804988194301,0.0606303548938712,0.0688352647995927,0.0126414630559442,0.0315547659801626,0.056193801743648505
WT_08__SCA3_06,reverse,0.0685689509717059,0.0460645624043551,0.0797579425204269,0.5590784340826517,0.011188991548720995,-0.4793204915622248
